"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","593399","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","H. N. Moldenke","S. A. Mori","9994","1978","04","27","South America","Brazil","Bahia","Maracás","Rod. BA 026, a 26 km ao SW de Maracás. Folha SD-24 (14-41b)","-40.4306","-13.4411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=717268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593399","NY00593399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:45:16-03","UNEB","HUNEB","6571","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica",NA,NA,"França, F.",NA,"1996","09","01",NA,"Brasil","Bahia","Itatim","Morro do Agenor, pltô, orla do canal de drenagem.","-39.766667","-12.7",NA,NA,"HUNEB0006571",NA,"Dicotyledoneae","39W46'0''","12S42'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:34:31-03","NBC","NL-BOTANY","U 0007028","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","Moldenke HN","Harley RM; et al.",NA,"1974","02","20","Southern America","Brazil","Bahia",NA,"Estado de BahiaMonte Santo.","-39.333333","-10.45",NA,"Open scrub, among quartzite cliffs and rocks, dry woodland.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007028","NL-U0007028","Magnoliopsidae","-39.333333","-10.45","isotype","350790 B",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:51:50-02","IPA","IPA","23451","S","Plantae","Plantae",NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke","Moldenke, H.N.","Harley, R.M.","16436","1974","02","20","Southern America","Brasil","Bahia","Monte Santo","open scrub, among quartzite cliffs and rocks, dry woodland.","-39.333333","-10.45",NA,"Spindly shrub with straight erect, little-branched stems to 4m. Leaves soft mid-green, slightly aromatic. Corolla bright pink with darker eye. Bracts pale green.","IPA0023451","IPA0023451",NA,"-39.333333","-10.45","TYPUS",NA,"610","610",NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:51:50-02","IPA","IPA","64052","S","Plantae","Plantae",NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke",NA,"Harley, R.M.","16436","1974","02","20","Southern America","Brasil","Bahia","Monte Santo",NA,"-39.3328018188477","-10.4378004074097",NA,NA,"IPA0064052",NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,"74832","auto",NA,NA,NA,NA
"6","2019-02-15 11:51:50-02","IPA","IPA","64051","S","Plantae","Plantae",NA,"Verbenaceae","Lippia","elliptica","silvicola","Lippia elliptica silvicola","Moldenke",NA,"Harley, R.M.","16436","1974","02","20","Southern America","Brasil","Bahia","Monte Santo",NA,"-39.3328018188477","-10.4378004074097",NA,NA,"IPA0064051",NA,NA,NA,NA,"ISOTYPE",NA,NA,NA,"74832","auto",NA,NA,NA,NA
"7","2019-11-21 14:47:47-03","UFJF","CESJ","29786","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"F. França; et al.","1448","1995","11","25","América do Sul","Brasil","Bahia","Itatim","Morro das Tocas","-39.7","-12.716667",NA,"Arbusto,ca. 1,5m.alt., Corola lilás,fauce amarelada. Interior da mata.","CESJ029786",NA,NA,"-39.7","-12.716667",NA,NA,"310","430",NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:47:47-03","UFJF","CESJ","29789","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"E. de Melo; et al.","1615","1996","02","28","América do Sul","Brasil","Bahia","Itatim","Morro das Tocas","-39.7","-12.716667",NA,NA,"CESJ029789",NA,NA,"-39.7","-12.716667",NA,NA,"200","410",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:47:47-03","UFJF","CESJ","29791","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer",NA,"F. França; et al.","1777","1996","08","31","América do Sul","Brasil","Bahia","Itatim","Morro das Tocas","-39.7","-12.716667",NA,"Arbusto de ca. de 1,5m., com flores com corola de tubo branco-esverdeado, lacínios liláses. Interior da mata. Mata da base.","CESJ029791",NA,NA,"-39.7","-12.716667",NA,NA,"250","250",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:47:47-03","UFJF","CESJ","43351","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","elliptica",NA,"Lippia elliptica","Schauer","F.R.G. Salimena","G. Hatschbach; et al.","72179","2001","05","18","América do Sul","Brasil","Minas Gerais","Francisco Dumont","Serra do Cabral, Extremo norte.","-44.2341995239258","-17.3150005340576",NA,"Ereta, simples, flor lilás. Campo cerrado.","CESJ043351",NA,NA,NA,NA,NA,NA,NA,NA,"45152","auto","2006","09",NA,NA
