"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","typeStatus","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","929111","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","J. A. Kallunki","A. M. V. de Carvalho","6541","1998","08","02","South America","Brazil","Minas Gerais","Grão Mogol","Atrás da cidade. Trilha do Barão.","-42.895","-16.5517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929111","NY00929111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1009370","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","J. R. Pirani; P. Dias","P. Dias","201","2004","03","30","South America","Brazil","Minas Gerais","Grão Mogol","Ribeirão do Bois, à saída da cidade na estrada para o rio Ventania.","-42.88594","-16.55867","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1745471' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009370","NY01009370_01","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","51868","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","R. C. Kaastra","H. S. Irwin","23415","1969","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Immediately north of Grao Mogol.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051868","NY00051868_01","950","holotype","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","51869","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","R. C. Kaastra","H. S. Irwin","23415","1969","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Immediately north of Grao Mogol.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051869","NY00051869_01 NY00051869_02","950","isotype","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","929112","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","R. S. Cowan","G. T. Prance","59058","1964","09","19","South America","Brazil","Distrito Federal","Brasília","Cia. Fercal, 30 km. east of Brasília.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929112","NY00929112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929110","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","R. C. Kaastra","W. R. Anderson","8850","1973","04","14","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 9 km by road SW of Mendanha and the Rio Jequití on road to Diamantina","-43.56013","-18.1575","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929110","NY00929110_01","1150",NA,"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 23:46:00-03","NY","NYBG","2530167","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana",NA,"J. A. Kallunki","C. N. Fraga | N. F. de O. Mota","3370","2011","06","06","South America","Brazil","Minas Gerais",NA,"Caminho das Tropas","-42.8931","-16.5533","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2764034' target='other'> <mi>dwc_moreinfo</mi></a>","NY02530167","NY02530167_01","924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:24:10-03","UFBA","ALCB","108480","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","Pirani, JR; JR","Hurbath, F; Borges, RL; Alves, M; Stadnik, A","539","2013","05","22","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral. Trilha ao lado da cachoeira das Sete Quedas.","-42.533333","-14.516944",NA,"ca. 4 m. Folhas discolores. Face abaxial glauca. Fruto verde.; Mata Ciliar.","ALCB064962",NA,"756",NA,"756","2014","10","-42.533333","-14.516944",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:10-03","UFBA","ALCB","115404","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","Pirani, JR; JR","Guedes, ML; Roque, N; Campos, L; Gandara, A","22140","2014","08","06","Southern America","Brasil","Bahia","Licínio de Almeida","Estrada de Licínio de Almeida para Urandi -Saco da Onça.","-42.54","-14.584167",NA,"de ca 2 m de altura. Folhas trifolioladas. Fruto cápsula imatura verde e madura marrom.","ALCB064961",NA,"887",NA,"887","2014","10","-42.54","-14.584167",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:31:23-03","NBC","NL-BOTANY","U 0006371","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","Kaastra RC","Irwin HS; et al.",NA,"1969","02","17","Southern America","Brazil","Minas Gerais",NA,"Estado de Minas GeraisSerra do Espinhaçoimmediately north of Grao Mogol.",NA,NA,NA,"Locally common. Sandy cerrado<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006371","NL-U0006371",NA,"isotype",NA,NA,NA,NA,NA,"Magnoliopsidae","353861 B",NA,NA,NA,NA,NA
"11","2020-02-08 10:31:23-03","NBC","NL-BOTANY","U.1583020","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra",NA,"Anderson WR",NA,"1978","04","14","Southern America","Brazil",NA,NA,"Estado de Minas Gerais, Serra do Espinhaço. 9 km by road SW of Mendanha and the Rio Jequití on road to Diamantina.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1583020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1583020","NL-U1583020",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:31:23-03","NBC","NL-BOTANY","U.1583021","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Esenbeckia","irwiniana","Esenbeckia irwiniana","Kaastra","Pirani JR","Mello-Silva R de; et al.",NA,"1986","07","24","Southern America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1583021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1583021","NL-U1583021",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0088897",NA,NA,NA,NA,NA
