"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","typeStatus","fieldNumber","minimumElevationInMeters","sex","preparationType"
"1","2020-02-08 08:50:37-03","NBC","NL-BOTANY","U.1135734","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Mikania","stenomeres","Mikania stenomeres","B.L.Rob.","Hatschbach GG","1984","09","12","Southern America","Brazil","Ligação rod. BR-116 a Divisoplis, mun. Pedra Azul. Minas Gerais.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1135734 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1135734","NL-U1135734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:50:37-03","NBC","NL-BOTANY","U.1135735","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Mikania","stenomeres","Mikania stenomeres","B.L.Rob.","Lindeman JC; Haas JH de","1967","04","16","Southern America","Brazil","Flora Brasiliae Australis. Rio de Janeiro. Road from Sede do Parque Nacional do Italiaia to planalto. Small valley near broadcasting station.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1135735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1135735","NL-U1135735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:33:19-03","UFMG","BHCB","165151","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","stenomeres","Mikania stenomeres","B.L.Rob.","Freitas, FS; Batista, JAN; Vale, AA","2013","03","06","Southern America","Brasil","Parque Nacional do Itatiaia, parte alta, Beira da estrada de subida para o posto do Marcão","Liana. Invólucro verde, lobos da corola lanceolados, crème.","BHCB018431",NA,"Dicotyledon","2014","10","06","16","Rio De Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","3352072","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","stenomeres","Mikania stenomeres","B.L. Rob.","Gert G. Hatschbach","1984","9","12","South America","Brazil","Ligacao rod. BR-116 a Divisopolis (mun, Pedra Azul)",NA,NA,NA,NA,NA,NA,NA,"Hatschbach 48165","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","3031269","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Mikania","stenomeres","Mikania stenomeres","B.L. Rob.","G. Hatschbach","1984","9","12","South America - Neotropics","Brazil","Ligação Rod. BR-116 a Divisopolis (mun Pedra Azul)",NA,"US01674377","US01674377_01",NA,NA,NA,NA,"48165","Minas Gerais",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3070795","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Mikania","stenomeres","Mikania stenomeres","B.L. Rob.","G. Hatschbach & R. Kummrow","1985","9","15","South America - Neotropics","Brazil","Rod. Guinda-Cons. Mata (mun. Diamantina)",NA,"US01674376","US01674376_01",NA,NA,NA,NA,"49716","Minas Gerais",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"7","2010-08-16 16:37:41-03","GH","HU-HERB","GH 00010475","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","stenomeres","Mikania stenomeres","B. L. Robinson","E. W. D. Holway & M. M. Holway","1922","5","17","South America","Brazil","Serra Itatiaya",NA,NA,NA,NA,NA,NA,NA,"1856","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Holotype","1856","2100","undetermined","Sheet"
