"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-24 17:09:53-03","UFES","SAMES","1671","PreservedSpecimen","Plantae","Rubiaceae","Bradea","montana","Bradea montana","Brade","Ribeiro,M.","2019","04","16","Pinto Junior, H.V.; Covre, C.","263","2016","03","21","Brasil","Espírito Santo","Nova Venécia","Pedra do Elefante. Vertente leste da Pedra do Elefante.","-40.4006004333496","-18.710599899292","-404566667.0","-187686111.0","42400","Arbusto de 1,5 m; vegetação rupícola; folhas verdes; flores diminutas.","SAMES01671","auto",NA,NA,NA
"2","2020-07-10 09:49:04-03","MBML","MBML-HERBARIO","13694",NA,"Plantae","Rubiaceae","Bradea","montana","Bradea montana","Brade","C. N. Fraga/30-X-2000",NA,NA,NA,"L. Kollmann; et al","3224","2000","10","13","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","41W6'2","20S31'9",NA,"Planta 30cm. Ao sol. Flores lilás.","MBML013694",NA,NA,NA,NA
"3","2020-07-10 09:49:04-03","MBML","MBML-HERBARIO","48238",NA,"Plantae","Rubiaceae","Bradea","montana","Bradea montana","Brade",NA,NA,NA,NA,"J.A. Oliveira; D. Monteiro, R.C. Forzza & R.G. Barbosa-Silva","392","2013","08","07","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Pico do Forninho","-41.096667","-20.521667","41W5'48","20S31'18",NA,"Arbusto com copa arredondada, ca 40cm alt., no inselbergue. Folhas discolores, margem vinácea. Frutos passados. Apenas um indivíduo encontrado no local. Material coletado em sílica. Material prensado em álcool","MBML048238",NA,"1698","1698",NA
"4","2020-07-23 12:20:07-03","CEPLAC","CEPEC","129407","PreservedSpecimen","Plantae","Rubiaceae","Bradea","montana","Bradea montana",NA,"J. G. Jardim",NA,NA,NA,"L. Kollmann","10683","2008","02","19","Brasil","Espírito Santo","NOVA VENÉCIA","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, Pedra do Elefante.",NA,"-18.766944",NA,"18S46'1",NA,NA,NA,NA,NA,NA,"30/01/2010"
