"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","typeStatus","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","475405","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.","W. R. Anderson","A. M. Amorim","1527","1993","11","28","South America","Brazil","Sergipe","Estância","Cerca de 19,4 km da BR 101 em direçao à Praia do Abais","-37.4381","-11.2683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475405","NY00475405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","475401","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.","W. R. Anderson","R. Callejas Posada","1742","1983","11","12","South America","Brazil","Bahia","Salvador","3 km de la ciudad de Salvador al oeste del aeropuerto","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475401","NY00475401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","475404","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.","W. R. Anderson","R. P. Belém","308","1965","01","25","South America","Brazil","Bahia","Salvador","Lagoa Abaeté","-38.357405","-12.944359","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475404","NY00475404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","475402","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.","W. R. Anderson","S. A. Mori","14054","1981","05","22","South America","Brazil","Bahia","Salvador","Lagoa de Abaeté, NE edge of the city of Salvador","-38.357405","-12.944359","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475402","NY00475402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","475403","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.","W. R. Anderson","A. M. V. de Carvalho","715","1981","05","23","South America","Brazil","Bahia","Salvador","Ca. 30 km do centro da cidade, N de Salvador. Estrada para o aeroporto, arredores de Itapua","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475403","NY00475403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1019645","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.",NA,"S. F. Conceição","419","2005","11","17","South America","Brazil","Bahia","Conde","Siribina, Cavalo Russo.","-37.8314","-12.315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019645","NY01019645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:44:21-03","UNEB","HUNEB","11044","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","Juss.",NA,"Guedes, M.L.","ALCB 72715","2006","06","10",NA,"Brasil","Bahia","Camaçari","Região Metropolitana de Salvador, Guarajuba.","-38.316667","-12.683333",NA,NA,"HUNEB0011044",NA,"Dicotyledoneae","38W19'0''","12S41'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-19 15:44:21-03","UNEB","HUNEB","13301","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.",NA,"Gomes, F.S.","54ALCB:85024","2008","07","21",NA,"Brasil","Bahia","Mata de São João","Litoral Norte, Diogo","-37.941111","-12.459444",NA,NA,"HUNEB0013301",NA,"Dicotyledoneae","37W56'28''","12S27'34''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-19 15:44:21-03","UNEB","HUNEB","4180","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","Juss.",NA,"Saar, E.","36","2000","05","11",NA,"Brasil","Bahia","Conde","Barra do Itariri ( Farol)","-37.6","-11.8",NA,"Área antropizada","HUNEB0004180",NA,"Dicotyledoneae","37W36'0''","11S48'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-19 15:44:21-03","UNEB","HUNEB","7484","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A.Juss.",NA,"Guedes, M.L.","9010","2001","06","17",NA,"Brasil","Bahia","Entre Rios","Massarandupió, a 20 km de Porto do Sauípe.","-37.8375","-12.311667",NA,NA,"HUNEB0007484",NA,"Dicotyledoneae","37W50'15''","12S18'42''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-19 15:44:21-03","UNEB","HUNEB","8809","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","Adr. Juss.",NA,"Bautista, H.P.","1809","1996","06","19",NA,"Brasil","Bahia","Esplanada","Fazenda do Bu / Mata do São Miguel.","-37.690833","-12.065",NA,NA,"HUNEB0008809",NA,"Dicotyledoneae","37W41'27''","12S3'54''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-19 15:44:21-03","UNEB","HUNEB","9863","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","A. Juss.",NA,"Guedes, M.L.","10102ALCB 61517","2002","04","06",NA,"Brasil","Bahia","Salvador","Região Metropolitana de Salvador, Dunas do Abaeté.","-38.35","-12.933333",NA,NA,"HUNEB0009863",NA,"Dicotyledoneae","38W21'0''","12S56'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-19 15:44:21-03","UNEB","HUNEB","1814","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Malpighiaceae","Byrsonima","microphylla","Byrsonima microphylla","Juss.",NA,"Arbués,R.S.","23279","1987","11","01",NA,"Brasil","Bahia","Camaçari","Dunas de interlago, próxima a Tibras.","-38.3241996765137","-12.6975002288818",NA,NA,"HUNEB0001814",NA,"Dicotyledoneae",NA,NA,"37124","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
