"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843357","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","DC.","J. Semir","W. R. Anderson","36019","1972","02","14","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 5 km SSE of Pico do Itambé","-43.3919444","-18.43185","1140","1140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843357","NY01843357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843356","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","DC.","J. Semir","H. S. Irwin","29117","1971","01","25","South America","Brazil","Minas Gerais","Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843356","NY01843356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843355","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","DC.","J. Semir","A. F. M. Glaziou","14952","1884","11","12","South America","Brazil","Minas Gerais","Des environs de Rio de Janeiro et d'Ouro Preto. Caraca mont. a la Carapuca.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050025' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843355","NY01843355_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1146023","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","DC.","J. N. Nakajima","P. G. Delprete","9555","2006","03","18","South America","Brazil","Goiás","Serra dos Pireneus, estrada lateral a direita da estrada Pirenópolis-Caclzinho, que vai em direção da Faz. Capitão do Mato. 300 m N do Morro do Cabeludo.","-48.8278","-15.7994","1280","1280","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1327277' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146023","NY01146023_01","Pirenópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02482392","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","DC.",NA,"L. Riedel","421","1824","08",NA,"South America","Brazil","Minas Gerais","M. Itacololumi",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2708488' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482392","NY02482392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:28:48-03","UNESP-IBB","BOTU","562","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","(DC. ex Pers.) DC.","Monge, M.","Leitão Filho, H.","9613","1978","12","12",NA,"Brasil","Minas Gerais","Serra do Caraça",NA,NA,NA,NA,NA,"Arbusto até 2 m; crescendo em pedra próximo à mata ciliar","BOTU000562","BOTU000562","Santa Barbara","2011","10","9999","9999",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:37-03","EAO","IAN","102501","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","(Pers.) DC.","Barreto, M","Magalhães, MG","1699","1942","05","05","Southern America","Brasil","Minas Gerais","Entre as rochas areníticas do Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Arbusto de 2-3m de altura, esparsos. Flor violácea.","IAN102501",NA,"Serro",NA,NA,NA,NA,"37754","auto",NA,NA,NA,NA,NA
"8","2021-03-30 12:34:37-03","EAO","IAN","14681","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","(Pers.) DC.","Barreto, M","Magalhães, MG","1698","1942","05","05","Southern America","Brasil","Minas Gerais","Entre pedras. Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Arbusto de 2m de altura. Flores violáceas. Raro.","IAN014681","IAN014681 IAN014681_e","Serro",NA,NA,NA,NA,"37754","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:01:27-03","ESALQ","ESA","41261","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","(DC. ex Pers.) DC.","Loeuille, B.","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21080.0","1998","04","07",NA,"Brasil","Minas Gerais",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA041261","ESA041261","Santo Antônio do Itambé","2009","03",NA,NA,"19014","auto","01",NA,NA,NA,NA
"10","2020-11-04 11:01:27-03","ESALQ","ESA","117721","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chronopappus","bifrons","Chronopappus bifrons",NA,"Lusa, M,G.","Lusa, M.G. et al.","63.0","2011","10","01",NA,"Brasil","Minas Gerais",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA117721",NA,"Santo Antônio do Itanbé","2011",NA,NA,NA,"19014","auto",NA,NA,NA,NA,NA
