"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","barcode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","previousCatalogNumber","imagecode","coordinatePrecision","geoFlag","typeStatus","preparationType","individualCount","relatedCatalogItem"
"1","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","14360","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","11","Glaziou, A.F.M.","8856","1886","01","01","Southern America","Brazil","Rio de Janeiro","Serra dos Orgãos, pres Theresopolis","G00016946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","63620","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Barboza, G.E.; Romero, V.; Bertone, G.","2025","2008","04","15","Southern America","Brazil","São Paulo","desde Parelheiros rumbo a Eng. Marsilac, a 300 m de la Estrada Ponte Seca rumbo a Marsilac","CORD00013316","01","605","605","frutos anaranjados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","73120","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2013","01","Godoy, S.A.P.; Garcia, R.J.F.; Ferreira, G.M.P.","755","1995","08","16","Southern America","Brazil","São Paulo","Parque Estadual Serra do Mar, Marsilac, Curucutu, subida para o Mirante",NA,"01",NA,NA,"arvoreta 2 m, DAP 0.03 m; flores alvas, estames amarelo-ouro","São Paulo","-46.743333","-23.991111","-46.743333","-23.991111","35305",NA,NA,NA,NA,NA,NA,NA
"4","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","96420","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Seele, C.","1004","2005","03","08","Southern America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgãos, upper part of the Rancho Frio trail","RB00468950","01","1625","1625","treelet about 1.5 m high; fruits orange coloured; high montane forest","Teresópolis","-43.013333","-22.463889","-43.013333","-22.463889","425465",NA,NA,NA,NA,NA,NA,NA
"5","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","96419","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Saavedra, M.M.; Bocayuva, M.","381","2007","05","02","Southern America","Brazil","Rio de Janeiro","Reserva Macaé de Cima, trilha em direção ao cume, atrás da casa de Bel e David Muller","RB00534929","01",NA,NA,"arbusto ca. 2 m; frutos de verdes a laranja","Nova Friburgo","-42","-22","-42","-22","454577",NA,NA,NA,NA,NA,NA,NA
"6","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","96424","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Bovini, M.G.; Baumgratz, J.F.; Giordano, L.C.; Tavares, R.A.; Silva, J.C. da","2228","2002","11","19","Southern America","Brazil","Rio de Janeiro","Macaé, Distrito de Frade, trilha para o Pico","RB00465309","01","1250","1250","arvoreta ca. 1 5 m, heliófila; folhas cartáceas, levemente discolores; frutos imaturos verdes-alvacentos",NA,NA,NA,NA,NA,"373324",NA,NA,NA,NA,NA,NA,NA
"7","2015-02-10 11:46:57-02","BM","SOLANACEAE_SOURCE_BR","96425","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Martinelli, G.; et al","13360","1989","06","28","Southern America","Brazil","Rio de Janeiro","Parque Estadual do Desengano, Pedra de Desengano",NA,"01","1800","1850","arbusto 2.1 m, heliófila, saxícola; folhas discolores; flores com pedicelo verde, calice verde-claro, corola alva, estames amarelos; botoes florais alvacentos; campos de actividade e transição p/ mata de altitude","Santa Maria Madalena","-41.916667","-21.883196","-41.916667","-21.883196","2079013",NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:46:57-02","BM","SOLANACEAE_SOURCE_BR","96426","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Martinelli, G.; et al","13274","1988","12","21","Southern America","Brazil","Rio de Janeiro","Parque Estadual do Desengano, Pedra de Desengano","RB00465319","01","1700","1800","arbusto 2 m; heliófila, saxícola; folhas discolores; frutos imaturos de cor verde; campos de altitude","Santa Maria Madalena","-41.916667","-21.883196","-41.916667","-21.883196","280535",NA,NA,NA,NA,NA,NA,NA
"9","2015-02-10 11:46:57-02","BM","SOLANACEAE_SOURCE_BR","96427","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Brade, A.C.","16776","1941","04","21","Southern America","Brazil","Rio de Janeiro","Serra dos Orgãos",NA,"01",NA,NA,"1.6 m; flores alvas-lilas",NA,NA,NA,NA,NA,"44867",NA,NA,NA,NA,NA,NA,NA
"10","2015-02-10 11:46:57-02","BM","SOLANACEAE_SOURCE_BR","96428","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Cronemberger, C.; Stravs, U.; Schittini, A.E.; Godinho, P.","5","2010","09","15","Southern America","Brazil","Rio de Janeiro","Teresópolis do Parnoso, excursão a trilha do Rancho Frio, 23K (0704594/7514750)","RB00601303","01",NA,NA,"arbusto 2 m; frutos amarelos; ambiente de sombra","Teresópolis","-42.988714","-22.454374","-42.988714","-22.454374","504168",NA,NA,NA,NA,NA,NA,NA
"11","2015-02-10 11:46:57-02","BM","SOLANACEAE_SOURCE_BR","96429","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","01","Wesenberg, J.W.; Baber, K.; Engelmann, R.","1046","2010","07","21","Southern America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgãos, Vale das Orquídeas","RB00660917","01","1985","1985","arbusto 2 m; fruto verde; floresta ombrofila densa altomontana","Teresópolis","-43.019722","-22.4575","-43.019722","-22.4575","518229",NA,NA,NA,NA,NA,NA,NA
"12","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","9766","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2013","01","Custodio Filho, A.","265","1980","07","11","Southern America","Brazil","São Paulo","Cunha, Reserva Florestal [44.50-45.50 W, 23.10-23.20S]","NY00669520","01","1000","1000","arvore 6 m de altura",NA,NA,NA,NA,NA,NA,"NY00669520",NA,NA,NA,NA,NA,NA
"13","2015-02-10 11:46:56-02","BM","SOLANACEAE_SOURCE_BR","54137","O","Plantae","Magnoliophyta","Dicotyledoneae","Solanales","Solanaceae","Solanum","verticillatum","Solanum verticillatum","S.Knapp & Stehmann","Knapp, S.","2014","11","Martinelli, G.; et al","2440","1977","06","08","Southern America","Brazil","Rio de Janeiro","Morro da Caledônia","K000658318",NA,"1400","1600","arbusto heliofito, folhas crassas verdes-brillhante na face ventral e fosca na face dorsal; calice esverdeado; corola alva ramos da inflorescencia vinosos","Nova Friburgo","-42.5311","-22.2819",NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA
