"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","375504","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.","T. D. Pennington","A. F. M. Glaziou","9502","1877","12","19","South America","Brazil","Rio de Janeiro","Fazenda de Sta. Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375504","NY00375504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375501","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.","T. D. Pennington","R. M. Harley","21279","1980","04","12","South America","Brazil","Bahia","Serra Geral da Caitité. 8.5km. N. of Brejinhos das Ametistas, on the Caitité road","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375501","NY00375501_01","Caetité","-42.48","-14.13","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375503","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.","T. D. Pennington","J. R. Pirani","2893","1993","05","16","South America","Brazil","Rio de Janeiro","28km do trevo de Cabo Frio, na Praia de Maçambaba. Area das Salinas PRING S. A.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375503","NY00375503_01","Arraial do Cabo","-42.0278","-22.9661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02422639","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.",NA,"D. A. Folli","5500","2007","07","03","South America","Brazil","Espírito Santo","Reserva Natural Vale.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635418' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422639","NY02422639_01","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375502","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.","T. D. Pennington","L. Riedel","15","1829",NA,NA,"South America","Brazil","Rio de Janeiro","In sylv. arenosis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375502","NY00375502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00880347","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.",NA,"D. A. Folli","5500","2007","07","03","South America","Brazil","Espírito Santo","Reserva Natural Vale.","separate fruit","Registro CVRD: 10007 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2618984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880347","NY00880347_01 NY00880347_02","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:49:35-03","EAO","IAN","110418","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.",NA,"Kuhlmann, JG","86094","1959","12","26","Southern America","Brasil","Rio de Janeiro","Lagoa Rodrigo de Fretas, Sacopan. Mata.",NA,"Árvore grande.","IAN110418",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:35-03","EAO","IAN","110387","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.",NA,"Kuhlmann, JG","15813","1920","11",NA,"Southern America","Brasil","Rio de Janeiro","Mundo Novo, Botafogo.",NA,"Árvore de regular altura; flor alva.","IAN110387",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:35-03","EAO","IAN","110436","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.",NA,"Machado, O","71390","1946","03","21","Southern America","Brasil","Rio de Janeiro","Restinga da Tijuca. Solo arenoso.",NA,"Árvore com 6m de altura, lactescentes; frutos amarelos.","IAN110436",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:24:58-03","UFBA","ALCB","48794","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","psammophila","Pouteria psammophila","(Mart.) Radlk.","Alves-Araújo, A","Jesus, NG de","1125","2000","03","23","Southern America","Brasil","Bahia","Litoral Norte, RPPN Fazenda Lontra/Saudade",NA,"8,0 m x 0,25x0,32x0,24 m; casca cinza, estriada; látex branco. Folhas semi-coriáceas, discolores, glabras, brilhantes. Fruto globoso, densamente coberto por pêlos ferrugíneos.",NA,NA,"Entre Rios","-38.083333","-11.95","150","150",NA,NA,"2009","03","25","-38.083333","-11.95",NA,NA,NA,NA,NA,NA
