"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","identifiedBy","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","class","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","relationshipType","relatedCatalogItem","individualCount"
"1","2016-09-27 15:17:00-03","NY","NYBG","318996","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","aurigenius","viscidulus","Evolvulus aurigenius viscidulus","Hassl.","isotype","E. Hassler","9815","1907","12","South America","Paraguay","Sierra de Amambay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318996","NY00318996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","485361","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"A. F. M. Glaziou","20420",NA,NA,"South America","Brazil","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485361","NY00485361_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","485362","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"A. F. M. Glaziou","20420",NA,NA,"South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485362","NY00485362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","485364","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"L. B. Smith","14765","1965","01","South America","Brazil","Above Rio da Mortes on road to Senges","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485364","NY00485364_01","Paraná","L. B. Smith","18","Jaguariaíva","-49.27","-24.13","810","810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","485367","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"A. C. Cervi","3222","1990","10","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485367","NY00485367_01","Paraná","P. P. A. Ferreira","22","Jaguariaíva","-49.68","-24.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","485363","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"S. Machado","171","1960","01","South America","Brazil","Km 145 estrada S. Paulo-Itapetininga. 10 km NE da Vila Alambari","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485363","NY00485363_01","São Paulo","J. J. Wurdack","23","Itapetininga","-48.0497","-23.5903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","318997","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.","syntype","F. Sellow","5185",NA,NA,"South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318997","NY00318997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","318998","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.","syntype","L. Riedel","907","1824","11","South America","Brazil","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318998","NY00318998_01","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03230886","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"R. Callejas Posada","1945","1983","12","South America","Paraguay","Pedro Juan Caballero (Ponta Pora), 30 km O de Pedro Juan Caballero","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2218004' target='other'> <mi>dwc_moreinfo</mi></a>","NY03230886","NY03230886_01","Amambay","O. Kosovsky","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","485368","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","barbatus",NA,"Evolvulus barbatus","Meisn.",NA,"E. P. dos Santos","s.n.","1996","11","South America","Brazil","Rio das Mortes, Estrada Jaguariaíva-Sengés","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485368","NY00485368_01","Paraná","P. P. A. Ferreira","07",NA,"-49.1","-24.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
