"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","fieldNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","kingdom","recordNumber","continentOcean","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2015-12-11 16:44:51-02","MNHN","RECOLNAT_MNHN_P","P01727786","PreservedSpecimen","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.","Wanderley","Graças, M.|Wanderley, L.","5572","1979","8","14","Brasil","Minas Gerais","Santana do Riacho","Km 127 ao longo da rodovia Belo Horizonte- Conceição do Mato Dentro.","-43.7144012451172","-19.1688995361328","26557","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01727786' target='other'> <mi>dwc_moreinfo</mi></a>","P01727786","P01727786_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","3000725","PreservedSpecimen","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.",NA,"JOLY",NA,"1972","8","21","Brazil","Minas Gerais",NA,"Município de Santana do Riacho: km 132 ao longo da rodovia Belo Horizonte- Conceição do Mato Dentro.",NA,NA,NA,NA,NA,NA,NA,NA,"Plantae","JOLY 3106","South America",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 18:30:22-03","USP","SPF","207723","PreservedSpecimen","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.","Wanderley, MGL","Pirani, JR; Cordeiro, I; Loeuille, B; Keeley, S",NA,"2009","07","12","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, APA do Morro da Pereira, rodovia Belo Horizonte - Conceição do Mato Dentro (MG010), Alto do Palácio, baixada da elevação onde se situa a estátua do Velho Juca.","-43.552972","-19.259917",NA,NA,"Ervas entre gramíneas, no campo brejoso, ao sol. Brácteas acastanhadas, flores amarelas.; Campo rupestre, brejo e mata ciliar.","SPF00207723",NA,NA,"Plantae","6022",NA,"2014","04","17","-43.552972","-19.259917","1200","1200",NA
"4","2019-11-21 10:19:55-03","IBt","SP","204740","S","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.",NA,"Kral, R; Lopes, EA; Lima, E",NA,"1985","08","01","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.4249992370605","-19.0372009277344","60318",NA,NA,NA,NA,"auto","Plantae","72996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 10:19:55-03","IBt","SP","204734","S","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.",NA,"Kral, R; Lopes, EA; Lima, E",NA,"1985","08","01","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.4249992370605","-19.0372009277344","60318",NA,NA,NA,NA,"auto","Plantae","72995",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 10:19:55-03","IBt","SP","179002a","Extra","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.","Wanderley, MGL","Wanderley, MGL",NA,"1979","08","14","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 127 da rod. Lagoa Santa - Conceição do Mato Dentro","-43.7449989318848","-19.513599395752","31264",NA,"Flores amarelas. Planta bulbosa em grandes touceiras","SP003033","SP003033","auto","Plantae","CFSC5572",NA,"1983",NA,NA,NA,NA,NA,NA,"Holotype"
"7","2019-11-21 10:19:55-03","IBt","SP","179002","S","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.","Wanderley, MGL","Wanderley, MGL",NA,"1979","08","14","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 127 da rod. Lagoa Santa - Conceição do Mato Dentro","-43.7449989318848","-19.513599395752","31264",NA,"Flores amarelas. Planta bulbosa em grandes touceiras","SP003032","SP003032","auto","Plantae","CFSC5572",NA,"1983",NA,NA,NA,NA,NA,NA,"Holotype"
"8","2021-01-11 11:20:41-03","IBt","SP","487273","S","Xyridaceae","Xyris","dardanoi","Xyris dardanoi","Wand.",NA,"Pirani, JR",NA,"2009","07","12","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557",NA,NA,NA,NA,"auto","Plantae","6022",NA,NA,NA,NA,NA,NA,NA,NA,NA
