"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","894917","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","glauca","Mikania glauca","Mart.","W. C. Holmes","R. J. V. Alves","1585","1990","09","21","South America","Brazil","Minas Gerais","Ouro Preto","Serra da Chapada.","-43.5081","-20.2878","1280","1280","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894917","NY00894917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894918","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","glauca","Mikania glauca","Mart.","H. E. Robinson","W. R. Anderson","9001","1973","04","15","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 13 km by road SW of Rio Jequití and Mendanha on road to Diamantina","-43.58685","-18.18305","1410","1410","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894918","NY00894918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894919","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","glauca","Mikania glauca","Mart.","G. M. Barroso","H. S. Irwin","19894","1968","02","12","South America","Brazil","Minas Gerais",NA,"Serra de Itabirito, ca. 45 km S.E. of Belo Horizonte.","-43.8","-20.2","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894919","NY00894919_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1579499","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","glauca","Mikania glauca","Mart.","H. E. Robinson","G. G. Hatschbach","36574","1975","02","28","South America","Brazil","Minas Gerais","São Thomé das Letras","S. Tomé das Letras, arredores.","-44.98139","-21.7234469",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1785701' target='other'> <mi>dwc_moreinfo</mi></a>","NY01579499","NY01579499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:43:22-03","UNEB","HUNEB","11680","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex. Baker.",NA,"Almeida, G.S.S.","454","2006","06","27",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha do Morro do Cachorro.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"HUNEB0011680",NA,"Dicotyledoneae","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:37:05-03","EAO","IAN","34850","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN034850","IAN034850_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:56-03","EAO","IAN","104313","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker",NA,"Magalhães, MG","1245","1942","01","28","Southern America","Brasil","Minas Gerais","Ouro Preto","Campo, arenoso no alto da Serra Lavras Novas e serra Itatiaia.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto de 1,5-2m de altura; flor alva.","IAN104313",NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:56-03","EAO","IAN","104407","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Barreto, M","Magalhães, MG","1611","1942","05","03","Southern America","Brasil","Minas Gerais","Serro","Campo arenoso, serra Quebrada.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Arbusto de 1m de altura; flores alvas, muito frequente.","IAN104407",NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:56-03","EAO","IAN","13768","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Barreto, M","Magalhães, MG","1611","1942","05","03","Southern America","Brasil","Minas Gerais","Serro","Campo arenoso, serra Quebrada.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Arbusto de 1m de altura; flores alvas, muito frequente.","IAN013768","IAN013768 IAN013768_e",NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:56-03","EAO","IAN","55284","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Killip, EP","Kiehl, J","3709","1939","04","20","Southern America","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,"Arbusto.","IAN055284",NA,NA,"38855","auto","1943","01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:50:31-03","NBC","NL-BOTANY","U.1136851","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Hind DJN","Giulietti AM; et al.",NA,"1994","01","16","Southern America","Brazil","Minas Gerais",NA,NA,"-43.616667","-20.483333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136851 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136851","NL-U1136851","Magnoliopsidae",NA,NA,"1996","03","01","-43.616667","-20.483333","U 0111378",NA,NA,NA,NA
"12","2020-11-04 11:01:56-03","ESALQ","ESA","23561","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Oliveira, C.T.","Giulietti, A.M. et al.",NA,"1994","01","16",NA,"Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,"ESA023561","ESA023561",NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:01:56-03","ESALQ","ESA","23795","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Oliveira, C.T.","Giulietti, A.M. et al.",NA,"1994","01","16",NA,"Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,"ESA023795","ESA023795",NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:01:56-03","ESALQ","ESA","82950","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Oliveira, C.T.","Araújo, A.O.; Romão, G.O.; Vieira, S.",NA,"2003","01","08",NA,"Brasil","Minas Gerais","Diamantina","ca. 8 km de Diamantina na estrada para Mendanha",NA,"-18.18","1230","1230",NA,"arbusto 1,5 m; papus creme","ESA082950","ESA082950",NA,NA,NA,NA,NA,NA,"-43,543,333","-18.18",NA,NA,NA,NA,NA
"15","2020-11-04 11:01:56-03","ESALQ","ESA","77585","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart.ex Baker","Oliveira, C.T.","Souza, V.C.; Araújo, A.O.; Romão, G.O.; Elias, S.I.; Sampaio, D.","28087.0","2002","02","20",NA,"Brasil","Minas Gerais","Ouro Preto","Estrada Ouro Preto - Ouro Branco, próximo ao Rio Falcão e à saída para Lavras Novas. 1200 m.s.m.","-433.349","-202.624",NA,NA,NA,"Erva, ca. 1,4 m alt.;folhas glaucas; flores creme.","ESA077585","ESA077585",NA,NA,NA,NA,NA,NA,"-433,349","-202,624",NA,NA,NA,NA,NA
"16","2020-11-04 11:01:56-03","ESALQ","ESA","18725","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","glauca","Mikania glauca","Mart. ex Baker","Oliveira, C.T.","Souza, V.C. et al.","7943.0","1995","03","08",NA,"Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,"ESA018725","ESA018725",NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
