"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00664111","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.","L. R. Noblick","H. S. Irwin","27605","1970","03","15","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 23 km E. of Diamantina.","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664111","NY00664111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00664222","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.",NA,"L. R. Noblick","4843","1992","03","19","South America","Brazil","Minas Gerais","Ca. 10 km N. of the city on BR-367, the road to Mendanha.","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664222","NY00664222_01 NY00664222_02 NY00664222_03 NY00664222_04 NY00664222_05","Diamantina","-43.6","-18.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00664112","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.","L. R. Noblick","H. S. Irwin","27605","1970","03","15","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 23 km E. of Diamantina.","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664112","NY00664112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03097843","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.",NA,"G. Martinelli","18758","2015","10","11","South America","Brazil","Minas Gerais","próximo a 1ª porteira do Parque, 1,8 km da guarita. Parque Estadual do Rio Preto","873","873","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343398' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097843","NY03097843_01","São Gonçalo do Rio Preto","-43.3439","-18.0711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00664113","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.","L. R. Noblick","H. S. Irwin","27605","1970","03","15","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 23 km E. of Diamantina.","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664113","NY00664113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00664110","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.","L. R. Noblick","H. S. Irwin","27605","1970","03","15","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 23 km E. of Diamantina.","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664110","NY00664110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG2113","S","Plantae",NA,NA,"Arecaceae","Syagrus","glaucescens","Syagrus glaucescens",NA,"Lorenzi","Juliana Lima Passos Rezende",NA,"2013","07","06",NA,"Brasil","Minas Gerais","Campo da Bezerra",NA,NA,NA,"Inflorecência amarela, sepalas duras, ovario 1 locular com micelio dentro, x 657183 y 7950911.",NA,NA,"Serro","-43.3793983459473","-18.604700088501","2015","03","20","37754","auto",NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:51:37-03","EAO","IAN","105491","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Arecaceae","Syagrus","glaucescens","Syagrus glaucescens","Glaz. ex Becc.","Noblick, LR","Magalhães, MG","4859","1949","08","29","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"IAN105491",NA,"Diamantina","-43.6002998352051","-18.2493991851807","1994",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:41-03","ESALQ","ESA","77822","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Syagrus","glaucescens","Syagrus glaucescens",NA,"Noblick, L.R.","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28324.0","2002","02","24",NA,"Brasil","Minas Gerais","Estrada para Diamantina, ca. 5 km de Mendanha. Campo rupestre com cerrado adjacente","800","800",NA,"Planta acaule; folhas glaucas na face inferior; espatas castanhas. Campo arenoso, entre blocos rochosos.","ESA077822","ESA077822","Mendanha","-433.014","-180.838","2014","01","03",NA,NA,"-433,014","-180,838",NA,NA,NA,NA
"10","2020-11-04 11:00:41-03","ESALQ","ESA","77821","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Syagrus","glaucescens","Syagrus glaucescens",NA,"Noblick, L.R.","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28323.0","2002","02","24",NA,"Brasil","Minas Gerais","Estrada para Diamantina, ca. 5 km de Mendanha. Campo rupestre com cerrado adjacente","800","800",NA,"Planta de ca. 2 m alt.; folhas glaucas na face inferior; flores creme. Entre rochas.","ESA077821","ESA077821_1 ESA077821_2","Mendanha","-433.014","-180.838","2014","01","03",NA,NA,"-433,014","-180,838",NA,NA,NA,NA
