"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks"
"1","2019-09-27 18:04:03-03","UFES","VIES","10700","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","Gomes, J.M.L.","1988","10","20","Gomes, J.M.L.","2504","1988","10","20","Brasil","Espírito Santo","Guarapari","Parque Estadual de Setiba.","-40.5110015869141","-20.6580009460449","28401","VIES010700","VIES010700","auto",NA,NA,NA
"2","2019-11-22 18:44:27-03","UFES","VIES","40113","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","D. Cavalcanti","2019","20","11","Barros, P.H.D.; Silva, L.A.","276","2012","10","26","Brasil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema.","-40.2924995422363","-20.3297004699707","27156","VIES040113","VIES040113","auto",NA,NA,NA
"3","2020-04-27 16:09:05-03","UFES","VIES","46526","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","D. Cavalcanti","2020","02","19","Silva, H.L.; Alves, K.P.; Valadares, R.T.","361","2020","01","27","Brasil","Espírito Santo","Serra","Área de Proteção Ambiental do Mestre Álvaro.","-40.308056","-20.160833",NA,"VIES046526","VIES046526",NA,"40º18'29''W","20º9'39''S",NA
"4","2019-06-27 10:24:20-03","UFES","VIES","25272","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme",NA,NA,NA,NA,"Gomes, J.M.L.","4527","1999","09","11","Brasil","Espírito Santo","Guarapari","Parque estadual Paulo Cesar Vinha.","-40.5110015869141","-20.6580009460449","28401","VIES025272","VIES025272","auto",NA,NA,NA
"5","2019-09-27 18:04:03-03","UFES","VIES","17802","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","Gomes, J.M.L.","1998","10","10","Gomes, J.M.L.","2509","1998","10","10","Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449","28401","VIES017802","VIES017802","auto",NA,NA,NA
"6","2019-09-27 18:04:03-03","UFES","VIES","10702","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","Gomes, J.M.L.","1998","10","20","Gomes, J.M.L.","2506","1998","10","20","Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449","28401","VIES010702","VIES010702","auto",NA,NA,NA
"7","2019-09-27 18:04:03-03","UFES","VIES","10701","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","Gomes, J.M.L.","1998","10","20","Gomes, J.M.L.","2505","1998","10","20","Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449","28401","VIES010701","VIES010701","auto",NA,NA,NA
"8","2020-04-27 16:09:05-03","UFES","VIES","10699","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","Coser, T.S.","2011","06","02","Gomes, J.M.L.","2404","1998","02","10","Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449","28401","VIES010699","VIES010699","auto",NA,NA,NA
"9","2019-11-22 18:44:27-03","UFES","VIES","10857","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","D. Cavalcanti","2019","20","11","Zambom, O.; Assis, A.M. & Silva, S.S.","246","1996","03","23","Brasil","Espírito Santo","Vila Velha","Interlagos.","-40.2924995422363","-20.3297004699707","27156","VIES010857","VIES010857","auto",NA,NA,NA
"10","2019-11-22 18:44:27-03","UFES","VIES","10856","S","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","D. Cavalcanti","2019","20","11","Zambom, O.; Fagra, C.N. & Canal, M.","205","1996","01","03","Brasil","Espírito Santo","Vila Velha","Interlagos.","-40.2924995422363","-20.3297004699707","27156","VIES010856","VIES010856 VIES010856_1","auto",NA,NA,NA
"11","2021-04-07 16:08:49-03","UENF","HUENF","3537","PreservedSpecimen","Plantae","Bromeliaceae","Cryptanthus","dorothyae","Cryptanthus dorothyae","Leme","Leme, E.M.C.",NA,NA,NA,"Gaglianone, M.C.; et al.",NA,"2005","11","25","Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.066667","-21.4",NA,"HUENF00003540",NA,NA,"41º4'W","21º24'S","Mata de Tabuleiro; Epífita; sp.163"
