"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","identifiedBy","yearIdentified","occurrenceRemarks"
"1","2019-11-13 11:27:43-03","USP","SPF","227230","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","munchowiana","Cattleya munchowiana","(F.E.L.Miranda) Van den Berg","Cabral, A","138","2016","12","16","Brasil","Minas Gerais","Conselheiro Pena","Pico do Padre Ângelo","-41.576306","-19.31275","-41.576306","-19.31275","1260","1260","SPF00227230",NA,NA,NA
"2","2021-03-15 18:29:06-03","USP","SPF","232538","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","munchowiana","Cattleya munchowiana","(F.E.L.Miranda) Van den Berg","Gonella, PM","692","2014","07","09","Brasil","Minas Gerais","Alvarenga","Pico da Aliança, No topo do pico.","-41.691472","-19.395339","-41.691472","-19.395339","14","14","SPF00232538","Vasconcelos, R","2014","Ervas com pseudobulbos e folhas verdes a vináceos, corola rosa claro a rosa intenso. Crescendo diretamente sobre arenito. Simpátrica com Cattleya alvarenguensis (Gonella et al. 691).; Campo rupestre. Afloramentos de arenito, solo are"
