"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2016-09-28 13:55:00-03","NY","NYBG","386928","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum","S. R. Hill","A. Castellanos","33430","1974","07","21","South America","Brazil","Ceará","Entre rio Berbeiro. e Crato","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386928","NY00386928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 22:18:00-03","NY","NYBG","00942315","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum","S. R. Hill","L. O. Williams","6464","1945","03","05","South America","Brazil","Minas Gerais","Near airport.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942315","NY00942315_01","Belo Horizonte","-43.9378","-19.9208","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","386932","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum","P. A. Fryxell","A. M. V. de Carvalho","3968","1992","06","10","South America","Brazil","Bahia","Concreçoes rochosas calcáreas onde a gruta do Bom Jesus","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386932","NY00386932_01","Bom Jesus da Lapa","-43.41","-13.25",NA,NA,"(L.) Torr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1015365","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum",NA,"J. S. Blanchet","442","1831",NA,NA,"South America","Brazil","Bahia","In Brasilia intratropica circa Bahia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015365","NY01015365_01",NA,NA,NA,NA,NA,"(L.) Torr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386925","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum","A. Krapovickas","R. M. Harley","19864","1977","03","23","South America","Brazil","Bahia","Just North of Livramento do Brumado on the road to Vila do Rio de Contas. Below the Livramento waterfall on the Rio Brumado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386925","NY00386925_01",NA,"-41.83","-13.65","460","460","(L.) Torr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 13:55:00-03","NY","NYBG","386930","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum",NA,"O. Zagatto","6847","1940","02","15","South America","Brazil","São Paulo","Canal do saneamento","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386930","NY00386930_01","Campinas","-47.06","-22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687400","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum","P. A. Fryxell","J. G. Jardim","3415","2001","04","02","South America","Brazil","Bahia","Malhada. Rod. para o Distrito de Cana Brava, 3.5 km ao S da cidade. Áreas alagadiças dos Baixadões do Rio São Francisco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687400","NY00687400_01",NA,"-43.7538889","-14.3616667","450","450","(L.) Torr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386923","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum","A. Krapovickas","R. M. Harley","21376","1980","04","15","South America","Brazil","Bahia","Basin of the Upper Sao Francisco River","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386923","NY00386923_01","Bom Jesus da Lapa","-43.43","-13.25","450","600","(L.) Torr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 19:37:00-03","NY","NYBG","02099764","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum",NA,"Martii Herbar. Florae Brasil.","1010","1841",NA,NA,"South America","Brazil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2551303' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099764","NY02099764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1015364","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","americanum","Malvastrum americanum",NA,"J. Guillot","6",NA,NA,NA,"South America","Brazil","Bahia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104938' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015364","NY01015364_01",NA,NA,NA,NA,NA,"(L.) Torr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
