"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus"
"1","2021-04-05 14:25:31-03","UNESC","CRI","9595","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","A. A. de Oliveira","2010","10","04","A. Korte; A. Kniess","4262","2010","09","01","Brasil","Santa Catarina","Doutor Pedrinho","Cerro Azul.","-49.590556","-26.640278","49º35'26''W","26º38'25''S","957","957","Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbustiva","CRI004431","CRI004431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","7918","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Vanilde Citadini- Zanette","2007","10","13","Jaqueline Bonazza Rodrigues",NA,"2007","09","12","Brasil","Santa Catarina","Siderópolis","Sítio Sete Lombas.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI004439","CRI004439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","3089","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Daniel de Barcellos Falkenberg",NA,NA,NA,"Robson dos Santos","73","1994","05","13","Brasil",NA,"Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.7","-29.133333","49º42'W","29º8'S","30","30",NA,"CRI004437","CRI004437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:31-03","UNESC","CRI","9666","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","A. A. de Oliveira","2010","11","24","M. Verdi; E. Caglioni & E.M. Martins","5331","2010","08","14","Brasil","Santa Catarina","Taió","Fazenda Tarumã I.","-50.129444","-26.999444","50º7'46''W","26º59'58''S","808","808","Floresta Ombrófila Densa","CRI004432","CRI004432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:41-03","UNESC","CRI","4878","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Paulo Brack",NA,NA,NA,"Clair Maria Martinello; Z. P. Topanotti","39","1995","09","07","Brasil","Santa Catarina","Forquilhinha","Propriedade de C. J. Martinello - São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28",NA,"CRI004435","CRI004435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:41-03","UNESC","CRI","8023","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Vanilde Citadini- Zanette","2008","06","26","Beatriz Wessler; Bruna Alberton",NA,"2008","06","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","Habitat: borda da mata","CRI004434","CRI004434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:31-03","UNESC","CRI","14444","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Oliveira, AA de","2010","08","25","Stival-Santos, A.; Silveira, S.","3223","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá. RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'S","710","710","Florística IFFSC 388 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; entorno do fragmento Habito: arbusto; flor botão floral","CRI013607","CRI013607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:31-03","UNESC","CRI","9658","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","A. A. de Oliveira","2010","12","02","A. Korte; A. Kniess","4824","2010","10","27","Brasil","Santa Catarina","Major Vieira","Rio da Serra.","-50.4","-26.64","50º24'0''W","26º38'24''S","1009","1009","Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arvoreta","CRI004408","CRI004408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:31-03","UNESC","CRI","12793","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Renato Colares & Aline V. Guislon","2017","11","07","Aline Votri Guislon; Renato Colares",NA,"2017","07","05","Brasil","Santa Catarina","Grão Pará","Fora do Parque Estadual da Serra Furada","-49.395","-28.191111","49º23'42''W","28º11'28''S",NA,NA,"Habito: Arbustivo","CRI011057","CRI011057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:41-03","UNESC","CRI","3870","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","908","1988","09","05","Brasil","Rio Grande do Sul","Capão do Leão","Horto Botânico Irmão Teodoro Luiz.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","Habito: arbustiva","CRI004433","CRI004433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:41-03","UNESC","CRI","7975","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","Vanilde Citadini- Zanette",NA,NA,NA,"Beatriz Wessler; Bruna Alberton",NA,"2007","08","22","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI004438","CRI004438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","521685","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","J. J. Wurdack",NA,NA,NA,"R. A. Wasum","1841","1986","05","28","Brazil","Rio Grande do Sul","Portao","Portao","-51.2417","-29.7019",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521685","NY00521685_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","685427","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","R. Goldenberg",NA,NA,NA,"R. Goldenberg","747","2005","10","17","Brazil","Paraná","Tunas do Paraná","Estrada Tunas - Parque das Lauráceas","-49.0856","-24.9744",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685427","NY00685427_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01081580","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","s.n.","1931","08","19","Brazil","São Paulo","São Paulo","Capital, Nativa no Parque do Estado e Jardim Botanico.","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081580","NY01081580_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","521666","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","28141","1932","09","01","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521666","NY00521666_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","521678","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","S. F. Smith",NA,NA,NA,"R. A. Wasum","110","1999","09","07","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula - Várzea do Cedro","-50.462698","-29.210378",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521678","NY00521678_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","521674","PreservedSpecimen","Plantae","Melastomataceae","Miconia","hyemalis","Miconia hyemalis","A.St.-Hil. & Naudin","A. C. Brade",NA,NA,NA,"W. G. F. Herter","96503","1935","09","27","Brazil","Rio Grande do Sul","Sao Leopoldo","Sao Leopoldo","-51.143791","-29.75136",NA,NA,"20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610122' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521674","NY00521674_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
