"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","monthIdentified","dayIdentified","continentOcean","barcode","imagecode","individualCount","class","order","typeStatus","phylum","verbatimLongitude","verbatimLatitude"
"1","2019-08-16 08:40:40-03","UTFPR","HCF","27059","S","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W.Benn.","R. Lüdtke","2007","J. Cordeiro","2387","2006","10","18","Brasil","PR","Piên","Piên, próximo do trevo","-49.42919921875","-26.0981006622314","19924","ereta, flor lilás.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:41:21-03","MBM","MBM","321589","PreservedSpecimen","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn.","Lüdtke, R.","2007","Cordeiro, J.; Barboza, E.; Poliquesi, C.B.; Barboza, E.; Poliquesi, C.B.","2387","2006","10","18","Brazil","Paraná","Piên","Próximo ao trevo.","-49.42919921875","-26.0981006622314","19924","Ereta, flor lilás.","auto","10","18","Southern America","MBM321589","MBM321589",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:41:21-03","MBM","MBM","100048","PreservedSpecimen","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn.","Lüdtke, R.","2007","Jarekow, J.A.; et al.; et al.","135","1984","11","09","Brazil","Rio Grande do Sul","Vacaria","Vacaria","-50.9338989257812","-28.5121994018555","63451","Erva; flores brancas; beira de estrada; raízes com odor de salicilato de metila.","auto","02","22","Southern America","MBM100048","MBM100048",NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","2482309","PreservedSpecimen","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn.","Bernardi, L.",NA,"SCHENK","SCHENK 1307","1886","11","24","Brazil","Santa Catarina",NA,"Campo Alegre da Serra",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-22 16:37:00-03","MO","MOBOT","2516153","PreservedSpecimen","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn.","Bernardi, L.",NA,"Émile Hassler","Hassler 7705","1901","10",NA,"Paraguay","Itapúa",NA,"San Rafael, in regione cursus superioris flum. Apa",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"1",NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","616810","PreservedSpecimen","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn. in Mart.",NA,NA,"F. Sellow","s.n.",NA,NA,NA,"Brazil",NA,NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics","US00611057","US00611057_01","1","Dicotyledonae","Polygalales","Isotype",NA,NA,NA
"7","2017-09-11 17:13:10-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W.Benn.",NA,NA,"Sello, HL","1299",NA,NA,NA,"?",NA,NA,"Habitat haec species elegans et distinctissima in Montevideo et Brasilia adjacente",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P13P3N0014",NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 12:44:56-03","UFRGS","ICN","152136","S","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn.","Lüdtke, R",NA,"Lüdtke, R; Schneider, AA","774","2007","11","05","Brasil","RS","Campestre da Serra","BR 116 km 62 28°39'34.4S 51°03'32.1W","-51.058889","-28.659444",NA,"flores brancas, creme a rosadas, subarbusto decumbente a ereto; barranco rochoso na beira de estrada",NA,NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,"Dicotyledon","-51.058889","-28.659444"
"9","2021-02-08 12:44:56-03","UFRGS","ICN","061331","S","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Benn.",NA,NA,"Jarenkow, JA; Cestaro; Stehmann; Miotto","135","1984","11","09","Brasil","RS","Vacaria","BR 116 km 62","-50.9338989257812","-28.5121994018555","63451","Espécie ameaçada de extinção (Em perigo).; Erva em beira de estrada; flores brancas; raízes com odor de salicilato de metila","auto",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA
"10","2020-08-26 10:50:34-03","MCN-FZBRS","HAS","14668","PreservedSpecimen","Plantae","Polygalaceae","Polygala","selaginoides","Polygala selaginoides","A.W. Bennett","Neves, M.","1982","Abruzzi, M.L.","680","1982","07",NA,"Brasil","Rio Grande do Sul","Santa Maria","Mata marginal Rio Ibicuí-Mirim, área da barragem Saturnino de Brito.","-53.8069000244141","-29.6842002868652","37819","Flores brancas, em campo.","auto",NA,NA,NA,"HAS0014668",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA
