"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","decimalLongitude","decimalLatitude","stateProvince","day","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","148639","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","bakeri","Alsophila bakeri","Sodiro","isolectotype","A. L. Sodiro","1891","09","South America","Ecuador","In silvis trop. vallis Pallatángo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148639","NY00148639_01 NY00148639_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","148665","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","elongata","Alsophila elongata","Hook.","isolectotype","K. T. Hartweg",NA,NA,"South America","Colombia",NA,"sheet","Annotation on this packet: Number on original looks like 1521; Hooker cited 1528. This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148665","NY00148665_01","Unspecified Determiner","1528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","887898","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","impressa","Alsophila impressa","Fée","possible type","A. F. M. Glaziou",NA,NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887898","NY00887898_01",NA,"s.n.","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","148690","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","impressa","Alsophila impressa","Fée","holotype fragment","A. F. M. Glaziou",NA,NA,"South America","Brazil","Brasilia","sheet","This Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148690","NY00148690_01",NA,"983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","148749","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","poeppigii","Alsophila poeppigii","Hook.","isolectotype","E. F. Poeppig",NA,NA,"South America","Peru",NA,"sheet","This Type Fragment came from Prag. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148749","NY00148749_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","148747","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","poeppigii","Alsophila poeppigii","Hook.",NA,"H. Ruiz López",NA,NA,"South America","Peru",NA,"sheet","This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148747","NY00148747_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","148750","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","poeppigii","Alsophila poeppigii","Hook.",NA,"H. Ruiz López",NA,NA,"South America","Peru",NA,"sheet","This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148750","NY00148750_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","148748","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","poeppigii","Alsophila poeppigii","Hook.","isolectotype","E. F. Poeppig",NA,NA,"South America","Peru",NA,"sheet","This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=327826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148748","NY00148748_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","148804","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","sprucei","Alsophila sprucei","Hook.","holotype fragment","R. Spruce",NA,NA,"South America","Ecuador","Chimboago [orthography ?]","sheet","This Type Fragment came from K. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148804","NY00148804_01",NA,"740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","148807","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","tijucensis","Alsophila tijucensis","Fée","isolectotype","A. F. M. Glaziou",NA,NA,"South America","Brazil","Tijuca","sheet","This Type Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148807","NY00148807_01",NA,"1707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
