"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:41:03-03","E","E","322195","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","Hechenleitner Vega, Paulina","Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","Coastal road from Curiñanco to Niebla, close to Los Molinos","-73.3","-39.766667","-73.300000","-39.766667","8","8","herbarium specimen of unspecif","BGBASE:330575","<a href=http://data.rbge.org.uk/herb/E00322195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:03-03","E","E","319873","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","Elliot, Clarence","Temperate South America","CL","Región VIII [Biobío]","Provincia de Concepción",NA,NA,NA,NA,NA,"91","91","herbarium specimen of unspecif","BGBASE:325316","<a href=http://data.rbge.org.uk/herb/E00319873 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319873","566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:03-03","E","E","319874","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","Buchtien, Otto","Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia",NA,NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:325317","<a href=http://data.rbge.org.uk/herb/E00319874 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","497186","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","B. Rambo","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","S. Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497186","186","Magnoliophyta","Malpighiales","(Lam.) C.M.Rogers & R.Mildner","J. R. McDill","1932","09","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 07:47:00-03","NY","NYBG","497189","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","A. Isabelle","South America","Uruguay","Montevideo",NA,"Republique Oriental del Uruguay",NA,NA,NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497189","36","Magnoliophyta","Malpighiales",NA,"J. R. McDill","1838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","497187","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","J. E. Leite","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","Vicinity of Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497187","168","Magnoliophyta","Malpighiales","(Lam.) C.M.Rogers & R.Mildner","P. M. Jørgensen","1940","06",NA,"NY00497187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","497188","PreservedSpecimen","Plantae","Linaceae","Cliococca","selaginoides","Cliococca selaginoides","W. J. Eyerdam","South America","Chile","Bío-Bío","Concepción","Two miles northeast of Florida",NA,NA,NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497188","10720","Magnoliophyta","Malpighiales","(Lam.) C.M.Rogers & R.Mildner","R. Mildner","1958","02","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:05-03","UFRJ","RFA","18486","PreservedSpecimen","Plantae","Linaceae","Linum","selaginoides","Linum selaginoides","G.G. Hatschbach",NA,"Brasil","Paraná","Guarapuava","Rio Coutinho","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,NA,NA,NA,"RFA52804","31042",NA,NA,"Lam.","G.G. Hatschbach","1972","12","27",NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:42:19-03","EAO","IAN","41520","PreservedSpecimen","Plantae","Linaceae","Linum","selaginoides","Linum selaginoides","Jussieu, H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN041520","s.n.","Dicotiledônea",NA,"Lam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:54:34-03","NBC","NL-BOTANY","AMD.87673","PreservedSpecimen","Plantae","Linaceae","Linum","selaginoides","Linum selaginoides","Herter","Southern America","Uruguay",NA,NA,"Plantae Uruguayenses. Dep. de Montevideo. Sayago.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.87673 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD87673",NA,NA,"Malpighiales","Lam.",NA,"1930","01","05","NL-AMD87673",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
