"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","imagecode","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","400636","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Weber ex Benj.","P. G. Taylor","R. L. Liesner","23516","1988","04","21","South America","Venezuela","Bolívar","Gran Sabana; ca 10 km SW of Karaurin Tepui at junction of Río Karaurin and Río Asadon (Río Sanpa)","-61.05","5.32","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03857628","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Weber ex Benj.",NA,"O. Huber","4694","1979","11","07","South America","Venezuela","Amazonas","alrededores de Puerto Ayacucho aprox. 30 Km. al N Sabana de Rincones de Chacorro, a unos 5 km. al NE de Galipero","-67.33","5.8","80",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135187' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857628","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400635","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Weber ex Benj.","P. G. Taylor","G. T. Prance","28945","1984","02","11","South America","Brazil","Amazonas","Plateau of northern massif of Serra Araca. South side of North Mountain","-63.3745909","0.9016571","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400635",NA,"NY00400635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400597","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Weber ex Benj.",NA,"P. B. Cavalcante","2102","1969","05","21","South America","Brazil","Pará","Serra dos Carajás","-50.3","-6","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400597","Marabá","NY00400597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03857629","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Weber ex Benj.",NA,"R. L. Liesner","23516","1988","04","21","South America","Venezuela","Bolívar","ca 10 km SW of Karaurin Teoui at junction of Río Karaurin and Río Asadon (Río Sanpa)","-61.05","5.32","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135188' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857629","Gran Sabana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:04-03","UFRJ","RFA","34093","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","G.Weber ex Benj.","N.G. Silva","F.A. Esteves","94","2005",NA,NA,NA,"Brasil","Pará","Carajás, Lagoa N1 - C",NA,NA,NA,NA,NA,NA,"RFA37028","Pará",NA,"2008","05","02",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:04-03","UFRJ","RFA","34094","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","G.Weber ex Benj.","N.G. Silva","F.A. Esteves","76","2005",NA,NA,NA,"Brasil","Pará","Carajás, Lagoa N1 - O",NA,NA,NA,NA,NA,NA,"RFA37027","Pará",NA,"2008","05","02",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:31:04-03","UFRJ","RFA","34151","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","G.Weber ex Benj.","N.G. Silva","F.A. Esteves","89","2005",NA,NA,NA,"Brasil","Pará","Carajás, Lagoa N1 - C",NA,NA,NA,NA,NA,NA,"RFA37029","Pará",NA,"2008","05","02",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:33:12-03","NBC","NL-BOTANY","U.1419464","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Weber ex Benj.",NA,"Liesner RL",NA,"1988","04","21","Southern America","Venezuela",NA,"Venezuela. Edo. Bolivar: Gran Sabana, ca 10 km SW of Karaurin Tepui at junction of Río Karaurin and Río Asadon. (Río Sanpa).","-61.05","5.316667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1419464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1419464",NA,"NL-U1419464",NA,NA,NA,"Magnoliopsidae","-61.05","5.316667",NA,NA,NA,NA,NA
"10","2020-11-04 11:12:12-03","ESALQ","ESA","12086","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Utricularia","nervosa","Utricularia nervosa","Benj.","Gonella, P.M.","Souza, V.C.","4394.0","1993","10","30",NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA012086","Itararé",NA,NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA
