"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02703778","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas & Kin.-Gouv.","T. M. Scarponi","68","2014","08","04","South America","Brazil","Rio de Janeiro","Quissamã","Conglomerado 256-3-7-27. UTM E(252461m) N(7549722m). Fuso do GPS (24K).","-41.4721984863281","-22.1067008972168","33509","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2988745' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703778","NY02703778_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:46-03","UFRJ","RFA","42440","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas & Kin.-Gouv.","B.C. Kurtz; J. Caruso","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Quissamã","Parque Nacional da Restinga de Jurubatiba. Cordão de mata num dos braços da lagoa Preta","-41.4721984863281","-22.1067008972168","33509",NA,"Área C, indivíduo 135 (do inventário fitossociológico). Árvore 9 m de altura. DAP: 12,1 cm com frutos. Indivíduo recoletado, sem registro de data","RFA36722",NA,"auto","M.F. Freitas","2005","04","26",NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:10-03","UFRJ","RFA","7015","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas & Kin.-Gouv.","R.M. Klein","552","1953","08","13",NA,"Brasil","Santa Catarina","Brusque","Mata do Malucher","-48.9174995422363","-27.0981006622314","19684",NA,"Árvore 10 m de altura; Flor esverdeada; frutos maduros pretos","RFA46222",NA,"auto","M.F. Freitas","2001","03","15","60","60",NA,NA,NA,NA
"4","2019-12-04 15:25:42-03","PUCPR","HUCP","22666","S","Plantae","Eudicotiledonea",NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F. Freitas & Kin.-Gouv.","Beltrami, L","s.n.","2006","04","14",NA,"Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375","17116",NA,NA,"HUCP00014803","HUCP00014803","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:15:57-03","ESALQ","ESA","136114","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F. Freitas & Kin.-Gouv.","T.M. Scarponi","68.0","2014","08","04",NA,"Brasil","Rio de Janeiro","Quissamã",NA,"-41.4721984863281","-22.1067008972168","33509",NA,NA,"ESA136114",NA,"auto","M.F. Freitas","2015","03","13",NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:33:18-03","MN","R","232048","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F. Freitas & Kin-Gouv.","Kurtz, B.C.; Caruso, J.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Quissamã","Parque Nacional da Restinga de Jurubatiba. Cordão da mata num dos braços da lagoa Preta","-41.4721984863281","-22.1067008972168","33509",NA,NA,"R010036415",NA,"auto","Freitas, M.F.","2005","04","26",NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:44:02-03","UFJF","CESJ","44743","PreservedSpecimen","Plantae","Angiosperma",NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas e L.S.Kinoshita","E. Barbosa; L.M. Abe; J.A.Fagundes","s.n.","1999","05","07","América do Sul","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637","24916",NA,"Árvore","CESJ044743",NA,"auto","M.F. Freitas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:38:33-03","UNICAMP","UEC","106064","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas & Kinoshita","Martins, VLC; et al.","353","1997","06","25",NA,"Brazil","Rio de Janeiro","Quissamã","Estrada para Praia J. Francisco.","-41.433333","-22.101389",NA,NA,"Restinga arbustiva aberta, heliófita. ÁRvore ca. 4, folhas crassas; frutos maduros nigrescentes.",NA,NA,NA,"Freitas, MF","2005","06","30",NA,NA,"-41.433333","-22.101389",NA,NA
"9","2021-03-01 16:38:33-03","UNICAMP","UEC","11621","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas & Kinoshita","Hatschbach, G","41740","1978","11","24",NA,"Brazil","Paraná","Paranaguá","Pontal do Sul","-48.353528","-25.571922",NA,NA,"Arvoreta 5m., restinga. Xiloteeca.",NA,NA,NA,"Freitas, MF","2005","06","30",NA,NA,"-48.353528","-25.571922",NA,NA
"10","2021-03-01 16:38:33-03","UNICAMP","UEC","121731","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","rubra","Myrsine rubra","M.F.Freitas & Kinoshita","Farah, FT; Aguiar, S; Breier, TB; Rodrigues, RR; Souza, VC; Tamashiro, JY; et al.","2330","2001","04","18",NA,"Brazil","São Paulo","Itanhaém","Loteamento Maramba II, 6km de Itanhaém em direção à Peruíbe.","-46.922306","-24.230861",NA,NA,"Frutos verdes.; Floresta de REstinga paludosa com predomínio de guanandi em alguns trechos.",NA,NA,NA,"Freitas, MF","2005","06","30","5","10","-46.922306","-24.230861",NA,NA
