"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00917845","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","C. E. B. Proença","W. R. Anderson","35816","1972","02","11","South America","Brazil","Minas Gerais","Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","-43.3919444","-18.43185","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917845","NY00917845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1181363","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel",NA,"G. A. D. Correa Franco","3011","2000","04","25","South America","Brazil","São Paulo","Estrada intermediária, Parque Estadual da Serra do Mar, km 45.","-45.69906","-23.63797","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181363","NY01181363_01","Salesópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885700","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel",NA,"M. V. Peron","868","1989","08","14","South America","Brazil","Rio de Janeiro","Serra dos Pirineus. Reserva Ecológica Municipal de Macaé de Cima, Sítio Sophronites.","-42.05","-22","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885700","NY00885700_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:45:49-03","EAO","IAN","93579","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","chnoosepala","Eugenia chnoosepala angustifolia","Kiaersk.",NA,"Glaziou, AFM","2592","1907",NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"IAN093579",NA,NA,"angustifolia","isosintipo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-25 16:51:17-03","UFBA","ALCB","137902","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","Gonçalves, LF","Gonçalves, LF","428","2017","05","03","Southern America","Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Peixe.","-43.008333","-22.469444","1333","1333",NA,"arvoreta com aproximadamente 4,5 metros de altura, flores brancas com suave perfume adocicado. Botões ainda fechados.","ALCB068370","ALCB068370","Guapimirim",NA,NA,"-43.008333","-22.469444",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:37:01-03","UNICAMP","UEC","116460","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","Proença, C","Oliveira, AA; et al.","3690","2000","04","25",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar, Estrada intermediária, Km45. Floresta Ombrófila Densa com perturbação.","-45.683333","-23.633333","1060","1130",NA,"árvore, 10m alt., flores brancas. Interior de mata.","UEC106086","UEC106086","Salesópolis",NA,NA,"-45.683333","-23.633333","2009","10",NA,NA,NA,NA,NA
"7","2021-03-01 16:37:01-03","UNICAMP","UEC","116344","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","Proença, C","Franco, G; et al.","3011","2000","04","25",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar, Estrada intermediária, Km45. Floresta Ombrófila Densa com perturbação.","-45.698889","-23.637778","1150","1150",NA,"Árvore com botões avermelhados, flores brancas com cálice vinho-branco. Borda de mata.","UEC106108","UEC106108","Salesópolis",NA,NA,"-45.698889","-23.637778","2009","10",NA,NA,NA,NA,NA
"8","2021-03-26 10:43:32-03","UDESC","LUSC","7125","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","J.E.Q.Faria","G.Franco; et.al","3011","2000","04","25",NA,"Brasil","São Paulo","Estrada intermediária, Parque Estadual da Serra do Mar, km45. Floresta Ombrófila Densa com perturbação.","-45.8400001525879","-23.5300006866455",NA,NA,NA,"Árvore com botões avermelhados, flores brancas com cálice vinho-branco. Habitat: Borda de mata. Habito: Árvore","LUSC007615","LUSC007615","Salesópolis",NA,NA,NA,NA,NA,NA,"18032","auto",NA,NA,NA
"9","2020-06-29 09:31:41-03","UFRRJ","RBR","42340","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","455","2017","06","26",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Rancho Frio. Parque Nacional da Serra dos Órgãos","-42.999722","-22.457222","1224","1224",NA,NA,"RBR00042340","RBR00042340","Teresópolis",NA,NA,"42º59'59''W","22º27'26''S",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:31:41-03","UFRRJ","RBR","42341","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","451","2017","06","25",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Travessia da Neblina. Parque Nacional da Serra dos Órgãos","-43.010556","-22.456389","1757","1757",NA,NA,"RBR00042341","RBR00042341","Teresópolis",NA,NA,"43º0'38''W","22º27'23''S",NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 09:31:41-03","UFRRJ","RBR","42342","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","428","2017","05","03",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Peixe. Parque Nacional da Serra dos Órgãos","-43.008333","-22.466944","1333","1333",NA,NA,"RBR00042342",NA,"Guapimirim",NA,NA,"43º0'30''W","22º28'1''S",NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:31:41-03","UFRRJ","RBR","42343","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","416","2017","04","25",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Alcobaça. Parque Nacional da Serra dos Órgãos","-43.116389","-22.473333","1664","1664",NA,NA,"RBR00042343","RBR00042343","Petrópolis",NA,NA,"43º6'59''W","22º28'24''S",NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:31:41-03","UFRRJ","RBR","42344","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","406","2017","04","15",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha 360°. Parque Nacional da Serra dos Órgãos","-42.989167","-22.455833","1321","1321",NA,NA,"RBR00042344","RBR00042344","Teresópolis",NA,NA,"42º59'21''W","22º27'21''S",NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:31:41-03","UFRRJ","RBR","42346","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","269","2016","04","06",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Sino, perto da Pedra do Visual. Parque Nacional da Serra dos Órgãos","-43.015278","-22.450556","1649","1649",NA,NA,"RBR00042346","RBR00042346","Teresópolis",NA,NA,"43º0'55''W","22º27'2''S",NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 09:31:41-03","UFRRJ","RBR","42347","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","143","2015","06","06",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Travessia Petrôpolis x Terêsópolis. Parque Nacional da Serra dos Órgãos","-43.014722","-22.449444","1615","1615",NA,NA,"RBR00042347","RBR00042347","Teresópolis",NA,NA,"43º0'53''W","22º26'58''S",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:31:41-03","UFRRJ","RBR","42348","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","138","2015","05","30",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Peixe. Parque Nacional da Serra dos Órgãos","-43.008333","-22.466389","1297","1297",NA,NA,"RBR00042348","RBR00042348","Guapimirim",NA,NA,"43º0'30''W","22º27'59''S",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 09:31:41-03","UFRRJ","RBR","42349","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kiaerskoviana","Siphoneugena kiaerskoviana","(Burret) Kausel","L.F. Gonçalves","L.F. Gonçalves","135","2015","05","30",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Peixe. Parque Nacional da Serra dos Órgãos","-43.007778","-22.466111","1226","1226",NA,NA,"RBR00042349","RBR00042349","Guapimirim",NA,NA,"43º0'28''W","22º27'58''S",NA,NA,NA,NA,NA,NA,NA
