"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","894851","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophoriopsis","damazioi","Lychnophoriopsis damazioi","(P.Beauv.) H.Rob.","G. L. Smith","1043","1980","10","07","South America","Brazil","Minas Gerais","28 km N of Chapeu de Sol. Serra do Cipó.","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894851","NY00894851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894852","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophoriopsis","damazioi","Lychnophoriopsis damazioi","(P.Beauv.) H.Rob.","J. G. Stutts","966","1980","10","07","South America","Brazil","Minas Gerais","28 km N of Chapeu de Sol. Serra do Cipó.","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894852","NY00894852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894850","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophoriopsis","damazioi","Lychnophoriopsis damazioi","(P.Beauv.) H.Rob.","B. Maguire","49082","1960","08","07","South America","Brazil","Minas Gerais","Summit of Serra do Cipó, km. 112-128 on road from Hotel Chapeu do Sol.","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894850","NY00894850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:55-03","EAO","IAN","102526","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","P.Beauv.","Magalhães, MG","2385","1942","11","23","Southern America","Brasil","Minas Gerais","Nas rochas areníticas da Serra do Charco.",NA,NA,NA,"Arbusto de 1,50 a 2m de altura; isoladas.","IAN102526",NA,"Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:55-03","EAO","IAN","13895","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","P.Beauv.","Magalhães, MG","2386","1942","11","23","Southern America","Brasil","Minas Gerais","Nas pedras. Serra do Charco.",NA,NA,NA,"Arbusto de 2m de altura. Muito frequente.","IAN013895","IAN013895 IAN013895_e","Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:37:05-03","EAO","IAN","61390","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","P.Beauv.","Damázio, L","s.n.","1913",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN061390","IAN061390_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:01:55-03","ESALQ","ESA","8416","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","Beauv.","Sakuragui, C.M. ; Souza, V.C.","128.0","1990","08","04",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA008416","ESA008416","Santana do Riacho","Souza, V.C.","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:01:55-03","ESALQ","ESA","33198","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","Beauv.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Scalon, V.R.","11669.0","1996","07","04",NA,"Brasil","Minas Gerais","Serra do Cipó. Fazenda Cachoeira da Capivara. Campo arenoso com afloramentos rochosos.",NA,NA,NA,"Arbusto, ca. 1 m alt.; flores roxas. Transição afloramento rochoso - campo arenoso.","ESA033198","ESA033198","Santana do Riacho","Dematteis, M.","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:01:55-03","ESALQ","ESA","33631","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","Beauv.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Scalon, V.R.","11668.0","1996","07","04",NA,"Brasil","Minas Gerais","Serra do Cipó. Fazenda Cachoeira da Capivara. Campo arenoso com afloramentos rochosos.",NA,NA,NA,"Arbusto, até 1,5 m alt.; flores roxas. Transição afloramento rochoso - campo arenoso.","ESA033631","ESA033631","Santana do Riacho","Dematteis, M.","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:36:08-03","MN","R","15568","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","damazioi","Lychnophora damazioi","(Beauverd) H. Rob.","Glaziou, A.F.M.","19479","1892","04","19",NA,"Brasil",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000015568","R000015568_001",NA,"Barreto, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
