"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","class","individualCount","identifiedBy","month","day","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","county","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","279092","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cucullata","Ditassa cucullata","E.Fourn.","type","F. Sellow","s.n.","South America","Brazil","[from protologue: no locality]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00279092","NY00279092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2011-06-27 08:42:00-03","MO","MOBOT","428001","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cucullata","Ditassa cucullata","E. Fourn.",NA,"F. Sellow","Sellow 3943","South America","Brazil",NA,NA,NA,NA,NA,"1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","287469","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","cucullata","Ditassa cucullata","E. Fourn. in Mart.","Isotype","F. Sellow","s.n.","South America - Neotropics","Brazil","[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,"US00289357","US00289357_01",NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","1459767","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","cucullata","Ditassa cucullata","E. Fourn.",NA,"Ll. Williams","11639","South America - Neotropics","Venezuela","La Prisión, Medio Caura",NA,NA,"US00879860",NA,"1939","Dicotyledonae","1","Woodson, --","3","29","Bolívar","-64.86","6.9","120",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","290252","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","lagoensis","Ditassa lagoensis","E. Fourn. in Mart.","Isotype","E. Warming","s.n.","South America - Neotropics","Brazil","Lagoa Santa.",NA,NA,"US00112277","US00112277_01",NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-09-04 18:44:04-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Ditassa","cucullata","Ditassa cucullata",NA,"Type [status unknown]","F. Sellow",NA,"South America","Brazil",NA,NA,NA,NA,NA,"1836","Dicotyledoneae",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA
"7","2019-07-09 14:16:13-03","F","FMNH-SEEDPLANTS","V0361141F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Ditassa","cucullata","Ditassa cucullata",NA,"Isolectotype","F. Sellow",NA,"South America","Brazil",NA,NA,NA,"V0361141F","V0361141F_01","1836","Dicotyledoneae",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA
"8","2019-09-04 18:36:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Ditassa","lagoensis","Ditassa lagoensis",NA,"Type [status unknown]","J. E. B. Warming",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA
"9","2017-09-11 17:06:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Ditassa","cucullata","Ditassa cucullata","E.Fourn.",NA,"Sello, HL","s.n.","Southern America","Brazil","In Brasilia sine loco speciali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:06:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Ditassa","lagoensis","Ditassa lagoensis","E.Fourn.",NA,"Warming, JEB","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","-43.8897","-19.6272",NA,"Lagoa Santa","12338","auto"
