"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:26:04-03","UNESC","CRI","13127","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","Oliveira, AA de","2015","11","15","Oliveira, A.A. de","2735","2015","11","15","Brasil","Santa Catarina","São Joaquim","Luizinho. Luizinho.","-49.858889","-28.438056","49º51'32''W","28º26'17''S","1089","1089","CRI011655","CRI011655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","374670","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","S. F. Smith",NA,NA,NA,"R. A. Wasum","6236","1989","08","18","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech, Faxinal","-51.094927","-29.108528",NA,NA,"750","750","NY00374670","NY00374670_01","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597597' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374669","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","H. O. Sleumer",NA,NA,NA,"B. Rambo","34674","1947","01","12","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda Bernardo Velho","-50.388347","-28.558459",NA,NA,NA,NA,"NY00374669","NY00374669_01","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597600' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","374667","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","H. O. Sleumer",NA,NA,NA,"L. B. Smith","14283","1965","01","05","Brazil","Santa Catarina","Sao Joaquim","Near Encruzilhada de Boava, 8 km south of Sao Joaquim","-49.93","-28.33",NA,NA,"1300","1300","NY00374667","NY00374667_01","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597598' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","374671","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","S. F. Smith",NA,NA,NA,"R. A. Wasum","6236","1989","08","18","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech, Faxinal","-51.094927","-29.108528",NA,NA,"750","750","NY00374671","NY00374671_01","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597596' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02210557","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer",NA,NA,NA,NA,"R. A. Wasum","s.n.","1996","08","17","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Floresta Nacional I","-50.395632","-29.433343",NA,NA,"800","800","NY02210557","NY02210557_01","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2498547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374672","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","L. R. Landrum",NA,NA,NA,"L. R. Landrum","3865","1981","11","22","Uruguay",NA,NA,"Sierra de Animas, ca. 65 km E of Montevideo","-55.5","-34.75",NA,NA,NA,NA,"NY00374672",NA,"Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374668","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","H. O. Sleumer",NA,NA,NA,"P. K. H. Dusén","11842","1911","06","05","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"NY00374668","NY00374668_01","Magnoliophyta","Malpighiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=597601' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:48:32-03","EAO","IAN","87334","PreservedSpecimen","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer","Sleumer, HO","1977",NA,NA,"Rambo, B","s.n.","1946","02","19","Brasil","Rio Grande do Sul",NA,"caracol p. Canela.",NA,NA,NA,NA,NA,NA,"IAN087334",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:48-03","PUCPR","HUCP","3185","S","Plantae","Salicaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer.","Stephon, FS","1989","08","18","Wasum, R","s.n.",NA,NA,NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Faxinal, Ana Rech.","-51.1794013977051","-29.1681003570557",NA,NA,NA,NA,"HUCP00011651","HUCP00011651","Eudicotiledonea",NA,NA,NA,NA,"49662","auto",NA,NA,NA,NA
"11","2020-02-08 09:50:36-03","NBC","NL-BOTANY","L.2437582","PreservedSpecimen","Plantae","Flacourtiaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer",NA,NA,NA,NA,"Herter WG",NA,NA,NA,NA,"Uruguay",NA,NA,"Tacaurembó: Valle Eden.",NA,NA,NA,NA,NA,NA,"NL-L2437582","NL-L2437582",NA,"Malpighiales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2437582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"12","2020-02-08 09:50:36-03","NBC","NL-BOTANY","L.2437583","PreservedSpecimen","Plantae","Flacourtiaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer",NA,NA,NA,NA,"Lourteig A",NA,"1967","12","15","Brazil",NA,NA,"Est. Santa Catarina, Mun. Lajes, Painel, selva húmeda.",NA,NA,NA,NA,NA,NA,"NL-L2437583","NL-L2437583",NA,"Malpighiales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2437583 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"13","2020-02-08 09:50:36-03","NBC","NL-BOTANY","L.2437584","PreservedSpecimen","Plantae","Flacourtiaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer",NA,NA,NA,NA,"Smith LB; Reitz R",NA,"1957","01","24","Brazil",NA,NA,"Santa Catarina, Mun. Bom Retiro: dwardf forest, between Fazenda Santo Antonio and Fazenda Campo dos Padres, Campo dos Padres.",NA,NA,NA,NA,NA,NA,"NL-L2437584","NL-L2437584",NA,"Malpighiales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2437584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"14","2020-02-08 09:50:36-03","NBC","NL-BOTANY","L.2437585","PreservedSpecimen","Plantae","Flacourtiaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer",NA,NA,NA,NA,"Smith LB; Reitz R",NA,"1956","12","03","Brazil",NA,NA,"Santa Catarina, Mun. Lajes: along the estrada de Rodagem Federal, south of Lajes.",NA,NA,NA,NA,NA,NA,"NL-L2437585","NL-L2437585",NA,"Malpighiales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2437585 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
"15","2020-02-08 09:50:36-03","NBC","NL-BOTANY","L.2437586","PreservedSpecimen","Plantae","Flacourtiaceae","Azara","uruguayensis","Azara uruguayensis","(Speg.) Sleumer",NA,NA,NA,NA,"Hatschbach GG",NA,"1965","08","07","Brazil",NA,NA,"Est Parana, mun Araucaria, Capão Rodondo.",NA,NA,NA,NA,NA,NA,"NL-L2437586","NL-L2437586",NA,"Malpighiales","Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2437586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA
