"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843418","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","buxoides","Piptolepis buxoides","(Less.) Sch.Bip.","L. Riedel","911","South America","Brazil","Minas Gerais","Serra da Lapa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2051348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843418","NY01843418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843419","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","buxoides","Piptolepis buxoides","(Less.) Sch.Bip.","G. Gardner","4752","South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2051488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843419","NY01843419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843334","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","buxoides","Piptolepis buxoides","(Less.) Sch.Bip.","A. P. Duarte","7622","South America","Brazil","Minas Gerais","Serra do Cipó, km 134.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049987' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843334","NY01843334_01","J. Semir","1963","01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843399","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","monticola","Piptolepis monticola","Loeuille","W. R. Anderson","35817","South America","Brazil","Minas Gerais","Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050419' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843399","NY01843399_01","B. Loeuille","1972","02","11","-43.3919444","-18.43185","1700","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:37:06-03","EAO","IAN","34792","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptolepis","pseudomyrtus","Piptolepis pseudomyrtus","Sch.Bip.","Martins-da-Silva, RCV","s.n.","Southern America","Brasil",NA,NA,NA,NA,"IAN034792","IAN034792_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:07-03","UFBA","ALCB","106092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","monticola","Piptolepis monticola","Loeuille","Roque, N; Quaresma, AS","3742","Southern America","Brasil","Minas Gerais","Parque Estadual do Pico do Itambé. Após a Cachoeira do Rio Vermelho",NA,"até 1,8m alt., folhas discolores, cinéreas. Corola lilás.",NA,NA,"Cândido, JB","2012","09","26","-43.306667","-18.383056","1289","1289","2018","11","05","Serra Azul de Minas","-43.306667","-18.383056",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:51:01-03","NBC","NL-BOTANY","U.1141212","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Piptolepis","buxoides","Piptolepis buxoides","(Less.) Sch.Bip.","Riedel JGF",NA,"Southern America","Brazil",NA,"Serra da Lapa.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1141212 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1141212","NL-U1141212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:02:10-03","ESALQ","ESA","41260","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Piptolepis","monticola","Piptolepis monticola","Loeuille","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21079.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA041260","ESA041260","Cândido, J.B.","1998","04","07","-43.3067016601562","-18.465799331665",NA,NA,"2019","10","04","Santo Antônio do Itambé",NA,NA,NA,"19014","auto",NA,NA,NA,NA
"9","2021-01-14 15:24:27-03","MN","R","15287","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","buxoides","Piptolepis buxoides","(Less.) Sch. Bip.","Glaziou, A.F.M.","19552",NA,"Brasil","Minas Gerais",NA,NA,"Plantas do Brasil Central","R000015287","R000015287_001",NA,"1892","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:25:01-03","UNICAMP","UEC","127857","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","monticola","Piptolepis monticola","Loeuille","Souza, VC; Souza, JP; Capellari Jr, L; Elias, SI; Forster, W","21079",NA,"Brazil","Minas Gerais","Pico do Itambé.",NA,"Arbusto, ca. 1,5 m alt.; folhas acizentadas; flores lilases.; Campo rupestre.","UEC127116","UEC127116",NA,"1998","04","07","-43.317194","-18.401556","1500","1500",NA,NA,NA,"Santo Antônio do Itambé","-43.317194","-18.401556",NA,NA,NA,NA,NA,NA,NA
