"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:29-03","UNESC","CRI","14935","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","Oliveira, AA de","2010","04","28","Korte, A.; Kniess, A.","2317","2010","03","30","Brasil","Santa Catarina","Rodeio","São Pedro. São Pedro.","-49.411389","-26.910278","49º24'41''W","26º54'37''S","611","611","Florística IFFSC 690 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio Habito: arbusto; flor inflorescência rosa","CRI014374","CRI014374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","478190","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","31347","1973","02","07","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181",NA,NA,"800","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478190","NY00478190_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","520481","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato",NA,NA,NA,"A. C. Brade","17490","1945","02","25","Brazil","Rio de Janeiro","Itatiaia","Lote do Almirante","-44.5631","-22.4961",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=208179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520481",NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02104744","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","463","2009","05","13","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, trilha para Três Picos","-44.5631","-22.4961",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305545' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104744","NY02104744_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01874479","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato",NA,NA,NA,"M. Reginato","1445","2013","02","09","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Parte Baixa.","-44.606553","-22.457042",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085256' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874479","NY01874479_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02499173","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato",NA,NA,NA,"M. Reginato","1336","2012","02","15","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Ultimo Adeus","-44.607312","-22.459068",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085147' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499173","NY02499173_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874621","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato",NA,NA,NA,"P. Fiaschi","3530","2011","01","22","Brazil","Espírito Santo","Santa Leopoldina","Chaves. ES-080 (estrada não-pavimentada ligando a ES-261 à cidade de Santa Leopoldina), 8 km S da ES-261, num ramal de 1 km de extensão rumo à Cachoeira do REcanto, no Rio da Prata (afluente do Rio Santa Maria).","-40.54603","-20.00128",NA,NA,"564",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874621","NY01874621_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02104553","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato",NA,NA,NA,"P. C. Porto","1576",NA,NA,NA,"Brazil","Rio de Janeiro","Itatiaia","Maromba Km 4","-44.5631","-22.4961",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2569252' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104553","NY02104553_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01874737","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato; F. A. Michelangeli",NA,NA,NA,"A. Q. Lobão","1839","2012","01","13","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Parte baixa. Trilha para os Três Picos, início no antigo Hotel Simon.","-44.60569","-22.43022",NA,NA,"1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874737","NY01874737_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02104790","PreservedSpecimen","Plantae","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","M. Reginato",NA,NA,NA,"A. C. Brade","18288","1946","05","17","Brazil","Espírito Santo","Itaguaçu","Limoeiro - Santa Maria","-40.8556","-19.8019",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568460' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104790","NY02104790_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
