"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:33:18-03","UNESC","CRI","6368","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","Mara Ritter","1988","03","16","José da Costa Sacco","1316","1959","06","04","Brasil","Rio Grande do Sul","Pelotas","São Domingos.","-52.342778","-31.7725","52º20'34''W","31º46'21''S","17","17","Habitat: interior da mata Habito: trepadeira","CRI001193","CRI001193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:59-03","UNESC","CRI","3979","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","M. Ritter","1990","03","13","J. A. Jarenkow","1273","1989","03","25","Brasil","Rio Grande do Sul","Marcelino Ramos","Mata do Sétimo Céu.","-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"Habitat: trepadeira","CRI001192","CRI001192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","800784","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","B. L. Robinson",NA,NA,NA,"F. C. Hoehne","s.n.","1927","05","18","Brazil","São Paulo","Itapira","Itapira","-46.809771","-22.434053",NA,NA,NA,NA,"Ex. Secçao de Botanica - Museu Paulista <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800784","NY00800784_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","811709","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"P. K. H. Dusén","15226","1914","06","26","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811709","NY00811709_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 07:34:00-03","NY","NYBG","800792","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata",NA,NA,NA,NA,NA,"S. G. Tressens","6120","1999","04","27","Argentina","Misiones","Guaraní","Predio Guarani",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800792",NA,NA,"Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","801010","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","C. T. Oliveira",NA,NA,NA,"M. Sobral","2059a","1983","06",NA,"Brazil","Rio Grande do Sul",NA,"Torres",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801010","NY00801010_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","800787","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800787","NY00800787_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","800777","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"A. F. M. Glaziou","12870","1881","04","14","Brazil","Rio de Janeiro",NA,"Caminho do Macaco á la Tijuca","-43.340663","-22.961534",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800777","NY00800777_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","800789","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800789","NY00800789_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","811708","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","Á. L. Cabrera",NA,NA,NA,"R. Reitz","3999","1957","05","25","Brazil","Santa Catarina",NA,"Pôrto do Palmital, Garuva, S. Francisco do Sul.",NA,NA,NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811708","NY00811708_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","800781","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"A. C. Brade","18412","1946","05","25","Brazil","Espírito Santo","Itaguaçu","Jati boca","-40.8556","-19.8019",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800781","NY00800781_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
