"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","month","day","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","individualCount","relatedCatalogItem","sex"
"1","2016-10-21 20:33:00-02","NY","NYBG","250374","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","diffusa","Peperomia diffusa","isotype","A. Fendler","1178","1854","South America","Venezuela","Prope coloniam Tovar","-67.2894","10.4056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250374","NY00250374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00956951","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"H. S. Irwin","12499","1966","South America","Brazil","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956951","NY00956951_01","Kunth","C. L. F. Ichaso","02","10","Goiás","Alto Paraíso de Goiás","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00956955","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"G. T. Prance","59003","1964","South America","Brazil","Road Brasília to Taguatinga.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956955","NY00956955_01","Kunth","C. L. F. Ichaso; E. F. Guimarães","09","12","Distrito Federal","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559382","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"B. Maguire","29944","1950","South America","Venezuela","Cerro Huachamacari, Rio Cunucunuma; vicinity of Camp II",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559382","NY00559382_01","Kunth","J. A. Steyermark","12","19","Amazonas",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00956961","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"S. E. Henschen","III -1428","1868","South America","Brazil","Caldas","-46.3873839","-21.9230619","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956961","NY00956961_01","Kunth",NA,"02","18","Minas Gerais","Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00956960","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"G. A. Lindberg","485","1854","South America","Brazil","Serra de Caldas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956960","NY00956960_01 NY00956960_02","Kunth",NA,"08","04","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00559383","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"H. S. Irwin","12498","1966","South America","Brazil","Chapada dos Veadeiros, ca. 20 km W of Veadeiros","-47","-14","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559383","NY00559383_01","Kunth","C. L. F. Ichaso","02","10","Goiás","Alto Paraíso de Goiás","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","250685","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis","not a type","R. A. Toro","72","1929","South America","Colombia","Tumaco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250685","NY00250685_02","Kunth","G. Mathieu","10","05","Nariño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","559384","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"C. W. Mosén","1656","1874","South America","Brazil","Serra de Caracol","-46.79","-21.96","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559384","NY00559384_01 NY00559384_02","Kunth",NA,"05","04","São Paulo","Sao Joao da Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00956956","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","loxensis","Peperomia loxensis",NA,"G. T. Prance","59559","1964","South America","Brazil","Serra do Caiapó. 66 km. north of Jatai.","-51.7142","-17.8817","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956956","NY00956956_01","Kunth","C. L. F. Ichaso; E. F. Guimarães","10","22","Goiás","Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
