"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-10-09 11:21:17-03","UFBA","ALCB","76087","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","regia","Eugenia regia","M.O. Bünger & Sobral","Giaretta, A","2019","05","17","Santos, JS; Carvalho, G; Valadão, RM; Guedes, ML","202","2006","04","02","Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, RPPN - Peninha - Caminho para cachoeira do sossego","-38.95","-12.616667","-38.95","-12.616667","ca de 2,5m de altura. Folhas cartáceas; discolores; com face adaxial verde intenso. Flores terminais; pétalas vermelhas; vários estiletes alvos. Frutos imaturos verdes. Ocasional.","ALCB058424",NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:41-03","ESALQ","ESA","36398","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","regia","Eugenia regia","Bunger & Sobral","Valdemarin, K.S.","2019","02","01","Assis, M.A. et al.","467.0","1994","10","29",NA,"Brasil","São Paulo","Picinguaba",NA,NA,NA,NA,NA,NA,"ESA036398","ESA036398",NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:39:14-03","UFMG","BHCB","101629","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","regia","Eugenia regia","Bünger & Sobral",NA,"2016","03","22","Klein, VLG","1048","1990","10","23","Southern America","Brasil","Rio de Janeiro","Paraty","APA Cairuçú, Estrada para Trindade","-44.7131004333496","-23.2178001403809",NA,NA,"Árvore com cerca de 8 metros de altura, folhas verdes discolores, mais clara na face dorsal e cinéria quando jovens. Flores com brácteas verdes, cálice verde e corola alva. Estames muito claros com anteras escuras, após maturação.","BHCB037786","BHCB037786","Paratypus","34470","auto",NA,NA,NA
"4","2020-12-11 11:39:14-03","UFMG","BHCB","91221","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","regia","Eugenia regia","Bünger & Sobral",NA,"2016","06","22","Barros, F de","2877","1993","11","15","Southern America","Brasil","Rio de Janeiro","Parati","Estrada nova para a Praia do Sonho","-44.7131004333496","-23.2178001403809",NA,NA,"Árvore, ca 8 metros, frutos muito jovens","BHCB037789","BHCB037789","Isoparatypus","34470","auto",NA,NA,NA
"5","2020-07-23 12:15:51-03","CEPLAC","CEPEC","118322","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","regia","Eugenia regia",NA,"K. S. Valdemarin",NA,NA,NA,"F. de Barros","2877","1993","11","15",NA,"Brasil","Rio de Janeiro","PARATY","Estrada nova para a a praia do sonho.","-44.7131004333496","-23.2178001403809",NA,NA,"(espécie nova, está sendo descrita por Mariana Bunger)",NA,NA,"Paratipo","34470","auto","30/12/2005",NA,NA
"6","2020-07-23 12:15:51-03","CEPLAC","CEPEC","113543","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","regia","Eugenia regia",NA,"K. S. Valdemarin",NA,NA,NA,"Jardim, J. G.","4953","2006","01","15",NA,"Brasil","São Paulo","ubatuba","Rod. Ubatuba/Parati, ca. 1 km a partir da ponte sobre o Rio Escuro, Morro do Corsário, entrada à direita. Bairro Mato Dentro.","-42.15","-23.466667","42W9'","23S28'","Obs.: Sp. Nov (está sendo descrita por Mariana Bunger)",NA,NA,NA,NA,NA,NA,"30","30"
"7","2019-11-21 10:11:41-03","IBt","SP","65326","S","Plantae",NA,"Myrtaceae","Eugenia","regia","Eugenia regia","Bünger & Sobral","Bünger, MD","2016","03","22","Fontella, JP; Moura, C","94","1961","11","07",NA,"Brasil","São Paulo","Ubatuba","No alto do Morro Escuro, a 800m do rio Escuro. Em solo argiloso.","-45.0699996948242","-23.4300003051758",NA,NA,"Arvoreta 4m alt.","SP003620","SP003620","Holotype","34265","auto",NA,NA,NA
"8","2019-11-21 10:11:41-03","IBt","SP","65326a","Extra","Plantae",NA,"Myrtaceae","Eugenia","regia","Eugenia regia","Bünger & Sobral","Bünger, MD","2016","03","22","Fontella, JP; Moura, C","94","1961","11","07",NA,"Brasil","São Paulo","Ubatuba","No alto do Morro Escuro, a 800m do rio Escuro. Em solo argiloso.","-45.0699996948242","-23.4300003051758",NA,NA,"Arvoreta 4m alt.","SP003621","SP003621","Holotype","34265","auto",NA,NA,NA
