"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:57-03","UNESC","CRI","332","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","H. M. L. Wagner","1987","04","09","V. C. Zanette; V. P. Boff","698","1983","06","17","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI006728","CRI006728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:57-03","UNESC","CRI","13415","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","Renato Colares","2018","05","30","Renato Colares; Filipe Patel",NA,"2017","01","15","Brasil","Santa Catarina","Treviso",NA,"-49.456389","-28.525278","49º27'23''W","28º31'31''S","303","303","CRI012022",NA,"Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:50-03","UNESC","CRI","2311","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","L. B. Smith","1977","06","04","R. M. Klein",NA,"1964","03","04","Brasil","Santa Catarina","Águas de Chapecó",NA,"-52.986944","-27.070833","52º59'13''W","27º4'15''S","400","400","CRI006727","CRI006727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:57-03","UNESC","CRI","2444","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde",NA,NA,NA,NA,"A. P. Duarte",NA,"1959","11","01","Brasil","Rio de Janeiro","Rio de Janeiro","Lagoa Rodrigo de Freitas.","-43.207778","-22.903333","43º12'28''W","22º54'12''S",NA,NA,"CRI008817","CRI008817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:33-03","E","E","221688","PreservedSpecimen","Plantae","Gramineae","Digitaria","insularis","Digitaria insularis",NA,NA,NA,NA,NA,"Smith, Herbert H.",NA,NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00221688",NA,"<a href=http://data.rbge.org.uk/herb/E00221688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:232216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:33-03","E","E","514067","PreservedSpecimen","Plantae","Gramineae","Digitaria","insularis","Digitaria insularis",NA,NA,NA,NA,NA,"Pedersen, Troels Myndel","7023","1964","05","15","AR","Provincia de Corrientes",NA,"Dep. Mburucuyá; Santa Maria",NA,NA,NA,NA,NA,NA,"E00514067",NA,"<a href=http://data.rbge.org.uk/herb/E00514067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Temperate South America","herbarium specimen of unspecif","BGBASE:521143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:33-03","E","E","514063","PreservedSpecimen","Plantae","Gramineae","Digitaria","sacchariflora","Digitaria sacchariflora",NA,NA,NA,NA,NA,"Stuckert, Teodoro Juan Vicente","368",NA,NA,NA,"AR",NA,NA,"In Karlsruhe kultiviert aus abgefalllenen Samen der aus Argentinien stammenden und unter Nr. 368 ausgegebenen Pflanzen",NA,NA,NA,NA,"117","117","E00514063",NA,"<a href=http://data.rbge.org.uk/herb/E00514063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Temperate South America","herbarium specimen of unspecif","BGBASE:520511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:33-03","E","E","514064","PreservedSpecimen","Plantae","Gramineae","Digitaria","sacchariflora","Digitaria sacchariflora",NA,NA,NA,NA,NA,"Stuckert, Teodoro Juan Vicente","368",NA,NA,NA,"AR","Provincia de Córdoba",NA,"Bei Córdoba in Argentinien",NA,NA,NA,NA,"400","400","E00514064",NA,"<a href=http://data.rbge.org.uk/herb/E00514064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Temperate South America","herbarium specimen of unspecif","BGBASE:520514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:33-03","E","E","514062","PreservedSpecimen","Plantae","Gramineae","Digitaria","sacchariflora","Digitaria sacchariflora",NA,NA,NA,NA,NA,"Stuckert, Teodoro Juan Vicente","243","1900","11","09","AR","Provincia de Córdoba",NA,"Meist auf trockenem Alluvial u Toscalboden auf de Estancia San Teodoro, Distrikt Villamonte, Bezirk Rio Primero, Prov. Córdoba",NA,NA,NA,NA,"400","400","E00514062",NA,"<a href=http://data.rbge.org.uk/herb/E00514062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Temperate South America","herbarium specimen of unspecif","BGBASE:520256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:39:47-03","E","E","373859","PreservedSpecimen","Plantae","Gramineae","Trichachne","sacchariflora","Trichachne sacchariflora",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00373859",NA,"<a href=http://data.rbge.org.uk/herb/E00373859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:437281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
