"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","typeStatus","locality","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber","dayIdentified"
"1","2016-09-30 02:32:00-03","NY","NYBG","01193102","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","excelsa","Manilkara excelsa","T. D. Pennington","J. M. Pires","3914","1952","01","13","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420134' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193102","NY01193102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01193103","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Mimusops","excelsa","Mimusops excelsa",NA,"W. A. Ducke","15863","1915","07","08","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193103","NY01193103_01","Ducke","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01193104","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Mimusops","excelsa","Mimusops excelsa",NA,"W. A. Ducke","16380","1916","08","26","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420140' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193104","NY01193104_01","Ducke","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01252025","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Mimusops","excelsa","Mimusops excelsa",NA,"C. W. Smith","12224","1941","10","10","South America","Brazil","Amazonas","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252025","NY01252025_01 NY01252025_02","Ducke",NA,"Livramento. Basin of Rio Madeira. Igarape Grande. Producer Sr. Lobo (Tres Casas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:49:12-03","EAO","IAN","141207","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","excelsa","Manilkara excelsa","Llanos, F","Ribeiro, BGS","334","1973","08","24","Southern America","Brasil","Pará",NA,"Árvore de 20m e 60cm de diâmetro; flor, cálice marron, corola e estame creme.","IAN141207",NA,"(Ducke) Standl.",NA,"Margem do Rio Jamanxim, junto do acampamento da PA-6. Tapajós, PA.","1979","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:12-03","EAO","IAN","60313","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","excelsa","Manilkara excelsa",NA,"Schultes, RE","8434","1947",NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN060313","IAN060313 IAN060313_e IAN060313_f","(Ducke) Standl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:49:12-03","EAO","IAN","71534","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","excelsa","Manilkara excelsa","Llanos, F","Pires, JM","3914","1952","01","13","Southern America","Brasil","Pará",NA,NA,"IAN071534",NA,"(Ducke) Standl.",NA,"Conceição; perto da fóz do Rio Juruena. À margem do rio.","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:12-03","EAO","IAN","113112","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","excelsa","Manilkara excelsa","Rodrigues, WA","Chagas, JC","6355","1958","04","16","Southern America","Brasil","Amazonas",NA,"Árvore de 8 metros; frutos maduros; látex branco.","IAN113112",NA,"(Ducke) Standl.",NA,"Cachoeira baixa do Tarumã. Terreno arenoso, úmido. Mata virgem.","1962","06","Manaus","-60.0250015258789","-3.10193991661072","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:12-03","EAO","IAN","154516","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","excelsa","Manilkara excelsa",NA,"Pires, JM; Fróes, RL","5992","1956","07","07","Southern America","Brasil","Pará",NA,NA,"IAN154516",NA,"(Ducke) Standl.",NA,"Transecto para inventário florestal 34-10.",NA,NA,"Breves","-50.4803009033203","-1.68221998214722","134266","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:04:10-03","NBC","NL-BOTANY","U 0006596","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Manilkara","excelsa","Manilkara excelsa","Pennington TD","Ducke A",NA,"1916","08","26","Southern America","Brazil","Pará",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006596 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006596","NL-U0006596","(Ducke) Standl.","isolectotype","S. Luiz, Rio Tapajoz (civ. Pará)",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","63768",NA,NA,NA,NA,NA,NA,NA
