"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","475910","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","pauciflora","granatensis","Heteropterys pauciflora granatensis","Nied.","W. R. Anderson","H. E. Strang","502","1963","07","01","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, perto do barracao","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475910","NY00475910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","475909","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","pauciflora","granatensis","Heteropterys pauciflora granatensis","Nied.","W. R. Anderson","A. M. Amorim","1340","1993","09","13","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-Leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475909","NY00475909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","475908","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","pauciflora","granatensis","Heteropterys pauciflora granatensis","Nied.","W. R. Anderson","W. W. Thomas","8995","1992","02","01","South America","Brazil","Bahia",NA,"Ilhéus. Road from Olivença to Marium, 5 km W of Olivença","-39.05","-14.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475908","NY00475908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","475911","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","pauciflora","granatensis","Heteropterys pauciflora granatensis","Nied.",NA,"A. F. M. Glaziou","1500","1868","07","28","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra da Onça, Corcovado","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475911","NY00475911_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","71276","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","pauciflora","granatensis","Heteropterys pauciflora granatensis","Nied.",NA,"H. H. Smith","2523","1898","08","02","South America","Colombia",NA,NA,"7 miles E. of Bonda; Santa Marta",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00071276","NY00071276_01","isotype","152.4","152.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:11-03","UFRJ","RFA","20030","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.","R. Sebastiani","P. Occhioni","8956","1979","07","01",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Matas da Vista Chinesa, entrada km 4","-43.2075004577637","-22.9027996063232",NA,"Arbusto escandente, flores amarelo-pálidas","RFA44729",NA,NA,NA,NA,"2003","11","04","57442","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:11-03","UFRJ","RFA","24298","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.",NA,"F.M.B. Pereira","339","2000","05","01",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Itamonte, Distrito Dois Irmãos, Comarca de Itanhandú, Fazenda dos Dois Irmãos","-44.686111","-22.252778",NA,"Trepadeira de flores alaranjadas, folhas verdes, comum no local","RFA41025",NA,NA,"1300","1300","2002",NA,NA,NA,NA,"44º41'10''W","22º15'10''S",NA,NA,NA,NA,NA
"8","2020-06-29 11:31:11-03","UFRJ","RFA","19265","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.","A. M. Amorim","P. Occhioni","8606","1978","07","06",NA,"Brasil","Rio de Janeiro","Guapimirim","Início da Serra dos Órgãos","-42.9818992614746","-22.5372009277344",NA,"Arbusto, fruto amarelo","RFA44733",NA,NA,NA,NA,"2000",NA,NA,"21463","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:11-03","UFRJ","RFA","16887","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.","R. Sebastiani","P. Occhioni","7673","1975","08","10",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Serra de Friburgo","-42.6530990600586","-22.4624996185303",NA,"Escandente, flor amarela","RFA44731",NA,NA,NA,NA,"2005","03","23","32671","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:47-03","UTFPR","DVPR","1461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.","Estevan, DA","Trentin, BE","51","2012","11",NA,NA,"Brasil","Paraná","Dois Vizinhos","Unepe - Restauração Ecológica","-53.057201385498","-25.7336006164551",NA,"Cipó, botões florais.","DVPR001461",NA,NA,NA,NA,"2012",NA,NA,"19637","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-24 17:10:47-03","UTFPR","DVPR","452","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.","Estevan, DA","Dias, MC; Ronque, AW","57","2002","06","13",NA,"Brasil","Paraná","Ibiporã","Fazenda Doralice","-51.0480995178223","-23.2691993713379",NA,"Trepadeira, flores brancas.; Borda da mata, estrada ao lado da Fazenda.","DVPR000452","DVPR000452",NA,NA,NA,"2007",NA,NA,"20625","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:43:36-03","EAO","IAN","103783","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Heteropterys","pauciflora",NA,"Heteropterys pauciflora","(A.Juss.) A.Juss.",NA,"Kuhlmann, JG","1179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN103783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
