"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","251061","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","abbadianum","Piper abbadianum","Yunck.","isotype fragment","A. Netto","284","1852","South America","Brazil","Minas Gerais","Abbadia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251061","NY00251061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:37:53-03","UNICAMP","UEC","109251","S","Plantae","Magnoliopsida",NA,"Piperaceae","Piper","abbadianum","Piper abbadianum","Yunck.",NA,"Spinelli, T; Constâncio, SS; Ahn, YJ","172","1999",NA,"Brazil","São Paulo","Sítio São Francisco",NA,"Arbusto, 70 cm, sub-bosque, inflorescência verde.","UEC149638","UEC149638","10","06","Campinas","-47.060001373291","-22.8999996185303","23900","auto",NA,NA
"3","2021-02-23 13:22:59-03","MN","R-TIPOS","38781","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abbadianum","Piper abbadianum","Yunck.","Holotypus","Netto, L.S.M.","284","1862",NA,"Brasil","Minas Gerais",NA,NA,NA,"R000038781","R000038781_001",NA,NA,"Abadia",NA,NA,NA,NA,"Yuncker, T.G.","1960"
