"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:10-03","E","E","373941","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","smithii","Habenaria smithii","isotype","Smith, Herbert Huntington","2358","1905","03","12","W. Tropical South America","CO","Santa Marta","herbarium specimen of unspecif","BGBASE:437995","<a href=http://data.rbge.org.uk/herb/E00373941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:10-03","E","E","202683","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","trifida","Habenaria trifida",NA,"Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","91","1999","02","01","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:216395","<a href=http://data.rbge.org.uk/herb/E00202683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547614","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","biflora","Habenaria biflora",NA,"F. C. Hoehne","5112","1921","01","27","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547614","Magnoliophyta","Asparagales","Barb.Rodr.","F. C. Hoehne","Miguel Burnier","-43.7730481","-20.4361","NY00547614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547658","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","flexa","Habenaria flexa",NA,"G. Gardner","3455","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547658","Magnoliophyta","Asparagales","Rchb.f.",NA,"Brasilia",NA,NA,"NY00547658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547657","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","flexa","Habenaria flexa",NA,"G. Gardner","3993","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547657","Magnoliophyta","Asparagales","Rchb.f.",NA,"Brasilia",NA,NA,"NY00547657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547656","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","flexa","Habenaria flexa",NA,"G. Gardner","3993","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547656","Magnoliophyta","Asparagales","Rchb.f.",NA,"Brasilia",NA,NA,"NY00547656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","547661","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gehrtii","Habenaria gehrtii",NA,"F. C. Hoehne","5145","1921","01","27","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547661","Magnoliophyta","Asparagales","Hoehne & Schltr.","F. C. Hoehne","Miguel Buinier","-43.7730481","-20.4361","NY00547661_01","Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-12-15 14:59:00-02","NY","NYBG","688022","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","smithii","Habenaria smithii","isotype","H. H. Smith","2358","1898",NA,NA,"South America","Colombia","Magdalena","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688022","Magnoliophyta","Asparagales",NA,NA,"Santa Marta: Near Escalera de los Indios.",NA,NA,"NY00688022_01",NA,"244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02674832","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","trifida","Habenaria trifida",NA,"L. Moreira","61","2015","08","10","South America","Brazil","Pernambuco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952557' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674832","Magnoliophyta","Asparagales","Kunth",NA,"RPPN Pedra D'Anta","-35.9","-8.658333","NY02674832_01","Lagoa dos Gatos","464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1031920","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","trifida","Habenaria trifida",NA,"G. G. Hatschbach","36358","1975","02","20","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188318' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031920","Magnoliophyta","Asparagales","Kunth",NA,"GO-12, Chapada dos Veadeiros.","-47.5097","-14.1325","NY01031920_01","Alto Paraíso de Goiás","1300","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
