"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","previousCatalogNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","429174","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","ebenacea","Ilex ebenacea","Reissek","probable isotype","L. Riedel","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00429174","NY00429174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","497065","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima longipetiolata","Hoehne",NA,"F. C. Hoehne","28382","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497065","NY00497065_01","longipetiolata","F. C. Hoehne","1931","10","19","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","497063","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima ebenacea","(Reissek) Loes.",NA,"Gurgel","16129","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497063","NY00497063_01","ebenacea",NA,"1931","11","02","Paraná","Cantagalo","Canta Gallo","-52.1264","-25.3744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","497061","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima ebenacea","(Reissek) Loes.",NA,"P. von Luetzelburg","14403","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497061","NY00497061_01","ebenacea","L. E. T. Loesener","1916",NA,NA,"Paraná","Ponta Grossa","Matte Grande. Ponta Grossa. Steinkohlengebiet, Nordost - Parana","-50.077154","-25.140873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","497057","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima","Reissek",NA,"P. K. H. Dusén","17221","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497057","NY00497057_01",NA,"P. K. H. Dusén","1915","09","29","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","497054","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima ebenacea","(Reissek) Loes.",NA,"F. C. Hoehne","23296","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497054","NY00497054_01","ebenacea",NA,"1928","11","02","Paraná","Ponta Grossa","Ponta-Grossa","-50.077154","-25.140873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","497066","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima typica","Loes.",NA,"A. F. M. Glaziou","1509","South America","Brazil","sheet","[date unclear (1867?) - see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=48204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497066","NY00497066_01","typica",NA,NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","Larangeiras","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","497062","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima ebenacea","(Reissek) Loes.",NA,"P. von Luetzelburg","14403","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497062","NY00497062_01","ebenacea",NA,NA,NA,NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","497055","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima ebenacea","(Reissek) Loes.",NA,"A. F. M. Glaziou","15902","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497055","NY00497055_01","ebenacea",NA,NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1016817","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","integerrima","Ilex integerrima ebenacea","(Reissek) Loes.",NA,"J. M. Silva","1777","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016817","NY01016817_01","ebenacea",NA,"1996","11","01","Paraná","Guaratuba","Rio Arraial, Fazenda Bamerindus.","-48.5744","-25.8831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
