"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","continentOcean","day","locality","imagecode","class","order","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","11831","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","Sobral, M.","1984","04","Sobral, M.","2708","1983","12","Brasil","Rio Grande do Sul","Cambará do Sul","9999","9999","Erva, capítulos brancos","BOTU011831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:59-03","EAO","IAN","22063","PreservedSpecimen","Plantae","Asteraceae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.",NA,NA,NA,"Sellow, F","1553",NA,NA,"Brasil",NA,NA,NA,NA,NA,"IAN022063","Dicotiledônea","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:34:24-02","IPA","IPA","89170","S","Plantae","Asteraceae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","Moraes, M.D. de",NA,NA,"Moraes, M.D. de","832","2006","11","Brasil","Santa Catarina",NA,NA,NA,"Flores brancas.; Brejo, solo úmido, turfoso, com gramineas e ciperáceas baixas (ca. 25cm de altura). Pleno sol.","IPA0089170","Plantae","Southern America","12","44 km Oeste de Caçador.","IPA0089170",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:45-03","IAP","PACA-AGP","103089","PreservedSpecimen","Plantae","Compositae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","Matzenbacher","2005","07","Kerber, K. T. B.","57","2004","12","Brasil","RS","Cambará do Sul","50°08'W","29°02'S","HASU s/ No. Hábito: Terrestre","PACA103089","Magnoliophyta",NA,"20","Parque Nacional dos Aparados da Serra.",NA,"Magnoliatae","Asterales","05","-50.133333","-29.033333",NA,NA,NA,NA
"5","2019-08-27 13:27:45-03","IAP","PACA-AGP","90850","PreservedSpecimen","Plantae","Compositae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","C. Mondin","2001","10","C. Mondin et al.","2400","2001","10","Brasil","RS","São Francisco de Paula",NA,NA,"Capítulos brancos. HASU 90850. Habitat: na beira de córrego Hábito: erva","PACA090850","Magnoliophyta",NA,"30","FLONA",NA,"Magnoliatae","Asterales",NA,"-50.5835990905762","-29.4480991363525","76715","auto",NA,NA
"6","2019-08-27 13:27:45-03","IAP","PACA-AGP","92526","PreservedSpecimen","Plantae","Compositae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","C. Mondin","1994","06","Mauhs, J.",NA,"1993","10","Brasil","RS","São Francisco de Paula",NA,NA,"HASU 9870. Habitat: na beira de estrada","PACA092526","Magnoliophyta",NA,"28","FLONA",NA,"Magnoliatae","Asterales","09","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA
"7","2019-08-27 13:27:45-03","IAP","PACA-AGP","56388","PreservedSpecimen","Plantae","Compositae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","Emrich-Rambo","1955","04","Rambo, B.",NA,"1955","01","Brasil","RS","São Francisco de Paula",NA,NA,"EM PERIGO Habitat: in paludosis graminosis Fenofase: flor","PACA056388","Magnoliophyta",NA,"02","Fazenda Englert",NA,"Magnoliatae","Asterales","08","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA
"8","2019-08-27 13:27:45-03","IAP","PACA-AGP","54737","PreservedSpecimen","Plantae","Compositae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","B. Rambo SJ","1954","07","Rambo, B.",NA,"1954","01","Brasil","RS","São Francisco de Paula",NA,NA,"EM PERIGO Habitat: in subpaludosis gregaria Fenofase: flor","PACA054737","Magnoliophyta",NA,"01","Fazenda Englert",NA,"Magnoliatae","Asterales","05","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA
"9","2019-08-27 13:27:45-03","IAP","PACA-AGP","52111","PreservedSpecimen","Plantae","Compositae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","Emrich-Rambo","1954","07","Rambo, B.",NA,"1952","02","Brasil","RS","São Francisco de Paula",NA,NA,"EM PERIGO Habitat: in subpaludosis Fenofase: flor","PACA052111","Magnoliophyta",NA,"07","Morrinhos",NA,"Magnoliatae","Asterales","05","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA
"10","2021-03-01 16:24:55-03","UNICAMP","UEC","144648","S","Plantae","Asteraceae","Pamphalea","cardaminifolia","Pamphalea cardaminifolia","Less.","Moraes, MD",NA,NA,"Moraes, MD","832","2006","11","Brazil","Santa Catarina",NA,NA,NA,"Flores brancas.; Brejo, solo úmido, turfoso, com gramíneas e ciperáceas baixas. Pleno sol.","UEC086968","Magnoliopsida",NA,"12","44 km oeste de Caçador.","UEC086968",NA,NA,NA,NA,NA,NA,NA,NA,NA
