"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1546327","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M.Barroso","isotype","B. D. Sucre","7358[=herb. RB 166106]","1971","01","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro. Mata do Rumo","-43.2075004577637","-22.9027996063232","57442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1835111' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546327","NY01546327_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:27-03","UFRJ","RFA","25114","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"Flavio Britto Pereira","05/021","2000","07","08",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","1° Distrito. Fazenda Serra do Capim.","-42.878889","-22.159167",NA,NA,"Árvore 6 m de altura, de DAP 12 cm, flores brancas, rara no local.","RFA42174",NA,NA,"G. M. Barroso","2000","08","17","42º52'44''W","22º9'33''S","784","784",NA,NA,NA,NA
"3","2019-10-09 11:21:41-03","UFBA","ALCB","129602","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M. Barroso",NA,"Lobão, A; et al.","414","1999","04","22","Southern America","Brasil","Rio de Janeiro","Armação dos Búzios","Serra das Emerênças, vertente para a praia de Tucuns.",NA,NA,NA,NA,"ca. 3 m de altura, folhas discolores verdes, glabras e lisas, flores passadas marrons, frutos imaturos verdes e maduros vináceos.","ALCB047202","ALCB047202",NA,"Souza, MC","2004","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:21:41-03","UFBA","ALCB","129603","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M. Barroso",NA,"Paes, GCL; Barros, AAM; Moraes, LPM; Machado, DNS","187","2013","12","13","Southern America","Brasil","Rio de Janeiro","Niterói","Jurujuba, Área de Proteção Ambiental do Morro do Morcego, Fortaleza de Santa Cruz e dos Fortes de são Luiz e Rio Branco, Morro do Pico, Trilha para o Forte do Pico.","-43.013611","-22.975556",NA,NA,"Mata Atlântica. Floresta ombrófila densa submontana.","ALCB047203","ALCB047203",NA,"Souza, MC","2015","07",NA,"-43.013611","-22.975556","66","66",NA,NA,NA,NA
"5","2019-11-25 16:51:17-03","UFBA","ALCB","138323","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M. Barroso",NA,"Stadnik, A; Souza, MC","448","2019","08","31","Southern America","Brasil","Rio de Janeiro","Mangaratiba","Reserva Rio das Pedras, Trilha para a toca da aranha. Alto da cabuína.","-44.102778","-22.980833",NA,NA,"ca. 3m. Folhas discolores. Folhas passadas, castanhas. Cálice partindo em 3. Frutos verdes imaturos, roxos maduros. DNA.","ALCB069162",NA,NA,"Stadnik, A","2017","08",NA,"-44.102778","-22.980833","309","309",NA,NA,NA,NA
"6","2019-10-09 11:21:41-03","UFBA","ALCB","129632","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M. Barroso",NA,"Souza, MC; Lucas, E; Bocayuva, M","308","2004","03","18","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Ecológico da Prainha. Morro Boa Vista, topo do morro.","-43.2075004577637","-22.9027996063232","57442",NA,"Ca 2m de altura, com flores passadas e frutos.","ALCB047282","ALCB047282","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-04 11:33:24-03","UFRRJ","RBR","346066","S","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"A. Lobão","414","1999","04","22",NA,"Brasil","Rio de Janeiro","Búzios","Serra das Emerênças, vertente para a praia Tucuns.",NA,NA,NA,NA,NA,"RBR00346066",NA,NA,"M.C. Souza","2004","05","11",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:31:39-03","UFRRJ","RBR","37350","S","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"A.T.L. Brandão","40",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Cabo Frio","Centro de Diversidade Vegetal de Cabo Frio, CDVCF-Fazenda itapeba, Floresta semidecidual (Floresta de restinga). Coordenada UTM: 23k 807214 7473943 Elev: 13m","-42.0186004638672","-22.8794002532959","40069",NA,NA,"RBR00037350",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-18 10:58:15-03","UFRRJ","RBR","46782","S","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"M.C. Souza","1141","2012","11","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro.","-43.2075004577637","-22.9027996063232","57442",NA,NA,"RBR00046782","RBR00046782","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:37:37-03","MBM","MBM","374488","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M. Barroso","ISOTYPE","Sucre, D.","7358","1971","01","10","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Mata do Rumo","-43.2075004577637","-22.9027996063232","57442",NA,"Formação de mata secundária. Arbusto ombrófilo de até 6m de alt.; Arbusto umbrófilo com até 3m de altura; fuste com a córtex castanho escuro, não decorticante; lâmina da folha verde escuro, lúcida na face ventral e verde claro fosco","MBM374488","MBM374488","auto","Barroso, G.M.","1992","10","23",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-01 15:33:10-03","PUC-RIO","FCAB","7761","PreservedSpecimen","Plantae",NA,"Angiospermae","Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"J.M. Freire; R.R. Oliveira; B.L. Rosendo","301","2009","11","10",NA,"Brasil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 5.1","-75.024667","-66.485",NA,NA,"Árvore com ca de 14 m de altura, com 57 cm de CAP. Tronco com estrias verticais.","FCAB007761",NA,NA,"M. Souza",NA,NA,NA,"-75.024667","-66.485","160","160",NA,NA,NA,NA
"12","2015-10-04 20:53:37-03","MNHN","RECOLNAT_MNHN_P","P00723227","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Calyptranthes","bimarginata","Calyptranthes bimarginata","O.Berg","isotype","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,"hb","Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723227' target='other'> <mi>dwc_moreinfo</mi></a>","P00723227","P00723227_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 20:32:32-03","MNHN","RECOLNAT_MNHN_P","P05232150","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Calyptranthes","bimarginata","Calyptranthes bimarginata","O.Berg",NA,"Glaziou",NA,"1870","9","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Morro da Urca, prés Botafofo.","-43.2075004577637","-22.9027996063232","57442","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05232150' target='other'> <mi>dwc_moreinfo</mi></a>","P05232150","P05232150_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,"9831",NA,NA,NA
"14","2020-12-11 11:39:38-03","UFMG","BHCB","154221","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M.Barroso, G.M.",NA,"Sucre, D","7358",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Mata do Rumo.","-43.2075004577637","-22.9027996063232","57442",NA,"Arbusto umbrofilo, 3m. Fuste com cortex castanho escuro, não esfoliante. Folhas verde escuro, lúcida na face ventral e verde claro fosco na face dorsal. Botões florais albo amarelados, fascilemente c.; Crescendo em formação de mata se","BHCB009928","BHCB009928","auto",NA,"1992","10","23",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-08-31 09:08:10-03","INPA","INPA","246848","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M.Barroso",NA,"Sucre, D","7358","1971","01","10","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Mata do Rumo.","-43.2075004577637","-22.9027996063232","57442",NA,NA,"INPA0246848","INPA0246848 INPA0246848_e INPA0246848_num","auto","Barroso, GM","1992","10","23",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:48:00-03","MBML","MBML-HERBARIO","43497",NA,"Plantae",NA,NA,"Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M. Barroso","ISOTIPO","D. Sucre","7358","1971","01","10",NA,"Brasil","Rio de Janeiro",NA,"Mata do Rumo",NA,NA,NA,NA,"Arbusto umbrófilo com até 3m de alt., crescendo em formação de mata secundária, fuste com cortex castanho escuro, não esfoliante, folhas verde escuro, lúcida na face ventral e verde claro fosco na face dorsal. Botões florais albo-amare","MBML043497","MBML043497",NA,"G.M. Barroso/23-X-1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-03 13:56:23-03","UFF","NIT","NIT10353","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"T. Fernandes","187","2018","05","07",NA,"Brasil","Rio de Janeiro","Maricá","Trilha para Pedra de Itaocaia.","-42.8185997009277","-22.9193992614746","20726",NA,"Flores passadas marrons. Habito: Arvoreta","NIT00001587",NA,"auto","T. Fernandes","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-03 13:56:23-03","UFF","NIT","NIT10847","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"T. Fernandes","474","2019","06","08",NA,"Brasil","Rio de Janeiro","Maricá","Parque Estadual da Serra da Tiririca. Trilha para o pico da Pedra de Itaocaia.","-42.965","-22.940556",NA,NA,"Árvore, 5 m. Folhas glabras, discolores, flores passadas marrons, frutos verdes/amarelados. Floresta Ombrófila Densa, sub-bosque. Material prensado em álcool. Material adicional em sílica gel.","NIT00003585",NA,NA,"T. Fernandes",NA,NA,NA,"42º57'54''W","22º56'26''S","200","200",NA,NA,NA,NA
"19","2021-03-03 13:56:23-03","UFF","NIT","NIT10486","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"T. Fernandes","337","2018","09","22",NA,"Brasil","Rio de Janeiro","Maricá","Trilha para o cume da Pedra de Itaocaia.","-42.967222","-22.941389",NA,NA,"Árvore, 5 m. Folhas glabras, levemente discolores, botões florais de cor creme, frutos imaturos verdes com cicatriz circular no ápice.","NIT00001720",NA,NA,"T. Fernandes",NA,NA,NA,"42º58'2''W","22º56'29''S","180","180",NA,NA,NA,NA
"20","2021-02-09 10:13:39-03","UENF","HUENF","4197","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","ilhensis","Plinia ilhensis","G.M.Barroso",NA,"Souza, J.S.","3369","2002","11","19",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Carvão Estação Ecológica Estadual de Guaxindiba","-41.094444","-21.391389",NA,NA,"5x5m","HUENF00004200",NA,NA,"Souza, M.C.","2017","11","30","41º5'40''W","21º23'29''S","39","39",NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3648093","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M. Barroso","Isotype","D. Sucre","7358","1971","1","10","South America - Neotropics","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro (RJ), Rio de Janeiro, Mata do Rumo","-43.2075004577637","-22.9027996063232","57442",NA,NA,"US01105582","US01105582_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"22","2019-10-07 09:34:52-03","UEFS","HUEFS","87801","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Calyptranthes","bimarginata","Calyptranthes bimarginata","O.Berg","Isótipo","Riedel",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"HUEFS0087801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"23","2019-10-07 09:35:50-03","UEFS","HUEFS","183755","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Plinia","sebastianopolitana","Plinia sebastianopolitana","G.M.Barroso",NA,"Sucre, D.","7358","1971","01","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Mata do Rumo","-43.2075004577637","-22.9027996063232","57442",NA,NA,"HUEFS0183755","HUEFS0183755","auto","G.M.Barroso","1992","10",NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"24","2019-09-04 18:11:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Calyptranthes","bimarginata","Calyptranthes bimarginata",NA,"Isotype","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"25","2019-09-04 18:11:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Calyptranthes","bimarginata","Calyptranthes bimarginata",NA,"Isotype","L. Riedel",NA,"1821",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
