"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1014441","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin & Staples","D. F. Austin; G. W. Staples","H. S. Irwin","29376","1971","01","30","South America","Brazil","Minas Gerais","Ouro Preto","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto","-43.5057","-20.3874","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1113393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014441","NY01014441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","336576","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin & Staples",NA,"H. S. Irwin","20526","1968","02","19","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço: Serra do Cipo, km 135 (ca. 150 km N of Belo Horizonte)","-43.38","-18.82","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00336576","NY00336576_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-05 16:46:47-03","UFOP","OUPR","31968","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Distimake","repens","Distimake repens","(D.F.Austin & Staples) Petrongari & Sim.-Bianch.","Pedrosa, L.G.","Pedrosa, L.G.","837","2018","09","23",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Serra do Itacolomi.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Trepadeira, ca. 3m. Corola branca. Capão de mata.",NA,NA,NA,"2018","09","23","44599","auto",NA,NA,NA,NA
"4","2020-12-11 11:34:49-03","UFMG","BHCB","177346","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin",NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2185","2015","04","17","Southern America","Brasil","Minas Gerais","Rio Acima","RPPN Andaime","-43.824167","-20.175",NA,NA,NA,"Prensado em álcool; Liana; cálice verde; flores liláses.; Campo Rupestre Ferruginoso antropizado","BHCB038996",NA,NA,"2016","09","22",NA,NA,"-43.824167","-20.175",NA,NA
"5","2020-12-11 11:34:49-03","UFMG","BHCB","86133","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin",NA,"Mota, RC da","2186","2002","12","28","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirao do Campo","-43.596953","-19.086131",NA,NA,NA,"Lina, cálice verde, corola lilás, tubo internamente branco, anteras amarelas, fliletes lilases, estiletes e estigmas brancos; Em borda de mata de galeria","BHCB038999",NA,NA,"2002",NA,NA,NA,NA,"-43.596953","-19.086131",NA,NA
"6","2020-12-11 11:34:49-03","UFMG","BHCB","25056","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin",NA,"Teixeira, WA","s.n.","1994","01","20","Southern America","Brasil","Minas Gerais","Itabirito","Pico do Itabirito","-43.801399230957","-20.2532997131348",NA,NA,NA,"Herbáceo, flores brancas.; Campo rupestre. Em área de transição em afloramento quartzítico. Mata de galeria","BHCB038997",NA,NA,"2015","05",NA,"20553","auto",NA,NA,NA,NA
"7","2018-04-26 15:49:26-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin & Staples","Staples, G; Austin, DF","Irwin, HS; Maxwell, H; Wasshausen, DC","20526","1980","02","19","Southern America","Brazil","Minas Gerais",NA,"Serra do Cipó, Wet campo. Campo and gallery margin, Serra do Cipó, Minas Gerais, km 135 (ca. 150 km N of Belo Horizonte).","-43.39","-19",NA,NA,NA,"usbgn; Creeping herb to ca. 2 m long. Corolla rose-pink.","CONV001729,NY00336576","NY00336576 NY00336576_01","holotype","1983",NA,NA,NA,NA,"-43.39","-19",NA,NA
"8","2018-04-26 14:55:29-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin & Staples","Staples, G; Austin, DF","Irwin, HS; et al.","29376","1971","01","30","Southern America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Brazil, Minas Gerais: Serra do Espinhaço, lower slopes of Pico de Itacolomi, S of Ouro Preto.","-43.3","-17.3",NA,NA,NA,NA,"CONV001728",NA,NA,"1983",NA,NA,NA,NA,"-43.3","-17.3",NA,NA
"9","2018-04-26 14:55:29-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin & Staples","Staples, G; Austin, DF","Irwin, HS; et al.","29376","1971","01","30","Southern America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Brazil, Minas Gerais: Serra do Espinhaço, lower slopes of Pico de Itacolomi, S of Ouro Preto.","-43.3","-17.3",NA,NA,NA,NA,"CONV001727",NA,NA,"1983",NA,NA,NA,NA,"-43.3","-17.3",NA,NA
"10","2018-04-26 14:55:29-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Merremia","repens","Merremia repens","D.F.Austin & Staples","Simão-Bianchini, R","Souza, VC","10069","1987","03","25","Southern America","Brazil","Minas Gerais","Santana do Riacho Mcpio.","Km 128, Rodovia Belo Horizonte - Conceição do Mato, Serra do Cipó. Km 128 ao longo da Rodovia Belo Horizonte - Conceição do Mato Dentro. Beira de mata.",NA,NA,NA,NA,NA,"Trepadeira. Flores róseas com anteras reviradas amarelas.","CONV019017",NA,NA,"2010",NA,NA,NA,NA,NA,NA,"voucher","SP285437"
