"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","order","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","continentOcean","class","individualCount","typeStatus","dayIdentified"
"1","2020-11-04 11:14:43-03","ESALQ","ESA","75274","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D.Legrand et Kausel","Mazine, F.F. & Souza, V.C.","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","91.0","2001","04","11","Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. 23o59'S, 46o44'W. Ca. 800 m.s.m. Floresta ribeirinha altomontana com campo adjacente.","-46.6300010681152","-23.5400009155273","53584","Arbusto, 1,5m alt. Flores verdes.","ESA075274","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:43-03","ESALQ","ESA","75149","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D.Legrand et Kausel","Mazine, F.F. & Souza, V.C.","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","100.0","2001","04","12","Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. 23o59'S, 46o42'W. Ca. 700-800m.s.m. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.","-46.6300010681152","-23.5400009155273","53584","Arbusto.","ESA075149","auto","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:18:16-03","ASU","ASU-PLANTS",NA,"PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D. Legrand & Kausel","L. R. Landrum, 1980","J. Mattos",NA,"1964",NA,NA,"Brazil","Sao Paulo",NA,NA,NA,NA,NA,"PHOTO-MICH; Na mata virgem. Arbusto de 1,7 m. de altura. flores brancas",NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:36:28-03","UNICAMP","UEC","121469","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand","Mazine, FF; Souza, VC","Souza, FM; Duarte, AR; Sampaio, D; Bernhardt, R; Rodrigues, RR; Souza, VC; et al.","100","2001","04","12","Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. trilha do Rio Branco.","-46.7","-23.983333",NA,"Arbusto.; Floresta Altomontana-Floresta de encosta com campos adjacentes.","UEC023599",NA,"700","800",NA,"-46.7","-23.983333","UEC023599",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:36:28-03","UNICAMP","UEC","121526","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand","Meireles, LD","Souza, FM; Duarte, AR; Sampaio, D; Bernhardt, R; Rodrigues, RR; et al.","53","2001","05","11","Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. trilha do Campo.","-46.733333","-23.983333",NA,"Botões amarelos.; Floresta ribeirinha altamontana com campo adjacente.","UEC023600",NA,"800","800",NA,"-46.733333","-23.983333","UEC023600","2013",NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:21:18-03","UNICAMP","UEC","168164","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand",NA,"Meireles, LD","3390","2012","04","26","Brazil","Minas Gerais","Camanducaia","Monte Verde","-46.1446990966797","-22.7553005218506","22140","Árvore, cc. 4m, frutos verdes.","UEC035781","auto",NA,NA,NA,NA,NA,"UEC035781",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:21:18-03","UNICAMP","UEC","120139","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand","Sobral, M","Meireles, LD","373","2001","06","29","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Arbusto, 2m, flores brancas. Obs: primeiro individuo coletado a 1839m.","UEC038645","auto",NA,NA,NA,NA,NA,"UEC038645","2002","09",NA,NA,NA,NA,NA
"8","2019-08-20 10:21:18-03","UNICAMP","UEC","121166","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand",NA,"Meireles, LD","681","2001","10","17","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Árvore, 4m, frutos verdes .","UEC038632","auto",NA,NA,NA,NA,NA,"UEC038632",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:21:18-03","UNICAMP","UEC","121159","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand","Sobral, M","Meireles, LD","636","2001","10","16","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Árvore, 4m, folhas levemente discolores, frutos verdes, com cálice amarronzada","UEC038634","auto",NA,NA,NA,NA,NA,"UEC038634","2002","09",NA,NA,NA,NA,NA
"10","2019-08-20 10:21:18-03","UNICAMP","UEC","125770","S","Plantae","Magnoliopsida","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) Legrand",NA,"Kinoshita, LS","s.n.","2002","05","17","Brazil","Minas Gerais","Camanducaia","Monte Verde, Pico do Selado","-46.1446990966797","-22.7553005218506","22140","Arbusto até 1,5m, flores de corola branca e estames amarelos. No sub-bosque da mata","UEC038643","auto",NA,NA,NA,NA,NA,"UEC038643",NA,NA,NA,NA,NA,NA,NA
"11","2020-10-14 10:03:27-03","FURB","FURB","34991","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D.Legrand & Kausel","Sobral, M","Korte, A.; Kniess, A.","6972","2009","10","21","Brasil","Santa Catarina","Vidal Ramos","Águas Frias.","-49.4105556","-27.3605556",NA,"Voucher estéril IFFSC 422 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;","FURB02504",NA,"895","895",NA,"-49.4105556","-27.3605556","FURB02504","2010",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:36:59-03","MBM","MBM","269225","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burr.) D.Legrand & Kausel","Mazine, F.F.","Souza, F.M.; et al.; et al.","100","2001","04","12","Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar","-46.6300010681152","-23.5400009155273","53584",NA,"MBM269225","auto",NA,NA,NA,NA,NA,"MBM269225",NA,NA,"Southern America",NA,NA,NA,NA
"13","2020-12-21 16:36:59-03","MBM","MBM","298453","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burr.) D.Legrand & Kausel","Sobral, M.","Silva, J.M.; Ribas, O.S.; Bornsch, M.T.; Ribas, O.S.; Bornsch, M.T.","4146","2004","10","16","Brazil","Santa Catarina","Garuva","Serra do Quiriri","-48.8549995422363","-26.0266990661621","22441",NA,"MBM298453","auto",NA,NA,NA,NA,NA,"MBM298453",NA,NA,"Southern America",NA,NA,NA,NA
"14","2020-12-11 11:39:19-03","UFMG","BHCB","92952","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D.Legrand & Kausel",NA,"Meireles, LD; Pereira, MFP","681","2001","10","17","Brasil","Minas Gerais","Camanducaia","Monte Verde.","-46.1446990966797","-22.7553005218506","22140","Árvore, 4m, frutos verdes.",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"15","2020-12-11 11:39:19-03","UFMG","BHCB","91454","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D.Legrand & Kausel",NA,"Meireles, LD; Pereira, MFP de A","636","2001","10","16","Brasil","Minas Gerais","Camanducaia","Monte Verde, Floresta ombrófila densa alto-montana.","-46.1446990966797","-22.7553005218506","22140","Árvore, 4m, folhas levemente discolores, frutos verdes, com cálice amarronzado.","BHCB010894","auto",NA,NA,NA,NA,NA,"BHCB010894","2002",NA,"Southern America",NA,NA,NA,NA
"16","2009-08-23 08:49:00-03","MO","MOBOT","2476440","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D. Legrand & Kausel",NA,"Lyman B. Smith|Roberto M. Klein","Smith 8494","1956","12","9","Brazil","Santa Catarina",NA,"Lower slope of Morro Iquererim",NA,NA,NA,NA,NA,NA,"1000.00000000","1300.00000000",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2859742","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D. Legrand & Kausel",NA,"L. Smith","8494","1956","12","9","Brazil","Santa Catarina","Campo Alegre","Lower slopes of Morro Iquererim","-49.2655982971191","-26.1924991607666","37493",NA,"US01891518","auto","1000","1300","Myrtales",NA,NA,"US01891518_01 US01891518_02",NA,NA,"South America - Neotropics","Dicotyledonae","1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2580141","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrceugenia","hoehnei","Myrceugenia hoehnei","(Burret) D. Legrand & Kausel",NA,"J. R. de Mattos","11461","1964","3","5","Brazil","São Paulo","Santo André","Estação Biológica","-46.5299987792969","-23.6599998474121","27258",NA,"US01891517","auto",NA,NA,"Myrtales",NA,NA,"US01891517_01 US01891517_02",NA,NA,"South America - Neotropics","Dicotyledonae","1",NA,NA
"19","2021-03-16 18:32:00-03","USP","SPF","85754","PreservedSpecimen","Plantae",NA,"Myrtaceae","Luma","hoehnei","Luma hoehnei","Burret",NA,"Gehrt, A","s.n.","1926","04","01","Brasil","São Paulo",NA,"Raiz da Serra.",NA,NA,NA,"Árvore; flores alvas.","SPF00085754",NA,NA,NA,NA,NA,NA,"SPF00085754",NA,NA,NA,NA,NA,"isotype",NA
