"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","805115","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","G. G. Hatschbach","25445","1970","11","01","South America","Brazil","Paraná","Jaguariaíva","Rio Cilada.","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805115","NY00805115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","805107","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","Padre Russel A.","58","1897","10","20","South America","Brazil","São Paulo",NA,"Ytú.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805107","NY00805107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","805120","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","K. Mizoguchi","1136","1979","10","19","South America","Paraguay","Amambay",NA,"Pedro Juan Caballero",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805120",NA,"700","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","805113","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805113","NY00805113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","805105","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","A. G. Hammar","16104","1901","11","15","South America","Brazil","São Paulo","Moji-Mirim","Mogy-Mirim","-46.96013","-22.425035","sheet","Ex. Herv. do coll. n° 38 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805105","NY00805105_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","894587","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","G. G. Hatschbach","33003","1973","11","10","South America","Brazil","Mato Grosso do Sul","Nova Andradina","Casa Verde.","-53.3431","-22.2333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894587","NY00894587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","805121","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","T. J. Killeen","2244","1986","11","26","South America","Bolivia","Santa Cruz",NA,"Nuflo de Chavez; 5 km S. of Concepcion","-62.08","-16.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805121",NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","805098","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","G. Eiten","2387","1960","09","22","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just N of Rio Moji-Guaçu. 10 km NNE of Padua Sales. About 27 km NW of city of Mori-Mirim","-47.142","-22.242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805098","NY00805098_01","575","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","805104","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","P. K. H. Dusén","10689","1910","10","25","South America","Brazil","Paraná",NA,"Jaguariahyva.","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805104","NY00805104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","805111","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","A. B. Joly","1161","1950","11","10","South America","Brazil","Paraná",NA,"Vila Velha.","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805111","NY00805111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","805114","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","G. G. Hatschbach","44354","1981","11","11","South America","Brazil","Paraná","Jaguariaíva","Rio das Mortes.","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805114","NY00805114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","805118","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","G. G. Hatschbach","25185","1970","10","24","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Rio Vacaria.","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805118","NY00805118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","805110","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","J. C. Lindeman","3237","1966","10","19","South America","Brazil","São Paulo","Itapetininga","Km 158 in road from Sao Paulo to Londrina","-48.0497","-23.5903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805110","NY00805110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","805103","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","P. K. H. Dusén","15649","1914","10","19","South America","Brazil","Paraná",NA,"Inter Lago et Desvio Ribas sito.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805103","NY00805103_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","805116","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","grandiflorus","Lessingianthus grandiflorus","(Less.) H.Rob.","G. G. Hatschbach","13000","1965","10","14","South America","Brazil","Paraná","Campo Mourao","Campo Mourao.","-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805116","NY00805116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
