"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:49-03","E","E","386748","PreservedSpecimen","Plantae","Leguminosae","Senna","spectabilis","Senna spectabilis","isotype","Fiebrig, K.","4800","E. Tropical South America","PY","N. Paraguay: Zwischen Rio Apa und Rio Aquidaban; Caballero cué","herbarium specimen of unspecif","BGBASE:433798","<a href=http://data.rbge.org.uk/herb/E00386748 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00386748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:49-03","E","E","386749","PreservedSpecimen","Plantae","Leguminosae","Senna","spectabilis","Senna spectabilis","isotype","Fiebrig, K.","4800","E. Tropical South America","PY","N. Paraguay: Zwischen Rio Apa und Rio Aquidaban, Caballero cué","herbarium specimen of unspecif","BGBASE:433810","<a href=http://data.rbge.org.uk/herb/E00386749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00386749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00469947","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis excelsa",NA,"L. R. Noblick","3165","South America","Brazil","40 km leste de cidade na BA 046","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469947","Magnoliophyta","Fabales","excelsa","(Schrad.) H.S.Irwin & Barneby","L. P. de Queiroz","1984","04","22","Bahia","Iaçú","-40.18","-12.75","NY00469947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00469930","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis excelsa",NA,"R. M. Harley","20013","South America","Brazil","Ca. 10 km SE of Jussiape on the Barra de Estiva Road","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469930","Magnoliophyta","Fabales","excelsa","(Schrad.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","1977","03","26","Bahia","Jussiape","-41.52","-13.53","NY00469930_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 11:36:00-03","NY","NYBG","01839274","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis",NA,"J. Balcazar","1328","South America","Bolivia","Entre Monte Lívano y Puesto Florida. 19 L0794252- 8655911 (GPS)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2121059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839274","Magnoliophyta","Fabales",NA,NA,"H. Huaylla Limachi","1999","08","18","El Beni","Vaca Díez",NA,NA,"NY01839274_01","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00469941","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis excelsa",NA,"S. A. Mori","9477","South America","Brazil","Rodovia BA-265, trecho Vitória da Conquista/Barra do Choça, entre os Kms 15 e 20, a Leste de primeira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469941","Magnoliophyta","Fabales","excelsa","(Schrad.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","1978","03","04","Bahia","Vitória da Conquista","-40.8392","-14.8661","NY00469941_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01839338","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis spectabilis",NA,"J. Steinbach","5389","South America","Bolivia","Buena Vista","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123461' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839338","Magnoliophyta","Fabales","spectabilis","(DC.) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","1921","03","07","Santa Cruz","Sara","-63.662729","-17.459703","NY01839338_01","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00469920","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis excelsa",NA,"T. S. dos Santos","2244","South America","Brazil","BA. km 5 - 10 da rod. Rio-Bahia ao Norte","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469920","Magnoliophyta","Fabales","excelsa","(Schrad.) H.S.Irwin & Barneby",NA,"1972","02","15","Bahia",NA,NA,NA,"NY00469920_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1198351","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis",NA,"J. G. Jardim","3361","South America","Brazil","Torre da Embratel e Estrada do Cristo, ca. 1.8 km W da cidade.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1443118' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198351","Magnoliophyta","Fabales",NA,"(DC.) H.S.Irwin & Barneby","J. G. Rando","2001","04","01","Bahia","Palmas de Monte Alto","-43.1706","-14.2667","NY01198351_01","640","640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00981628","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis excelsa",NA,"G. G. Hatschbach","52698","South America","Brazil","Rosa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981628","Magnoliophyta","Fabales","excelsa","(Schrad.) H.S.Irwin & Barneby","R. C. Barneby","1989","02","19","Minas Gerais","Medina","-41.4767","-16.2225","NY00981628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01839325","PreservedSpecimen","Plantae","Fabaceae","Senna","spectabilis","Senna spectabilis spectabilis",NA,"C. E. O. Kuntze","s.n.","South America","Bolivia","Velasco","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2122813' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839325","Magnoliophyta","Fabales","spectabilis","(DC.) H.S.Irwin & Barneby",NA,"1892","07",NA,NA,NA,NA,NA,"NY01839325_01","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
