"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:33:44-03","UNESC","CRI","14782","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Fábio C. S. Vieira","2020","04","20","Schwirkowski, P.; Westphal, T.; Michels, J.","3359","2019","02","09","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Rio Natal. Cabeceiras do Rio Natal.","-49.246389","-26.311667","49º14'47''W","26º18'42''S","1050","1050","FOM. Cálice verde, corola branca Habitat: Mata ciliar Habito: Árvore","CRI014106","CRI014106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","5302","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Marcos Sobral",NA,NA,NA,"J. A. Jarenkow",NA,"1993","02","15","Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.907778","-27.465","51º54'28''W","27º27'54''S",NA,NA,NA,"CRI005003","CRI005003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","4125","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Marcos Sobral",NA,NA,NA,"V. Boff","125","1995","09","08","Brasil","Santa Catarina","Fraiburgo","Taquara.","-50.921667","-27.026667","50º55'18''W","27º1'36''S","1021","1021","Habito: arbórea","CRI005004","CRI005004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","580000","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","L. B. Smith; S. F. Smith",NA,NA,NA,"I. Mimura","367","1962","05","10","Brazil","São Paulo","Sao José dos Campos","Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km (ao SW ao longo da Rodovia Pres. Dutra) da saída para Sao José dos Campos, 100-500 m ao lado SE da rodovia.","-45.88","-23.1703",NA,NA,"600","600","planta 3. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580000","NY00580000_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01096153","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.",NA,NA,NA,NA,"G. F. Arbocz","1106","1994","12","04","Brazil","Santa Catarina","Lajes","Margem da BR-116.","-50.3258","-27.8161",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232590' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096153","NY01096153_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","594920","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","15033","1966","10","20","Brazil","Paraná","Palmas","Rio Chopim","-51.9906","-26.4844",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594920","NY00594920_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","580005","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","64513","1966","02","24","Brazil","Paraná","Pinhao","Rio Reservam salto da Fazenda Reserva.","-51.6594","-25.6958",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580005","NY00580005_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-19 09:43:00-02","NY","NYBG","579989","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora",NA,"M. L. Kawasaki",NA,NA,NA,"N. Soria","4223","1990","04","18","Paraguay","Cordillera",NA,"Camino a Valenzuela.","-56.83","-25.58",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579989",NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","580004","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","43494","1980","12","14","Brazil","Paraná","Palmas","Palmas, arredores.","-51.9906","-26.4844",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580004","NY00580004_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","580002","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","28401","1971","12","08","Brazil","Paraná","Porto Vitória","Prainha. Margem rio Iguaçu.","-51.2317","-26.1611",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580002","NY00580002_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","557855","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","G. M. Barroso",NA,NA,NA,"B. D. Sucre","10694","1974","04","16","Brazil","Rio de Janeiro",NA,"Guanabara, Pedra da Gávea","-43.283884","-22.998443",NA,NA,"690","690","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557855","NY00557855_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","579996","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","2540","1956","01","20","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça.","-48.694057","-27.77489",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579996","NY00579996_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","580006","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"R. Kummrow","1481","1981","02","19","Brazil","Paraná","Campo do Tenente","Fda. Campo de Fora.","-49.6828","-25.9783",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580006","NY00580006_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
