"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","626304","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","G. T. Prance","G. G. Hatschbach","19850","1968","09","25","South America","Brazil","Paraná","Laranjeiras do Sul","Rio Iguaçu, prox. a barra do Perdido.","-52.4158","-25.4081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626304","NY00626304_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626311","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","G. T. Prance","R. Reitz","6.0á30","1958","07","05","South America","Brazil","Santa Catarina",NA,"Trindade, Ilha de S. Catarina.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626311","NY00626311_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579341","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"B. Rambo","270","1933","01","19","South America","Brazil","Rio Grande do Sul","Porto Alegre","Porto Alegre, ad urbem","-51.153181","-30.11284","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579341","NY00579341_01","200","200","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","284808","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","H. O. Sleumer","Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00284808","NY00284808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:46-03","UFRJ","RFA","9718","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","H. Sleumer","G.G. Hatschbach","21299","1969","04","01",NA,"Brasil","Paraná","Morretes","Estrada Graciosa, Vista Cavalcanti","-48.834400177002","-25.476900100708",NA,"Árvore 12m, tronco 35 cm diametro","RFA28822",NA,"300","300",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:25:43-03","PUCPR","HUCP","18827","S","Plantae","Eudicotiledonea",NA,"Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Cordeiro, J","Selusniaki, M; Beltrami, L","1319","2007","10",NA,NA,"Brasil","Paraná","Colombo",NA,"-49.2242012023926","-25.2917003631592",NA,NA,"HUCP00017051","HUCP00017051",NA,NA,NA,"13536","auto","2007",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1077067","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Reitz R",NA,"1958","07","05","Southern America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1077067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1077067","NL-L1077067",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0055245 | Uw 6918",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650809","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Pedersen TM",NA,"1967","09","27","Southern America","Brazil",NA,NA,"Plantae Brasilienses. Paraná: Foz do Iguaçy, woodland.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650809","NL-L1650809",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650810","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Hatschbach GG; Guimarães OA",NA,"1968","09","25","Southern America","Brazil",NA,NA,"Rio Iguaçu, prox. a barra do Perdido (La-ranejiras do Sul) Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650810","NL-L1650810",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650811","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Hatschbach GG",NA,"1969","04","01","Southern America","Brazil",NA,NA,"Estr. Graciosa, Vista Cavalcante (Mun. Morretes) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650811","NL-L1650811",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
