"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class"
"1","2016-02-02 14:38:04-02","BGBM","B","B 10 0278778","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth","holotype","F. C. Hoehne","4687","1920","12","23","Middle and South America","Brazil","São Paulo; Alto da Serra; Estr. do Vergueiro.","<a href=http://herbarium.bgbm.org/object/B100278778 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100278778","B100278778",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:22:55-03","MBM","MBM","301154","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R. Knuth",NA,"Scheer, M.B.; et al.; et al.","546","2002","12","19","Southern America","Brazil","Morro do Cedro",NA,"MBM301154","MBM301154","Ribas, O.S.","Paraná","Guaraqueçaba","-48.3288993835449","-25.3066997528076","37295","auto",NA,NA
"3","2019-11-13 11:19:02-03","USP","SPF","78902","PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth","isotype","Hoehne, FC","s.n.","1920","12","23",NA,"Brasil","Alto da Serra, estrada do Vergueiro.","Planta masculina.","SPF00078902","SPF00078902",NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA
"4","2019-09-04 18:31:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis",NA,"Type [status unknown]","F. C. Hoehne","4687",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","Monocotyledoneae"
"5","2021-01-11 11:19:59-03","IBt","SP","471634","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Silva, JH","9","2014","01","28",NA,"Brasil",NA,NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"6","2021-01-11 11:19:59-03","IBt","SP","471635","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Silva, JH","3","2014","01","28",NA,"Brasil",NA,NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"7","2021-01-11 11:19:59-03","IBt","SP","471636","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Silva, JH","2","2014","01","28",NA,"Brasil",NA,NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"8","2021-01-11 11:19:59-03","IBt","SP","471637","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Silva, JH","1","2014","01","28",NA,"Brasil",NA,NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"9","2019-11-21 10:03:36-03","IBt","SP","4687","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth","Isotype","Hoehne, FC","s.n.","1920","12","23",NA,"Brasil","Alto da Serra, estrada do Vergueiro",NA,"SP002984","SP002984",NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"10","2020-11-26 10:00:09-03","IBt","SP","384498","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Costa, AV","s.n.","1995","04","02",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"11","2019-11-21 10:03:36-03","IBt","SP","199269","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M; Guerra, TP","1341","1984","11","20",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,"Kirizawa, M","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"12","2019-11-21 10:03:36-03","IBt","SP","201197","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M; Sugiyama, M","1375","1985","01","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,"Kirizawa, M","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
