"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","803972","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe","E. A. Christenson","isotype","G. Gardner","632","1836","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803972","NY00803972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:36-03","UFRJ","RFA","37772","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe","M. S. Wängler, F.F.A.V. Barberena",NA,"A. M. Paiva; R. S. Couto","56","2010",NA,"Brasil",NA,"Liana, folhas alternas, encontrada na borda da mata, floresceu em jan/2011.","RFA38795",NA,"2012","06","04","10","29","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre. Divino Vale.","-43.400278","-22.446389","43º24'1''W","22º26'47''S",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:53-03","MBM","MBM","9590","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe","Pabst, G.",NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","20888","1969","Southern America","Brazil",NA,NA,"MBM009590","MBM009590",NA,NA,NA,"01","23","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708",NA,NA,"30514","auto",NA,NA,NA,NA,NA
"4","2015-09-03 19:57:38-03","MNHN","RECOLNAT_MNHN_P","P00367020","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"Regnell, A.F.",NA,"1857",NA,"Brésil","hb","HB de A. Glaziou donné par Mme Simart sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00367020' target='other'> <mi>dwc_moreinfo</mi></a>","P00367020","P00367020_01",NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 1192",NA,NA,NA,NA
"5","2015-09-14 18:11:31-03","MNHN","RECOLNAT_MNHN_P","P00367021","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"syntype","Miers, J.",NA,"1878",NA,"Brésil","hb","HB de A. Glaziou donné par Mme Simart sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00367021' target='other'> <mi>dwc_moreinfo</mi></a>","P00367021","P00367021_01 P00367021_02",NA,NA,NA,"7",NA,NA,NA,"Organ Mts Rio",NA,NA,NA,NA,NA,NA,"1838",NA,NA,NA,NA
"6","2015-09-24 11:02:34-03","MNHN","RECOLNAT_MNHN_P","P00367022","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"syntype","Glaziou, A.",NA,"1883",NA,"Brésil","hb","HB de A. Glaziou donné par Mme Simart sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00367022' target='other'> <mi>dwc_moreinfo</mi></a>","P00367022","P00367022_01 P00367022_02",NA,NA,NA,"2",NA,NA,NA,"Petropolis",NA,NA,NA,NA,NA,NA,"14320",NA,NA,NA,NA
"7","2015-09-15 16:48:27-03","MNHN","RECOLNAT_MNHN_P","P00367023","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"syntype","Glaziou, A.",NA,NA,NA,"Brésil","hb","HB de A. Glaziou donné par Mme Simart sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00367023' target='other'> <mi>dwc_moreinfo</mi></a>","P00367023","P00367023_01 P00367023_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11620",NA,NA,NA,NA
"8","2010-03-25 11:26:00-03","MO","MOBOT","100263485","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"Syntype","Auguste F.M. Glaziou","Glaziou 11620","1861","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Near Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"9","2010-03-25 11:26:00-03","MO","MOBOT","100263486","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"Syntype","Auguste F.M. Glaziou","Glaziou 14320","1861","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Near Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"10","2010-03-25 11:27:00-03","MO","MOBOT","100263489","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"Syntype","John Miers","Miers s.n.",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
