"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","219","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","Teonildes S. Nunes","2020","07","28","Vanilde Citadini-Zanette; V. P. Boff e Maria Leonor del Rei Souza","1983","05","16","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI005807","CRI005807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","12868","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","Renato Colares","2018","03","12","Alexandre Medeiros","2017","09","03","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011476","CRI011476","Praia da Barra.","Coleta 672. Habito: Trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2717","S","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","Fernando Campos","2011","03",NA,"Fernando Campos;","2011","03",NA,"Brasil","Minas Gerais","Bom Sucesso","-44.7580986022949","-21.0331001281738",NA,NA,NA,NA,NA,"254","Magnoliophyta","Malpighiales","22016","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2694","S","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","Carlos A. Ferreira Jr.","2013","06","18","Carlos Alberto F. Jr.; Juliana Ordones","2013","06","18","Brasil","Minas Gerais","Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"Estacionamento na entrado do Banho do Imperador, Serra do Caraça","254","Magnoliophyta","Malpighiales","11966","auto","caf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1480","S","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","Carlos A. Ferreira Jr.","2010","05","30","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","30","Brasil","Minas Gerais","Caeté","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"Funil","254","Magnoliophyta","Malpighiales","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:17-03","E","E","83555","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina",NA,NA,NA,NA,NA,"Cordeiro, J. & Cruz, J.M.","1997","03","13","BR",NA,NA,NA,NA,NA,NA,"E00083555",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083555 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1418","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","483882","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","L. K. Escobar",NA,NA,NA,"W. Hoehne","1964","04","04","Brazil","Rio de Janeiro","Rio de Janeiro","-43.482796","-23.016442",NA,NA,"NY00483882","NY00483882_01","Estado da Guanabara: Rio de Janeiro, prox. Recreio dos Bandeirantes.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474618' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"5720","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00748785","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","J. da Costa Sacco",NA,NA,NA,"H. S. Irwin","1966","01","25","Brazil","Distrito Federal","Brasília","-47.708","-15.633",NA,NA,"NY00748785","NY00748785_01","Cerrado slopes near Côrrego Corguinho, immediately east of Sobradinho","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881803' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"12012","South America","sheet",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","483877","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","A. C. Cervi",NA,NA,NA,"G. G. Hatschbach","1976","11","19","Brazil","Paraná","Quatiguá","-49.9133","-23.5672",NA,NA,"NY00483877","NY00483877_01","Rod. PR-092","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474621' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"39259","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00955126","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","amethystina","Passiflora amethystina","J.C.Mikan","C. R. Almeida",NA,NA,NA,"W. W. Benson","1986","04","25","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00955126","NY00955126_01","Monte Verde, entre Pedra Redonda e Pedra Partida.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022490' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales",NA,NA,"19748","South America","sheet",NA,"1700","1800",NA,NA,NA,NA,NA,NA,NA,NA
