"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","38512","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.","type","A. F. M. Glaziou","16918","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038512","NY00038512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521928","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"A. C. Brade","18313","South America","Brazil","Alto Limoeiro",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521928","NY00521928_01","R. Goldenberg","1946","05","20","Espírito Santo","Itaguaçu","-40.8556","-19.8019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521931","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"A. F. M. Glaziou","16968","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521931","NY00521931_01","R. Goldenberg",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","229215","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.","type",NA,"16918","South America","Brazil","Brasilia","sheet","Collector probably A. F. M. Glaziou <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229215","NY00229215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2423204","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"L. J.-C. Kollmann","8562","South America","Brazil","Estaçao Biológica de Santa Lúcia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685488' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423204","NY02423204_01",NA,"2006","01","19","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02104579","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"E. H. Camargo","101","South America","Brazil","Estrada para Tunas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2570510' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104579","NY02104579_01","R. Goldenberg","2007","04","21","Paraná","Tunas do Paraná","-49.0858001708984","-24.9743995666504","41885","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02647873","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"M. G. Bovini","767","South America","Brazil","Macaé de Cima. Casa da Ana, rio Macáe, parcela II.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2934334' target='other'> <mi>dwc_moreinfo</mi></a>","NY02647873","NY02647873_01",NA,"1995","04","25","Rio de Janeiro",NA,NA,NA,NA,NA,"1100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1015403","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"R. Goldenberg","892","South America","Brazil","Nova Lombardia, Terreno do Furlani, Terreno do Furlani.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015403","NY01015403_01","R. Goldenberg","2007","07","13","Espírito Santo","Santa Teresa","-40.5383","-19.8053",NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521746","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.",NA,"A. C. Brade","19933","South America","Brazil","Vargem Alta","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521746","NY00521746_01","R. Goldenberg","1949","05","31","Espírito Santo","Cachoeiro de Itapemirim","-41.018318","-20.669524",NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:44:33-03","EAO","IAN","93664","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Miconia","longicuspis","Miconia longicuspis","Cogn.","isotipo","Glaziou, AFM","16918","Southern America","Brasil",NA,NA,NA,"IAN093664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
