"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","class","order","year","month","day","locality","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-04-08 17:37:06-03","EAO","IAN","26936","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Gaudichaud","919","Southern America","Brasil","IAN026936","IAN026936_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:50:37-03","NBC","NL-BOTANY","WAG.1230318","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","viminea","Mikania viminea","DC.","Rambo B",NA,"Southern America","Brazil","NL-WAG1230318","NL-WAG1230318","Magnoliopsidae","Asterales","1956","10","04","Rio Grande do Sul. Esteio p. Porto Alegre, in paludosis alte herbosis.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1230318 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:57-02","BGBM","B","B 10 0002131","S","Plantae",NA,"Compositae","Mikania","viminea","Mikania viminea",NA,"Rambo","60561","Middle and South America","Brazil","B100002131","B100002131",NA,NA,NA,NA,NA,"RGS.","<a href=http://herbarium.bgbm.org/object/B100002131 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:57-02","BGBM","B","B 10 0002133","S","Plantae",NA,"Compositae","Mikania","viminea","Mikania viminea",NA,"Rambo","57163","Middle and South America","Brazil","B100002133","B100002133",NA,NA,NA,NA,NA,"RGS.","<a href=http://herbarium.bgbm.org/object/B100002133 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:57-02","BGBM","B","B 10 0002132","S","Plantae",NA,"Compositae","Mikania","viminea","Mikania viminea",NA,"Rambo","60561","Middle and South America","Brazil","B100002132","B100002132",NA,NA,NA,NA,NA,"RGS.","<a href=http://herbarium.bgbm.org/object/B100002132 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:37:57-02","BGBM","B","B 10 0002134","S","Plantae",NA,"Compositae","Mikania","viminea","Mikania viminea",NA,"Rambo","49025","Middle and South America","Brazil","B100002134","B100002134",NA,NA,NA,NA,NA,"RGS.","<a href=http://herbarium.bgbm.org/object/B100002134 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:27:44-03","IAP","PACA-AGP","49169","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","viminea","Mikania viminea","DC.","Rambo, B.",NA,NA,"Brasil","PACA049169",NA,"Magnoliatae","Asterales","1950","11","20","p. Sao Leopoldo","EM PERIGO Habitat: in paludosis alte dumetosis Fenofase: flor","Emrich-Rambo","1954","07","05","RS","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:27:44-03","IAP","PACA-AGP","49025","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","viminea","Mikania viminea","DC.","Rambo, B.",NA,NA,"Brasil","PACA049025",NA,"Magnoliatae","Asterales","1950","10","25","p. Sao Leopoldo","EM PERIGO&nf;SEM MATERIAL Habitat: in paludosis alte dumetosis Fenofase: flor","Emrich-Rambo","1954","07","05","RS","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:27:44-03","IAP","PACA-AGP","107831","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","viminea","Mikania viminea","DC.","Sehnem, A.","1741",NA,"Brasil","PACA107831",NA,"Magnoliatae","Asterales","1934","10","31",NA,NA,NA,NA,NA,NA,"RS","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:27:44-03","IAP","PACA-AGP","57163","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","viminea","Mikania viminea","DC.","Rambo, B.",NA,NA,"Brasil","PACA057163",NA,"Magnoliatae","Asterales","1955","11","11","p. Canoas","EM PERIGO Habitat: in paludosis alte dumetosis Fenofase: flor","Emrich-Rambo","1957","05","17","RS","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:27:44-03","IAP","PACA-AGP","60561","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","viminea","Mikania viminea","DC.","Rambo, B.",NA,NA,"Brasil","PACA060561",NA,"Magnoliatae","Asterales","1956","10",NA,"p. Porto Alegre","EM PERIGO Habitat: in paludosis alte dumetosis Fenofase: flor","Emrich-Rambo","1957","04","29","RS","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:27:44-03","IAP","PACA-AGP","1741","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Mikania","viminea","Mikania viminea","DC.","Rambo, B.",NA,NA,"Brasil","PACA001741",NA,"Magnoliatae","Asterales","1934","10","30","Esteio","EM PERIGO Habitat: in paludosis alte dumetosis Fenofase: flor","Emrich-Rambo","1954","07","05","RS","São Leopoldo","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-01-17 11:24:34-02","PUCRS","MPUC","19247","S","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.",NA,NA,"South America","Brasil",NA,NA,"Magnoliopsida","Asterales","2011","11","15","BR 116 km 307, Fazenda São Maximiano","Em solo úmido","N.I. Matzenbacher","2011","01","01","RS","Guaíba","-51.3280556","-30.1011667",NA,NA,"-51.3280556000","-30.1011667000","1",NA,NA,NA,NA,NA
"14","2019-01-17 11:24:34-02","PUCRS","MPUC","22134","S","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.",NA,NA,"South America","Brasil",NA,NA,"Magnoliopsida","Asterales","2003","11","15","Fazenda São Maximiano, BR - 116, Km 32","coletada em área úmida, geralmente alagada","L. Eggers","2005","01","01","RS","Guaíba","-51.3280556","-30.1011667",NA,NA,"-51.3280556000","-30.1011667000","1",NA,NA,NA,NA,NA
"15","2020-12-21 16:16:44-03","MBM","MBM","36824","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Hatschbach, G.","36833","Southern America","Brazil","MBM036824","MBM036824",NA,NA,"1975","05","25","Chapada dos Veadeiros",NA,"Holmes, W.C.",NA,NA,NA,"Goiás","Alto Paraíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:16:44-03","MBM","MBM","38232","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Rambo, B.","49169","Southern America","Brazil","MBM038232","MBM038232",NA,NA,"1950","11","20","Esteio para São Leopoldo, Brasília",NA,"Rambo, B.",NA,NA,NA,"Rio Grande do Sul","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
