"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:33:22-03","UNESC","CRI","10269","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.","M. G. Caxambu","2007","10","02","E.M. Silva","2007","09","18","Brasil","Paraná","Goioerê","Parque Municipal Antônio Sestak.","-53.027778","-24.185278","53º1'40''W","24º11'7''S","464","464","Floresta Estacional Semidecidual Submontana","CRI006391","CRI006391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","10231","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.","M. G. Caxambu","2012","10","18","M. G. Caxambu; et al.","2012","10","03","Brasil","Paraná","Luiziana","Estação Ecológica Luiziana.","-52.269444","-24.285556","52º16'10''W","24º17'8''S","750","750","Habito: árvore heliófita","CRI006390","CRI006390","4252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439932","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","dodecaphylla","Jacaratia dodecaphylla","A.DC.",NA,NA,NA,NA,"L. A. Mattos Silva","1999","03","17","Brazil","Bahia","Ilhéus","Distrito de Olivença. Zona de Sapucaeira. Fazenda Sao José (de Mário Bunchaft), distante cerca de 22 km de Olivença (aprox. 4 km a Oeste do litoral, em linha reta)","-39.0492","-14.7892",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439932","NY00439932_01","3913","Magnoliophyta","Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02690424","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.",NA,NA,NA,NA,"N. Castaño Arboleda","2013","03","22","Colombia","Guaviare","El Retorno","Estacion Experimental El Trueno","-72.64136","2.37122",NA,NA,"330",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4561120' target='other'> <mi>dwc_moreinfo</mi></a>","NY02690424",NA,"3742","Magnoliophyta","Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","413390","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.",NA,NA,NA,NA,"G. G. Hatschbach","1965","12",NA,"Brazil","Paraná","Maringá","Horto Florestal","-51.9383","-23.4256",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413390","NY00413390_01","12918","Magnoliophyta","Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00955217","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.","V. M. Badillo",NA,NA,NA,"W. L. Balée","1986","05","06","Brazil","Maranhão","Monção","Ka'apor Indian Reserve. Inventory of 80 year old fallow","-45.25","-3.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955217","NY00955217_01","2191","Magnoliophyta","Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 05:46:00-03","NY","NYBG","413407","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa",NA,"I. G. Vargas Caballero",NA,NA,NA,"I. G. Vargas Caballero","1993","09","28","Bolivia","Santa Cruz","Guarayos","Reserva de vida silvestre Rios Blanco y Negro. Campamento a 8 km al NE del Río Blanco en la zona de los Tutumos",NA,NA,NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413407",NA,"2839",NA,"Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2212516","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.",NA,NA,NA,NA,"T. C. Plowman","1980","02","14","Brazil","Pará","Conceição do Araguaia","Range of low hills ca. 20 km west of Redenção, near Corrego São João and Troncamento Santa Teresa.","-50.17","-8.05",NA,NA,"350","620","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2351727' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212516","NY02212516_01","8822","Magnoliophyta","Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413389","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.",NA,NA,NA,NA,"G. G. Hatschbach","1969","10","23","Brazil","Paraná","Medianeira","Parque Nacional","-54.0939","-25.2956",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=437621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413389","NY00413389_01","22621","Magnoliophyta","Brassicales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01405720","PreservedSpecimen","Plantae","Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.","V. M. Badillo",NA,NA,NA,"C. A. Cid Ferreira","1985","10","13","Brazil","Mato Grosso","Santa Terezinha","BR 158, Rod. para Vila Rica, a 21 km S da Cidade de Sta. Terezinha, Serra da Cobrinha","-50.5","-10.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2945957' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405720","NY01405720_01","6419","Magnoliophyta","Brassicales","South America","separate fruit",NA,NA,NA,NA,NA,NA,NA,NA
