"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:55-03","UNESC","CRI","7717","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","Tais B. Guimarães","2005","08","30","Daniel B. Falkenberg; Tais B. Guimarães","2004","08","30","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","5","5","Habito: herbácea","CRI010013","CRI010013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837837","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","H. M. Longhi-Wagner",NA,NA,NA,"M. A. Chase","1930","02","26","Brazil","Mato Grosso do Sul",NA,"Aquidauana","-55.7831","-20.4669439",NA,NA,"181","181","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837837","NY00837837_01","Magnoliophyta","Poales","11036","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","608630","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","H. M. Longhi-Wagner",NA,NA,NA,"R. Reitz","1952","12","19","Brazil","Santa Catarina","Palhoça","Campo Massiambú, Palhoça","-48.62515","-27.834087",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608630","NY00608630_01","Magnoliophyta","Poales","4905","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","627778","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","T. J. Killeen",NA,NA,NA,"T. J. Killeen","1985","10","10","Bolivia","Santa Cruz","Ignacio Warnes","Pampa Viru Viru","-63.17","-17.67",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627778",NA,"Magnoliophyta","Poales","1243","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 05:51:00-03","NY","NYBG","627779","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis",NA,"H. M. Longhi-Wagner",NA,NA,NA,"S. A. Renvoize","1978","11","22","Argentina","Corrientes",NA,"Ruta Nacional 12, Ao. Riachuelo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627779",NA,"Magnoliophyta","Poales","3572","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","608631","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"B. Rambo","1949","11","02","Brazil","Rio Grande do Sul",NA,"Pr. Viamao",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608631",NA,"Magnoliophyta","Poales","44178","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","608632","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","S. F. Smith",NA,NA,NA,"A. M. Rui","1992","09",NA,"Brazil","Rio Grande do Sul","Torres","Torres - Praia do Paraíso","-49.7267","-29.3356",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608632","NY00608632_01 NY00608632_02","Magnoliophyta","Poales","9073","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:00-03","UFRJ","RFA","20972","PreservedSpecimen","Plantae","Poaceae","Aristida","leptochaeta","Aristida leptochaeta","Hack.","Severo, Branca","1978","05","10","Severo , Branca","1977","10","06","Brasil","Rio Grande do Sul","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Algumas glumas bidentadas","RFA30561",NA,NA,NA,NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA
"9","2021-03-30 12:52:57-03","EAO","IAN","65698","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","Longhi-Wagner, HM","1988","11",NA,"Camisio, O; Padre",NA,NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN065698",NA,"Monocotiledônea",NA,"1001","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:57-03","EAO","IAN","66828","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","Longhi-Wagner, HM","1988","11",NA,"Löfgren, A","1907","09","21","Brasil","São Paulo",NA,"São José dos Campos.",NA,NA,NA,NA,NA,NA,"Circinalis Lindm.","IAN066828",NA,"Monocotiledônea",NA,"242","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:52:57-03","EAO","IAN","66841","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","Longhi-Wagner, HM","1988","11",NA,"Chase","1930","12","26","Brasil","Mato Grosso","Aquidauana",NA,NA,NA,NA,NA,NA,NA,NA,"IAN066841",NA,"Monocotiledônea",NA,"11036","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:52:57-03","EAO","IAN","67360","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","Longhi-Wagner, HM","1988","11",NA,"Dutra, AP",NA,NA,NA,"Brasil","Rio Grande do Sul",NA,"Subúrbios de São Leopoldo.",NA,NA,NA,NA,NA,NA,NA,"IAN067360",NA,"Monocotiledônea",NA,"143","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:52:57-03","EAO","IAN","67414","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindm.","Longhi-Wagner, HM","1988","11","23","Chase, A","1930","02","11","Brasil","Mato Grosso do Sul","Campo Grande","Campo Grande.","-54.6464004516602","-20.4428005218506",NA,NA,NA,NA,"ZULOAGA & MORRONE (2003:444) citaram: T-Protol.: Brazil: Minas Gerais: collected in sand and gravel on campo, Diamantina, Serra de San Antonio, alt. 1200-1300 m, Agnes Chase 10397 [HT: US]. T-Specim.: 1 of 1. Brazil: Minas Gerais, Dia","IAN067414",NA,"Monocotiledônea",NA,"10379","Southern America",NA,"161190","auto","isotipo",NA,NA,NA,NA
"14","2020-06-26 00:41:32-03","UFBA","ALCB","000722","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindman",NA,NA,NA,NA,"Torrend, Padre CSJ",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCB020588","ALCB020588","Monocotyledon",NA,"s/n","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-26 00:41:32-03","UFBA","ALCB","000723","PreservedSpecimen","Plantae","Poaceae","Aristida","circinalis","Aristida circinalis","Lindman",NA,NA,NA,NA,"Torrend, Padre CSJ",NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCB020587","ALCB020587","Monocotyledon",NA,"s/n","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214104","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Parodi LR","1925","02","07","Argentina",NA,NA,"PLANTAS ARGENTINAS, MERCEDES, PROVINCIA DE CORRIENTES.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214104 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214104","NL-L1214104",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"17","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214105","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Parodi LR","1920","01","08","Argentina",NA,NA,"PLANTAS ARGENTINAS, La Falda, Lierras de Córdoba. [!].",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214105","NL-L1214105",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"18","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214106","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Hauman LL","1911","12","20","Argentina",NA,NA,"PLANTAS ARGENTINAS, Rivera (morincia Buenos Aires). [!].",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214106 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214106","NL-L1214106",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"19","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214107","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Parodi LR","1917","05","01","Argentina",NA,NA,"Concordia (E. Riós). Rep. Argentina.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214107","NL-L1214107",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"20","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214108","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Parodi LR","1919","03","15","Argentina",NA,NA,"PLANTAS ARGENTINAS. Ascochinga(Córdoba). *.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214108","NL-L1214108",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"21","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214109","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Unreadable","1901","02","18","Argentina",NA,NA,"PLANTAS ARGENTINAS, Bermejo- Chavo Austral. [!].",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214109","NL-L1214109",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"22","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214110","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Rosengurtt B","1936","07","06","Uruguay",NA,NA,"Sau Josè, Arazati.[!].",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214110","NL-L1214110",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"23","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214111","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Barros M","1925","04","20","Argentina",NA,NA,"PLANTAS ARGENTINAS, Capilla del Monte-Córdoba.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214111","NL-L1214111",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"24","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214112","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Durban I","1923","01","01","Argentina",NA,NA,"PLANTAS ARGENTINAS, Daireaux, (prov Buenos Aires).",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214112 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214112","NL-L1214112",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"25","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214113","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Unreadable","1922","01","15","Argentina",NA,NA,"PLANTAS ARGENTINAS, Santa Inés- Posados Misiones.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214113","NL-L1214113",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"26","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214114","PreservedSpecimen","Plantae","Gramineae","Aristida","circinalis","Aristida circinalis","Lindm.",NA,NA,NA,NA,"Venturi S","1920","11","27","Argentina",NA,NA,"cruz Alta (Km. 754= F.C.C.N.) Tucumán. Habita en campo abierto á 416 m.s.m.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214114","NL-L1214114",NA,"Poales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
