"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","fieldNumber","individualCount"
"1","2021-04-05 14:33:50-03","UNESC","CRI","6440","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","J. A. Jarenkow","J. A. Jarenkow","3621","1997","11","02","Brasil","Rio Grande do Sul","Candiota","-53.672778","-31.558611","53º40'22''W","31º33'31''S","CRI009987","CRI009987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","6442","PreservedSpecimen","Plantae","Scrophulariaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","J. A. Jarenkow","J. A. Jarenkow; E. N. Garcia","3628","1997","11","16","Brasil","Rio Grande do Sul","Vacaria","-50.941111","-28.506944","50º56'28''W","28º30'25''S","CRI009990","CRI009990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","499345","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","A. L. Moldenke","19908","1948","09","22","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,"NY00499345","NY00499345_01","Magnoliophyta","Lamiales","South America","On dry burned-over campo, Jardim Botanico, Capital, Sao Paulo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417502' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 20:00:00-02","NY","NYBG","499350","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia",NA,"D. Philcox","E. L. Ekman","1892","1907","11","10","Argentina","Misiones",NA,NA,NA,NA,NA,"NY00499350",NA,"Magnoliophyta","Lamiales","South America","Posadas, La Granjo, in graminosis.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417496' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","499352","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","J. A. Steyermark","99404","1967","07","21","Venezuela","Falcón",NA,NA,NA,NA,NA,"NY00499352",NA,"Magnoliophyta","Lamiales","South America","Sierra de San Luis: Montaña de Paraguariba, sabanas naturales alternando con áreas boscosas, entre el Hotel Parador y Curimagua.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417497' target='other'> <mi>dwc_moreinfo</mi></a>","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","499347","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","G. F. J. Pabst","6540","1961","11","02","Brazil","Rio Grande do Sul","Jaguarao","-53.3756","-32.5661",NA,NA,"NY00499347","NY00499347_01","Magnoliophyta","Lamiales","South America","Jaguarao.","sheet","Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417503' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","499346","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","B. Rambo","34829","1947","01","04","Brazil","Rio Grande do Sul","Bom Jesus","-50.388347","-28.558459",NA,NA,"NY00499346","NY00499346_01","Magnoliophyta","Lamiales","South America","Fazenda B. Velho, Bom Jesus.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417499' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","499344","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","L. B. Smith","13827","1964","12","07","Brazil","Santa Catarina","Campo Erê","-53.18","-26.37",NA,NA,"NY00499344","NY00499344_01","Magnoliophyta","Lamiales","South America","Campo, Fazenda Campo Sao Vicente, 24 km west of Campo Erê.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417501' target='other'> <mi>dwc_moreinfo</mi></a>","900","1000",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","499343","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","L. B. Smith","12163","1957","03","15","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,NA,"NY00499343","NY00499343_01","Magnoliophyta","Lamiales","South America","Bog, Serra da Taquara Verde, 36 km south of Pôrto Uniao.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417500' target='other'> <mi>dwc_moreinfo</mi></a>","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","499349","PreservedSpecimen","Plantae","Orobanchaceae","Buchnera","integrifolia","Buchnera integrifolia","Larrañaga","K. A. Vincent","A. F. C. P. Saint-Hilaire","Catal. B1,1777","1816",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00499349","NY00499349_01","Magnoliophyta","Lamiales","South America","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417504' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
