"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:34:05-03","UNESC","CRI","1687","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","Marcos Sobral","1993","08","12","V. C. Zanette; C. M. Martinello e A. J. Aguiar","1607","1993","05","13","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI009220","CRI009220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:05-03","UNESC","CRI","1690","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","Marcos Sobral","1993","08","12","Vanilde Citadini-Zanette; C. M. Martinello e Robson dos Santos","1614","1993","05","18","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI009222","CRI009222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:05-03","UNESC","CRI","905","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","Vanilde C. Zanette",NA,NA,NA,"V. C. Zanette; F. M. Bastos, M. Sobral e L. R. M. Baptista","796","1987","12","21","Brasil","Santa Catarina","Turvo","-49.681944","-28.927778","49º40'55''W","28º55'40''S","CRI009219","CRI009219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:05-03","UNESC","CRI","392","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","Vanilde C. Zanette",NA,NA,NA,"Vanilde C. Zanette; F. M. Bastos, M. Sobral e L. R. M. Baptista","809","1987","12","21","Brasil","Santa Catarina","Turvo","-49.681944","-28.927778","49º40'55''W","28º55'40''S","CRI009217","CRI009217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:05-03","UNESC","CRI","1750","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","Piero Delprete","1998",NA,NA,"V. C. Zanette; R. dos Santos e A. J. Aguia","1728","1993","05","18","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI009218","CRI009218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:05-03","UNESC","CRI","1751","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","Marcos Sobral",NA,NA,NA,"V. C. Zanette; C. M. Martinello e A. J. Aguia","1729","1993","05","13","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI009216","CRI009216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","397307","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","R. Reitz",NA,NA,NA,"R. Reitz","6363","1958","01","29","Brazil","Santa Catarina","Vidal Ramos","-49.3556","-27.3919",NA,NA,"NY00397307","NY00397307_01","Magnoliophyta","Gentianales","South America","Sabiá, Vidal Ramos","600","600","sheet","Lenho na xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497428' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","397304","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","L. B. Smith",NA,NA,NA,"R. Reitz","9388","1959","12","11","Brazil","Santa Catarina","Sombrio","-49.6167","-29.1142",NA,NA,"NY00397304","NY00397304_01","Magnoliophyta","Gentianales","South America","Pirao Frio, Sombrio","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497437' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1039437","PreservedSpecimen","Plantae","Rubiaceae","Faramea","nigrescens","Faramea nigrescens","Mart.","E. Foresto",NA,NA,NA,"E. Foresto","278","2006","04","25","Brazil","Minas Gerais","São Gonçalo do Rio Preto","-43.3908","-18.0042",NA,NA,"NY01039437","NY01039437_01","Magnoliophyta","Gentianales","South America","Parque Estadual do Rio Preto. Mata ciliar do córrego do Capão Azul.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486278' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:20-03","UFRJ","RFA","6978","PreservedSpecimen","Plantae","Rubiaceae","Faramea","marginata","Faramea marginata","Cham.","L.B. Smith","1957",NA,NA,"R. Klein","2073","1956","06","14","Brasil","Santa Catarina","Ibirama","-49.5177993774414","-27.0569000244141",NA,NA,"RFA26686",NA,NA,NA,NA,"Horto Florestal I.N.P.","300","300",NA,"Arvoreta 4 m, fruto maduro: roxo-escuro.","18533","auto",NA,NA,NA,NA,NA,NA
