"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:26:07-03","UNESC","CRI","12202","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","Korte, A","2011","01","17","Korte, A","4478","2010","12","02","Brasil","Santa Catarina","Palhoça","Parque Estadual do Tabuleiro - Guarda do Embaú","-48.599444","-27.904722","48º35'58''W","27º54'17''S","15","15","Habito: Arbustivo","CRI010380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","954","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lasiocarpa","Pouteria lasiocarpa","(Mart.) Radlk.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; M. Butuhy",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna",NA,"-49.025","-28.618611","49º1'30''W","28º37'7''S",NA,NA,NA,"CRI007304","CRI007304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","677611","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"D. C. Daly","10296","2000","12","01","Brazil","Acre","Marechal Thaumaturgo","Basin of Rio Juruá, Rio Tejo, right bank.","-72.26986","-9.04542",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00677611","NY00677611_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885038","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.",NA,NA,NA,NA,"G. G. Hatschbach","19899","1968","10","04","Brazil","Paraná","Morretes","Col. Floresta.","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885038","NY00885038_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1145464","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","A. Alves-Araújo",NA,NA,NA,"O. Handro","s.n.","1935","04","25","Brazil","São Paulo","São Paulo","Nativa no Jardim Botânico.","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145464","NY01145464_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 10:39:00-03","NY","NYBG","41548","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito",NA,"T. D. Pennington",NA,NA,NA,"M. Rios","332","1990","12","27","Ecuador","Napo",NA,"District Companacocha; Sectors of Acapara and Cutu urco","-77.48","-1.05",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041548",NA,"Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01201177","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"G. A. Black","51-13879","1951","10",NA,"Brazil","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201177","NY01201177_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01200832","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"G. A. Black","51-13879","1951","10",NA,"Brazil","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1450495' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200832","NY01200832_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375374","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"L. Riedel","1346","1821",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375374","NY00375374_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02858851","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"D. da Silva Costa","448","2014","01","19","Brazil","Acre","Manoel Urbano","Parque estadual Chandless, percurso entre o seringal São João e o seringal Saragosa.","-70.017967","-9.592431",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2712055' target='other'> <mi>dwc_moreinfo</mi></a>","NY02858851","NY02858851_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
