"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","recordNumber","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2020-02-08 08:51:00-03","NBC","NL-BOTANY","L.3668491","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Picrosia","cabreriana","Picrosia cabreriana","A.G.Schulz","Pedersen TM","1977","12","21","Southern America","Argentina","Flowers purplish.- Very wet ground swamp. Carambola. Dep. Concepción, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3668491 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3668491","NL-L3668491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:51:00-03","NBC","NL-BOTANY","L.3668492","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Picrosia","cabreriana","Picrosia cabreriana","A.G.Schulz","Hatschbach GG","1966","11","04","Southern America","Brazil","Contenda - Paraná.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3668492 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3668492","NL-L3668492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:51:00-03","NBC","NL-BOTANY","U.1140644","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Picrosia","cabreriana","Picrosia cabreriana","A.G.Schulz","Renvoize SA; Wilmot-Dear CM; Zuloaga FO","1978","10","14","Southern America","Argentina","San Jose, Escuela Agrotecnico Don Bosco.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1140644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1140644","NL-U1140644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:51:00-03","NBC","NL-BOTANY","WAG.1287280","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Picrosia","cabreriana","Picrosia cabreriana","A.G.Schulz","Pedersen TM","1977","12","21","Southern America","Argentina","Carambola.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1287280 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1287280","NL-WAG1287280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:27:45-03","IAP","PACA-AGP","34330","PreservedSpecimen","Plantae","Magnoliatae","Asterales","Compositae","Picrosia","cabreriana","Picrosia cabreriana","A. G. Schulz","Irm. Augusto","1947","10","31",NA,"Brasil","Cerro Largo","Habitat: in humidis graminosis Fenofase: flor","PACA034330",NA,"Magnoliophyta","Hedlund, I.","2019","05","09","RS","São Luiz das Missões",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:16:52-03","MBM","MBM","298627","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Kuniyoshi, Y.S.; Dombrowski, L.T.; Dombrowski, L.T.","1970","12","04","Southern America","Brazil","Santa Bárbara","Campo.","MBM298627","MBM298627",NA,"Hedlund, I.","2019","08","13","Paraná","Curitiba","2858","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA
"7","2020-12-21 16:16:52-03","MBM","MBM","45756","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Schinini, A.; Carnevali, R.; Carnevali, R.","1974","11","12","Southern America","Argentina",NA,NA,"MBM045756","MBM045756",NA,NA,NA,NA,NA,NA,NA,"10311",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:16:52-03","MBM","MBM","57916","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Pedersen, T.M.","1977","12","21","Southern America","Argentina",NA,NA,"MBM057916","MBM057916",NA,"Pedersen, T.M.",NA,NA,NA,NA,NA,"12020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:16:52-03","MBM","MBM","3166","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Hatschbach, G.","1966","11","04","Southern America","Brazil",NA,"Capítulos lilases.; Do brejo.","MBM003166","MBM003166",NA,"Cabrera, A.","1968","05",NA,"Paraná","Contenda","15236","-49.5346984863281","-25.6756000518799","22732","auto",NA,NA,NA,NA,NA
"10","2010-11-13 04:25:00-02","MO","MOBOT","2458466","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Roberto M. Klein",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klein 3484",NA,NA,NA,NA,NA,NA,NA,NA,NA
