"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:40:48-03","E","E","102759","PreservedSpecimen","Plantae","Leguminosae","Peltogyne","confertiflora","Peltogyne confertiflora","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:111188","<a href=http://data.rbge.org.uk/herb/E00102759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00979685","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","W. R. Anderson","1973","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979685","Magnoliophyta","Fabales","(Mart. ex Hayne) Benth.","R. S. Cowan","9729","Mato Grosso","Eastern base of mountain ca. 9 km NE of Barra do Garças","-52.19058","-15.82579","450","500","NY00979685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 12:28:00-02","NY","NYBG","582329","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","A. M. Amorim","1992","06","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582329","Magnoliophyta","Fabales",NA,"R. C. Barneby","578","Bahia","Estrada para Ibotirama, BR 242. Coletas no km 21 a partir da sed do município","-44.99","-12.15",NA,NA,"NY00582329_01","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00979614","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","E. P. Heringer","1974","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979614","Magnoliophyta","Fabales","(Mart. ex Hayne) Benth.",NA,"14065","Goiás","At headwaters of the creek, Rio Quente, at the hotel, Pousada do Rio Quente, at foot of west slope of the Serra de Caldas, 13 km due WSW of city of Caldas Novas.","-48.75","-17.8",NA,NA,"NY00979614_01","Caldas Novas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","582328","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","R. P. Belém","1967","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582328","Magnoliophyta","Fabales","(Mart. ex Hayne) Benth.","M. F. da Silva","3290","Bahia","2-4 Km a W de Sta. Cruz de Cabrália, pela estrada antiga. Folha SE-24 (16-39c).","-39.0440986","-16.2986237",NA,NA,NA,"Santa Cruz Cabrália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00979611","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","H. S. Irwin","1968","03","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979611","Magnoliophyta","Fabales","(Mart. ex Hayne) Benth.","M. T. K. Arroyo","21219","Tocantins","Ca. 1 km S. of Araguaína, at Rio das Lontras.","-48.18","-7.22","300","300",NA,"Araguaína",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 17:01:00-02","NY","NYBG","00979735","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","D. Philcox","1968","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979735","Magnoliophyta","Fabales",NA,"M. F. Silva","4166","Mato Grosso","E. side of Base Camp","-51.77","-12.82",NA,NA,"NY00979735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 17:00:00-02","NY","NYBG","00979688","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","M. F. F. da Silva","1983","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979688","Magnoliophyta","Fabales",NA,"J. W. Grimes","1129","Maranhão","Estrada do Arame","-46.1383","-5.8194",NA,NA,"NY00979688_01","Grajaú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 17:00:00-02","NY","NYBG","00979712","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","R. C. de Mendonça","1999","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979712","Magnoliophyta","Fabales",NA,"R. C. de Mendonça","3807","Minas Gerais","Parque Nacional Grande Sertao Veredas; carrasco próximo à casa do Guarda Parque Gualdino.","-45.8383","-15.1911","755","755","NY00979712_01","Formoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-28 17:00:00-02","NY","NYBG","00979663","PreservedSpecimen","Plantae","Fabaceae","Peltogyne","confertiflora","Peltogyne confertiflora","M. F. F. da Silva","1983","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979663","Magnoliophyta","Fabales",NA,"J. W. Grimes","1129","Maranhão","Estrada do Arame","-46.1383","-5.8194",NA,NA,"NY00979663_01","Grajaú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
