"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00861996","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum","(Nees) Kunth","H. M. Longhi-Wagner","F. C. Hoehne","17542","1926","04","24","South America","Brazil","Minas Gerais","Turvo.","-44.3093939","-21.7406431","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861996","NY00861996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 20:56:00-03","NY","NYBG","00861968","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum",NA,"J. L. Bruner","G. Gardner","4055","1841",NA,NA,"South America","Brazil",NA,"Brazil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861968","NY00861968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00861970","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum","(Nees) Kunth","E. J. Judziewicz","L. B. Smith","6913","1952","05","02","South America","Brazil","Minas Gerais","Tres Barras, 50 km. north of Lagoa Santa","-43.67","-19.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861970","NY00861970_01","Jaboticatubas","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00861995","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum","(Nees) Kunth","H. M. Longhi-Wagner","R. R. Brooks","BRASPEX #87","1988","04","13","South America","Brazil","Goiás","Crominia-Mairipotaba, Site 1.","-49.42","-17.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861995","NY00861995_01","Cromínia","775","775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 20:56:00-03","NY","NYBG","00861991","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum",NA,"J. L. Bruner","A. F. M. Glaziou","22401","1896",NA,NA,"South America","Brazil","Goiás","Brazil: Chiefly Province of Goyaz",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861991","NY00861991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 20:56:00-03","NY","NYBG","00861966","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum",NA,"J. L. Bruner","H. A. Weddell","2526",NA,NA,NA,"South America","Brazil",NA,"Bresil central",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861966","NY00861966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 20:56:00-03","NY","NYBG","00861987","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum",NA,"J. L. Bruner","M. A. Chase","11408","1930","03","20","South America","Brazil","Goiás","Vicinity of Goyaz capital, Goyaz","-49.2539","-16.6786","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861987","NY00861987_01","Goiânia","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 20:56:00-03","NY","NYBG","00861962","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum",NA,"J. L. Bruner","M. A. Chase","8832","1925","03","11","South America","Brazil","Minas Gerais","Lavras",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861962","NY00861962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 20:56:00-03","NY","NYBG","00861988","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum",NA,"J. L. Bruner","M. A. Chase","8919","1925","03","19","South America","Brazil","Minas Gerais","Serra do Curral, Southeast of Bello Horizonte",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861988","NY00861988_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00861993","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Ctenium","cirrosum","Ctenium cirrosum","(Nees) Kunth","J. L. Bruner","J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais","Ad Lagoa Santa","-43.8894","-19.6272","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861993","NY00861993_01","Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
