"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-30 12:34:56-03","EAO","IAN","60417","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","firmula","Mikania firmula","Baker","Blanchet, JS","3987","Southern America","Brasil","IAN060417","IAN060417 IAN060417_e IAN060417_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:56-03","EAO","IAN","120626","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","firmula","Mikania firmula","Baker","Belém, RP; Pinheiro, RS","2715","Southern America","Brasil","IAN120626",NA,"1966","10","04","Bahia","Eunápolis","Rodovia, BR 5, 10km S Eunápolis. Mata virgem.","-39.5802993774414","-16.3775005340576","37596","Árvore de 8m de altura, flores brancas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:56-03","EAO","IAN","120575","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","firmula","Mikania firmula","Baker","Belém, RP; Pinheiro, RS","2638","Southern America","Brasil","IAN120575",NA,"1966","09","22","Bahia","Eunápolis","Rodovia, BR 5, 10km S Eunápolis. Mata virgem.","-39.5802993774414","-16.3775005340576","37596","Cipó, flores brancas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:24:42-03","UNICAMP","UEC","66432","S","Plantae","Magnoliopsida","Asteraceae","Mikania","firmula","Mikania firmula","Baker","Silva, LAM; Hage, JL; Santos, EB","1297",NA,"Brazil","UEC162894","UEC162894","1981","09","20","Bahia","Una","Rodovia São José, km 27 (entroncamento da BR 101)/ Una, próximo à Fazenda Piedade","-39.0752983093262","-15.2932996749878","36070","Trepadeira. Flores brancas, bastante perfumadas; Mata bastante raleada. Região de Mata Higrófila Sul Baiana","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-02 11:49:48-03","UNICAMP","UEC","108620","S","Plantae","Magnoliopsida","Asteraceae","Mikania","firmula","Mikania firmula","Baker","Cordeiro, I; Barros, M; Fiuza de Melo, MMR; Oliveira, RJ","1509",NA,"Brazil","UEC162889","UEC162889","1994","06","21","São Paulo","Peruíbe","Estação Ecológica Juréia - Itatins, Guarauzinho, trilha dos Caçadores, mata pluvial tropical de encosta.","-46.9900016784668","-24.3199996948242","21922","Trepadeira, flores alvas, odoríferas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:08:52-03","UFES","VIES","18570","S","Plantae",NA,"Asteraceae","Mikania","firmula","Mikania firmula","Baker","Simonelli, M.; Weiler Júnior, I. & Simões, J.M.","273",NA,"Brasil","VIES018570","VIES018570","1995","09","08","Espírito Santo","Serra","Parque Ecológico da C.S.T.","-40.3078002929688","-20.1285991668701","16451",NA,"auto","Heiden, G.","2016","04","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:33:15-03","UFMG","BHCB","43248","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","firmula","Mikania firmula","Baker","Ribeiro, JELS","379","Southern America","Brasil","BHCB006950",NA,"1988","08","05","São Paulo","Ubatuba","Picinguaba., Trilha atrás do alojamento.","-45.0699996948242","-23.4300003051758","34265","Restinga próxima a Mata Atlântica. Trepadeira. Flores pequenas com corola alva e cheiro acre.; trepadeira, flores pequenas com corola alva e cheiro acre","auto",NA,"2013","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","2145",NA,"Plantae",NA,"Compositae","Mikania","firmula","Mikania firmula","Baker","W. Boone","861",NA,"Brasil","MBML002145","MBML002145","1985","11","08","Espírito Santo","Santa Teresa","Vale do Canaã","-40.601944","-19.906111",NA,"Arbusto escandente com flores alvas, semi-sombra, capoeirão.",NA,"G. M. Barroso/1990",NA,NA,NA,"40W36'7","19S54'22",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","31658",NA,"Plantae",NA,"Compositae","Mikania","firmula","Mikania firmula","Baker","R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz","3498",NA,"Brasil","MBML031658","MBML031658","2007","09","13","Espírito Santo","Marilândia","Alto Liberdade, Prop. Delclecio","-40.514167","-19.351944",NA,"Liana, inflorescência de cor branca. Fundo de vale.",NA,"C.T. Oliveira/03-10-2012",NA,NA,NA,"40W30'51","19S21'7","150","150",NA,NA,NA,NA,NA
"10","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","5111",NA,"Plantae",NA,"Compositae","Mikania","firmula","Mikania firmula","Baker","E. Bausen",NA,NA,"Brasil","MBML005111","MBML005111","1988","08","25","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, Parque","-40.6","-19.936111",NA,"Trepadeira, flor branca, levemente perfumada, heliófila.",NA,"G. Heiden/06-04-2016",NA,NA,NA,"40W36'0","19S56'10",NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","5936",NA,"Plantae",NA,"Compositae","Mikania","firmula","Mikania firmula","Baker","H. Q. Boudet Fernandes; et al","2935",NA,"Brasil","MBML005936","MBML005936","1990","05","27","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444",NA,"Trepadeira lenhosa, flores branco esverdeadas, aromáticas, folha crassa, um pouco suculenta.",NA,"G. M. Barroso/1990",NA,NA,NA,"40W22'37","19S53'22",NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","9243",NA,"Plantae",NA,"Compositae","Mikania","firmula","Mikania firmula","Baker","L. Kollmann; E. Bausen & W. Pizziolo","1143",NA,"Brasil","MBML009243","MBML009243","1998","12","02","Espírito Santo","Santa Teresa","São Lourenço, Mata Fria","-40.683611","-19.931111",NA,"Fundo de vale úmido. Trepadeira 6m. Flores brancas e verdes.",NA,"G. Heiden/06-04-2016",NA,NA,NA,"40W41'1","19S55'52",NA,NA,NA,NA,NA,NA,NA
