"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","class","identifiedBy","yearIdentified","coordinatePrecision","maximumElevationInMeters","geoFlag","monthIdentified","imagecode","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","04180947","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Pilularia","americana","Pilularia americana","A.Braun","N. Ritter","3936","1996","12","01","South America","Bolivia","Cochabamba","Ayopaya","Laguna Toro; adjacent to the the road to Estancia Caliente.","-66.3761","-17.1725","4420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4504223' target='other'> <mi>dwc_moreinfo</mi></a>","NY04180947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04180946","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Pilularia","mandonii","Pilularia mandonii","A.Br.","H. F. Pittier","12717","1928","01","24","South America","Venezuela",NA,NA,"Lagoons on paramo of Timotes, Merida.",NA,NA,"4100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4504222' target='other'> <mi>dwc_moreinfo</mi></a>","NY04180946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:35:40-03","IAP","PACA-AGP","75251","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Marsileaceae","Pilularia","americana","Pilularia americana","A. Br.","Rambo, B.",NA,"1955","11","14",NA,"Brasil","RS","Esteio",NA,"-51.17919921875","-29.861400604248","20",NA,"ASSL 7192 Habitat: in palude","PACA075251","Filicopsida","A. Sehnem SJ","1979","7214","20","auto",NA,NA,NA,NA,NA
"4","2019-11-06 09:56:19-03","UFOP","OUPR","11276","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A.Braun","Rambo, P.","s.n.","1955","11","14",NA,"Brasil","Rio Grande do Sul","Esteio",NA,"-51.17919921875","-29.861400604248",NA,NA,"Erva. Brejos",NA,NA,"Salino, A.","2009","7214",NA,"auto","05",NA,NA,NA,NA
"5","2021-03-16 17:56:59-03","UCS","HUCS","6538","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Rambo, B.","s.n.","1955","11","14",NA,"Brasil","Rio Grande do Sul","Esteio",NA,"-51.17919921875","-29.861400604248","20",NA,"in palude","HUCS002850",NA,"Sehnem, A.",NA,"7214","20","auto",NA,"HUCS002850",NA,NA,NA
"6","2016-01-14 04:18:20-02","MNHN","RECOLNAT_MNHN_P","P00636768","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pilularia","mandoni","Pilularia mandoni","A.Braun","Mandon, G.",NA,"1857","5",NA,NA,"Bolivie",NA,NA,"Vicinis Sorata, via ad Coroico, Lancha, in paludosis",NA,NA,"5000","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00636768' target='other'> <mi>dwc_moreinfo</mi></a>","P00636768",NA,NA,NA,NA,NA,NA,NA,"P00636768_01","type","1534",NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","2280624","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","S. Stab","Stab 247",NA,NA,NA,"South America","Bolivia","La Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-12-10 11:15:00-02","MO","MOBOT","100234539","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Nur Ritter","Ritter 1341",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"9","2016-01-05 16:25:00-02","MO","MOBOT","100887798","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Nur Ritter|Susanna Arrázola|V. Arrázola","Ritter 3936","1996","12","1","South America","Bolivia","Cochabamba","Ayopaya","Laguna Toro; adjacent to the road to Estancia Caliente. Area: ca. 3.5 ha.","-66.3761111","-17.1725","4420.00000000",NA,NA,NA,NA,"N. Ritter (NHA)",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"10","2009-08-21 06:32:00-03","MO","MOBOT","2478023","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Balduino Rambo","Rambo 57097","1955","11","14","South America","Brazil","Rio Grande do Sul",NA,"em banhado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2012-03-30 16:59:00-03","MO","MOBOT","2517032","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Eduardo Alonso Paz|M.J. Bassagoda","Alonso Paz 3061","2001","10","21","South America","Uruguay","Canelones",NA,"Balneario Guazuvirá, costa de Río de la Plata","-55.63333","-34.76666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2008-07-11 03:32:00-03","MO","MOBOT","3472088","PreservedSpecimen","Plantae",NA,NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Tassilo Feuerer","Feuerer 4754A","1980","8","13","South America","Bolivia","La Paz","Bautista Saavedra","Apolobamba-Kordillera, im Tal oberhald Altarani am Fub des Cololo, Kleiner See, Wassertiefe 30 cm.","-69.13222","-14.84944","4850.00000000",NA,NA,NA,NA,"T. Feuerer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","828838","PreservedSpecimen","Plantae",NA,"Salviniales","Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","R. A. Philippi","s.n.","1888",NA,NA,"South America","Chile",NA,NA,"Valdivia [interpreted]",NA,NA,NA,NA,NA,"US01444150","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","2019-11-01 15:18:06-03","UnB","UB","135723","PreservedSpecimen","Plantae","Pteridophyta",NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Blake, D; Montgomery, F","s.n.","1962","11","11","Northern America","USA","Geórgia","Oglethorpe","Rooted in mud under two feet of water in broad, shallow quarry on granite rocks at Echols Mill, 9,3 mi N 45g E of Lexington. Piedmont province",NA,NA,NA,NA,".","UB0034449",NA,"Incógnito",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-08 12:46:41-03","UFRGS","ICN","001224","S","Plantae","Fern",NA,"Marsileaceae","Pilularia","americana","Pilularia americana","A. Braun","Schultz, AR","1224","1955","11","14","América do Sul","Brasil","RS","Esteio",NA,"-51.17919921875","-29.861400604248",NA,NA,NA,NA,NA,"Rambo",NA,"7214",NA,"auto",NA,NA,NA,NA,NA
