"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","273414","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","cuspidatum","Chrysophyllum cuspidatum","Hoehne","F. C. Hoehne","isotype","F. C. Hoehne","28358","1931","10","South America","Brazil","São Paulo","Jardim Botânico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=136328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273414","NY00273414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","374986","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","T. D. Pennington",NA,"S. A. Mori","10782","1978","10","South America","Brazil","Bahia","Arredores da Est. Ecológica do Pau-brasil (Ca. 17 km a W de Porto Seguro), estrada velha de Sta. C. de Cabrália, 4-6 km a E da sede da Estaçao. Mata Higrófila Sul Baiana em fase de destruiçao. Folha SE-24 (16-39c)","-39.1441852","-16.3681257","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374986","NY00374986_01","18","Santa Cruz Cabrália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","566046","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist",NA,NA,"J. G. Jardim","2121","1999","05","South America","Brazil","Bahia","Una: Reserva Biológica (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Trilha paralela a área de plantaçao de cacau-cabruca","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566046","NY00566046_01","22","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375004","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","T. D. Pennington",NA,"J. J. Wurdack","39683","1955","11","South America","Venezuela","Delta Amacuro","Serrania Imataca. El Palmar-Raudal Trail, upper Rio Toro drainage",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375004",NA,"15",NA,"270","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","374991","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","J. M. Pires",NA,"S. A. Mori","13872","1981","05","South America","Brazil","Bahia","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 61-D","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374991","NY00374991_01","01","Una","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","374999","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","A. Cronquist",NA,"A. F. M. Glaziou","19598",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374999","NY00374999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374992","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","J. M. Pires",NA,"S. A. Mori","13872","1981",NA,"South America","Brazil","Bahia","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 49-A","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374992","NY00374992_01",NA,"Una","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375001","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","F. C. Hoehne",NA,"F. C. Hoehne","28358","1931","11","South America","Brazil","São Paulo",NA,NA,NA,"sheet","Planta viva no. 121 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375001","NY00375001_01","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374998","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","A. Cronquist",NA,"F. C. Hoehne","28358",NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374998","NY00374998_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","374989","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","T. D. Pennington",NA,"W. W. Thomas","10127","1993","10","South America","Brazil","Bahia","Reserva Florestal da Brasil de Holanda Industrias S.A.; the entrance at Km 18 east of Itamaraju on road to Prado, 8 km from entrance","-39.33","-17.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374989","NY00374989_01","22","Prado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
