"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","452106","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel","R. S. Cowan","G. G. Hatschbach","7777","1961","02","04","South America","Brazil","Paraná","Cerro Azul","Cerro Azul","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452106","NY00452106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","452109","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel",NA,"G. G. Hatschbach","970","1970","03","31","South America","Brazil","Paraná","Rio Branco do Sul","Ribeirinha","-49.426044","-24.915614","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452109","NY00452109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","452107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel","V. E. Rudd","A. F. M. Glaziou","8632","1876","08","26","South America","Brazil","Rio de Janeiro",NA,"Sao Gonçalo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452107","NY00452107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","452108","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel",NA,"F. Sellow","1840",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 15:08:00-03","NY","NYBG","5013","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","selloi","Aeschynomene selloi scabra","Chodat & Hassl.",NA,"E. Hassler","6694",NA,NA,NA,"South America","Paraguay",NA,NA,"In palude Cordillera de Piribebuy.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00005013","NY00005013_01","scabra","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG902","S","Plantae",NA,NA,"Fabaceae","Aeschynomene","selloi","Aeschynomene selloi",NA,"Sílvia Basques Fernandes","Sílvia Basques Fernandes",NA,"2001","03","29",NA,"Brasil","Minas Gerais","Esmeraldas","Fazenda Experimental da PUC","-44.3138999938965","-19.7625007629395",NA,NA,NA,NA,NA,NA,"23009","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:34-03","UNESP-IBB","BOTU","22772","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel",NA,"Amaral Jr., A.","298","1999","04","09",NA,"Brasil","São Paulo","Castilho",NA,"-51.746917","-21.069611",NA,"Herbácea de caule oco, com flores amarelas.","BOTU022772",NA,NA,NA,NA,NA,"51°44'48.9w","21°04'10.6s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:29:34-03","UNESP-IBB","BOTU","22080","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel",NA,"Bicudo, L.R.H.","233","1998","10","16",NA,"Brasil","São Paulo","Rosana",NA,NA,NA,NA,"2m, cálice verde, corola amarela, estandarte com estrias escuras, quilha verde.","BOTU022080",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2013-07-03 10:48:52-03","EBDA","BAH","5402","S","Plantae",NA,NA,"Fabaceae","Aeschynomene","selloi","Aeschynomene selloi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2013-07-03 10:48:52-03","EBDA","BAH","6143","S","Plantae",NA,NA,"Fabaceae","Aeschynomene","selloi","Aeschynomene selloi","Vogel","Oliveira, E.L.P.G. de","Bastos, B.C.","537","1984","07","17",NA,"Brasil","Bahia","Ipirá","Faz. Queimadinha - Ipirá Bahia","-39.7372","-12.1583",NA,"Subarbusto, com flores amarelas, frutos articulados, levemente pubescentes. Frequente. Invasora.",NA,NA,NA,NA,"44834","auto",NA,NA,"1985","01",NA,NA,NA,NA,NA,NA,NA,NA
