"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02706147","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","guttata","Sinningia guttata","Lindl.","Collector unspecified","s.n.","1841","07","18","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2996780' target='other'> <mi>dwc_moreinfo</mi></a>","NY02706147","NY02706147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:02:15-03","JBP","HPL","3073","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","guttata","Sinningia guttata","Lindl","E.R. Salviani & H. Lorenzi","1700","2000","10","26",NA,"Brasil",NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","2000","10","26","RJ","Rio de Janeiro","Coletada em área de mata no Sítio R. Burle Marx.","-43.2075","-22.9028","57442","auto",NA,NA
"3","2020-09-12 05:00:02-03","US","US","86924","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","guttata","Sinningia guttata","Lindl.","L. Riedel","s.n.","1870",NA,NA,"South America - Neotropics","Brazil",NA,NA,"US00320744","US00320744_01",NA,NA,NA,NA,"Distrito Federal",NA,"Brasilia",NA,NA,NA,NA,"Dicotyledonae","1"
"4","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Sinningia","guttata","Sinningia guttata","Lindl.","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Dryas",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Habitat in ditione Rio de Janeiro, locis saxosis umbrosis",NA,NA,NA,NA,NA,NA
"5","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Sinningia","guttata","Sinningia guttata","Lindl.","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"ceteri",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Habitat in ditione Rio de Janeiro, locis saxosis umbrosis",NA,NA,NA,NA,NA,NA
