"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","400550","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","T. S. Coser","D. A. Folli","1896","1993","06","11","South America","Brazil","Espírito Santo","Linhares","Reserva florestal de Linhares - Linhares - ES. Estrada: Aceiro do Caldara. Km: 0","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400550","NY00400550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:21-03","MN","R","199072","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira",NA,"Leme, E.M.C.","5148","2001","06",NA,NA,"Brasil","Bahia","Itororó",NA,"-40.0703010559082","-15.1169004440308",NA,NA,"R010018071",NA,"20588","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:21-03","MN","R","216506","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Costa, A.","Sucre Benjamin, D. 9543; Braga, P.I.S. & Santos, S.P.",NA,"1972","08","23",NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959",NA,NA,"R010018072",NA,"40069","auto","2001","09","05","10","10",NA,NA,NA,NA
"4","2021-02-07 08:35:21-03","MN","R","46305","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira",NA,"Eugênio, J.","125","1942","01",NA,NA,"Brasil","Rio Grande do Sul","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,NA,"R010018070",NA,"29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:21-03","MN","R","216571","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Silva, A.G.O.","Silva, A.G.O. 74; Lacerda, R.W.",NA,"2011","06","12",NA,"Brasil","Rio de Janeiro","Magé","Santo Aleixo","-43.040599822998","-22.6527996063232",NA,NA,NA,NA,"20531","auto","2013",NA,NA,"233","233","43°04#?#15.07#?##?#W","22°32#?#54.22#?##?#S",NA,NA
"6","2019-11-21 14:33:00-03","UFJF","CESJ","58679","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; Luiz Antônio","115","2011","10","05","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN de Cafundó, Área do São Pedro, próximo à divisa do Conduru.","-41.215944","-20.725167",NA,"Folhas com bainha verde com base bege. Escapo, brácteas do escapo, bracteas florais e sépalas verdes.","CESJ058679",NA,NA,NA,"2012","05",NA,NA,NA,"-41.215944","-20.725167",NA,NA
"7","2020-07-02 18:52:20-03","UFJF","CESJ","58681","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","M. Nogueira","F.C. Favoreto; Couto; D.R. Gonzaga","62","2010","04","27","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama, Base da Pedra da Ema.","-41.323561","-20.688092",NA,"Erva c.a. 90 cm, terrestre, esciófila, em flor passada, folhas verdes brilhantes , bainhas castanhas, brotos laterais com folhas vinosas. Bracteas na base do escapo verdes com base vinosa, as do ápice verdes a secas. Bracteas florais e sépalas verdes, fr","CESJ058681",NA,NA,NA,"2019","07",NA,NA,NA,"-41.323561","-20.688092",NA,NA
"8","2019-11-21 14:33:00-03","UFJF","CESJ","59884","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; F.Favoreto; I.F.Campanharo","131","2012","01","12","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama, Mata do açude","-41.348806","-20.675389",NA,"Erva epífita, a meia sombra, coletada em pré-floração. Escapo verde, brácteas do escapo concolor. Raque vrde. Brácteas florais verde-claro, sépalas verde-amareladas, pétalas amarelas com ápice esverdeado.","CESJ059884",NA,NA,NA,"2012","05",NA,NA,NA,"-41.348806","-20.675389",NA,NA
"9","2019-11-21 14:33:00-03","UFJF","CESJ","59885","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; F.Favoreto; I.F.Campanharo","132","2012","01","12","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama, Mata do açude","-41.348806","-20.675389",NA,"Erva epífita, a meia sombra, coletada em pré-floração. Escapo avermelhado, brácteas do escapo verdes, raque avermelhada. Brácteas florais verde-claro, sépalas verde-amareladas, pétalas amarelas com ápice esverdeado.","CESJ059885",NA,NA,NA,"2012","05",NA,NA,NA,"-41.348806","-20.675389",NA,NA
"10","2019-11-21 14:33:00-03","UFJF","CESJ","59888","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; Luiz Antônio; A.E. da Silva","135","2012","01","25","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó, Trilha do São Pedro.","-41.222306","-20.713389",NA,"Erva epífita, a meia sombra, coletada em pré-floração. Escapo verde, brácteas do escapo concolor. Brácteas florais verde-claro, sépalas verde-amareladas, pétalas amarelas com ápice esverdeado.","CESJ059888",NA,NA,NA,"2012","05",NA,NA,NA,"-41.222306","-20.713389",NA,NA
