"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","492392","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","D. C. Wasshausen","G. G. Hatschbach","54440","1990","09","05","South America","Brazil","Paraná","Cerro Azul","Mato Preto","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492392","NY00492392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:29:38-03","NBC","NL-BOTANY","L.2834730","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.",NA,"Hatschbach GG",NA,"1961","09","13","Southern America","Brazil",NA,NA,"Est. parana, Mun. Cerro Azul, Cerro Azul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2834730 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2834730","NL-L2834730","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-19 10:22:24-03","CPAP","CPAP","16381","PreserverdSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Gomes Jr., J. C.","1596","1964","02","15",NA,"Paráguai",NA,"Caballero","Fazenda Cerro-Cora",NA,NA,NA,"Arbusto 2m de altura. FLOR: vermelha. FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Orla da mata contígua ao cerrado. SUBSTRATO: . RELEVO: .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-16 17:52:40-03","UCS","HUCS","10152","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, D.C.","Hatschbach, G.","54440","1990","09","05",NA,"Brasil","Paraná","Cerro Azul","Mato Preto","-49.261100769043","-24.823600769043",NA,"entre afloramentos calcáreos","HUCS006435",NA,NA,"1992","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-16 08:38:06-03","UTFPR","HCF","12674","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G. Caxambu","E.L. Siqueira","694","2013","09","06",NA,"Brasil","PR","Fênix","Estação Ecológica Municipal de Fênix","-52.08025","-23.97",NA,"erva semi-ciófila, ca. 0,40 m. Flores azuis. Beira da trilha.",NA,NA,NA,"2016",NA,NA,"52°04'48,9 W","23°58'12 S","383","383",NA,NA,NA,NA,NA,NA
"6","2019-08-16 08:38:06-03","UTFPR","HCF","16014","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G. Caxambu","M.G. Caxambu","5879","2014","12","05",NA,"Brasil","PR","Fênix","RPPN Hilva Jandrey Marques","-51.985694","-23.885722",NA,"arbusto semi-ciófilo, ca. 1m. Flores de cálice verde e corola roxa.",NA,NA,NA,"2015",NA,NA,"51°59'08,5 W","23°53'08,6 S","360","360","01","07",NA,NA,NA,NA
"7","2019-08-16 08:38:06-03","UTFPR","HCF","23975","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G. Caxambu","B. Galdino Pereira",NA,"2017","09","17",NA,"Brasil","PR","Ivailândia","vegetação ciliar do Rio Ivaí","-52.119139","-23.677639",NA,"erva ca. 0,40 m, terrícola, ciófila. Flores com cálice verde e corola púrpura.",NA,NA,NA,"2017",NA,NA,"52°07'08,9 W","23°40'39,5 S","305","305","11","08",NA,NA,NA,NA
"8","2019-08-16 08:38:06-03","UTFPR","HCF","26291","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G. Caxambu","E.L. Siqueira","2758","2018","08","15",NA,"Brasil","PR","Iretama","Parque Municipal Dama da Noite","-52.04225","-24.407667",NA,"erva semi-ciófila, ca. 0,60 m. Flor roxa.",NA,NA,NA,"2018",NA,NA,"52°02'32,1 W","24°24'27,6 S","428","428","08","28",NA,NA,NA,NA
"9","2019-08-16 08:38:06-03","UTFPR","HCF","26579","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G. Caxambu","I.A. Vieira Lino",NA,"2018","09","15",NA,"Brasil","PR","Campo Mourão","Vila Franciscana, próxima a Santa Casa","-52.404917","-24.017694",NA,"erva semi-ciófila, ca. 0,50 m. Flores lilases.",NA,NA,NA,"2018",NA,NA,"52°24'17,7 W","24°01'03,7 S","563","563","11","19",NA,NA,NA,NA
"10","2019-08-16 08:38:06-03","UTFPR","HCF","3195","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","J. Cordeiro & F. Marinero","E. Coaresma",NA,"2005","08","30",NA,"Brasil","PR","Engenheiro Beltrão","Sítio Bonfim","-52.2691993713379","-23.7971992492676",NA,"arbusto ereto, semi-ciófilo, com flores roxas. Próxima a beira de rio.",NA,NA,NA,"2006","20288","auto",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
